Time [s],BHP [Pa],Total rate [kg/s],Total surface Volumetric rate [sm3/s],Phase0 surface volumetric rate [sm3/s],Phase1 surface volumetric rate [sm3/s],Phase2 surface volumetric rate [sm3/s]
0,120,0.0,0.0,0.0,0.0,0.0,0.0
120,240,0.0,0.0,0.0,0.0,0.0,0.0
360,480,0.0,0.0,0.0,0.0,0.0,0.0
840,960,0.0,0.0,0.0,0.0,0.0,0.0
1800,1920,0.0,0.0,0.0,0.0,0.0,0.0
3720,3840,0.0,0.0,0.0,0.0,0.0,0.0
7560,7680,0.0,0.0,0.0,0.0,0.0,0.0
15240,15360,0.0,0.0,0.0,0.0,0.0,0.0
30600,30720,0.0,0.0,0.0,0.0,0.0,0.0
61320,61440,0.0,0.0,0.0,0.0,0.0,0.0
122760,7680,0.0,0.0,0.0,0.0,0.0,0.0
130440,7680,0.0,0.0,0.0,0.0,0.0,0.0
138120,7680,0.0,0.0,0.0,0.0,0.0,0.0
145800,7680,0.0,0.0,0.0,0.0,0.0,0.0
153480,7680,0.0,0.0,0.0,0.0,0.0,0.0
161160,7680,0.0,0.0,0.0,0.0,0.0,0.0
168840,7680,0.0,0.0,0.0,0.0,0.0,0.0
176520,7680,0.0,0.0,0.0,0.0,0.0,0.0
184200,7680,0.0,0.0,0.0,0.0,0.0,0.0
191880,7680,0.0,0.0,0.0,0.0,0.0,0.0
199560,15360,0.0,0.0,0.0,0.0,0.0,0.0
214920,30720,0.0,0.0,0.0,0.0,0.0,0.0
245640,61440,0.0,0.0,0.0,0.0,0.0,0.0
307080,61440,0.0,0.0,0.0,0.0,0.0,0.0
368520,122880,0.0,0.0,0.0,0.0,0.0,0.0
491400,245760,0.0,0.0,0.0,0.0,0.0,0.0
737160,245760,0.0,0.0,0.0,0.0,0.0,0.0
982920,491520,0.0,0.0,0.0,0.0,0.0,0.0
1.47444e+06,491520,0.0,0.0,0.0,0.0,0.0,0.0
1.96596e+06,983040,0.0,0.0,0.0,0.0,0.0,0.0
2.949e+06,983040,0.0,0.0,0.0,0.0,0.0,0.0
3.93204e+06,983040,0.0,0.0,0.0,0.0,0.0,0.0
4.91508e+06,983040,0.0,0.0,0.0,0.0,0.0,0.0
5.89812e+06,983040,0.0,0.0,0.0,0.0,0.0,0.0
6.88116e+06,983040,0.0,0.0,0.0,0.0,0.0,0.0
7.8642e+06,1.96608e+06,0.0,0.0,0.0,0.0,0.0,0.0
9.83028e+06,1.96608e+06,0.0,0.0,0.0,0.0,0.0,0.0
1.17964e+07,1.96608e+06,0.0,0.0,0.0,0.0,0.0,0.0
1.37624e+07,1.96608e+06,0.0,0.0,0.0,0.0,0.0,0.0
1.57285e+07,1.96608e+06,0.0,0.0,0.0,0.0,0.0,0.0
1.76946e+07,1.96608e+06,0.0,0.0,0.0,0.0,0.0,0.0
1.96607e+07,1.96608e+06,0.0,0.0,0.0,0.0,0.0,0.0
2.16268e+07,1.96608e+06,0.0,0.0,0.0,0.0,0.0,0.0
2.35928e+07,1.96608e+06,0.0,0.0,0.0,0.0,0.0,0.0
2.55589e+07,1.96608e+06,0.0,0.0,0.0,0.0,0.0,0.0
2.7525e+07,1.96608e+06,0.0,0.0,0.0,0.0,0.0,0.0
2.94911e+07,1.96608e+06,0.0,0.0,0.0,0.0,0.0,0.0
3.14572e+07,1.96608e+06,0.0,0.0,0.0,0.0,0.0,0.0
3.34232e+07,3.93216e+06,0.0,0.0,0.0,0.0,0.0,0.0
3.73554e+07,3840,3.85097e+07,15.8024,0.0157153,0,0,0.0157153
3.73592e+07,3840,3.89085e+07,15.8024,0.0157153,0,0,0.0157153
3.73631e+07,3840,3.91078e+07,15.8024,0.0157153,0,0,0.0157153
3.73669e+07,3840,3.92074e+07,15.8024,0.0157153,0,0,0.0157153
3.73708e+07,3840,3.9307e+07,15.8024,0.0157153,0,0,0.0157153
3.73746e+07,3840,3.94067e+07,15.8024,0.0157153,0,0,0.0157153
3.73784e+07,3840,3.95063e+07,15.8024,0.0157153,0,0,0.0157153
3.73823e+07,3840,3.9606e+07,15.8024,0.0157153,0,0,0.0157153
3.73861e+07,3840,3.97056e+07,15.8024,0.0157153,0,0,0.0157153
3.739e+07,3840,3.98052e+07,15.8024,0.0157153,0,0,0.0157153
3.73938e+07,7680,3.98802e+07,15.8024,0.0157153,0,0,0.0157153
3.74015e+07,15360,4.00126e+07,15.8024,0.0157153,0,0,0.0157153
3.74168e+07,30720,4.01991e+07,15.8024,0.0157153,0,0,0.0157153
3.74476e+07,61440,4.03871e+07,15.8024,0.0157153,0,0,0.0157153
3.7509e+07,122880,4.03721e+07,15.1845,0.0151008,0,0,0.0151008
3.76319e+07,245760,4.0544e+07,15.1845,0.0151008,0,0,0.0151008
3.78776e+07,491520,4.0719e+07,15.1845,0.0151008,0,0,0.0151008
3.83692e+07,983040,4.08803e+07,15.1845,0.0151008,0,0,0.0151008
