Time [s],BHP [Pa],Total rate [kg/s],Total surface Volumetric rate [sm3/s],Phase0 surface volumetric rate [sm3/s],Phase1 surface volumetric rate [sm3/s],Phase2 surface volumetric rate [sm3/s]
0,120,0.0,0.0,0.0,0.0,0.0,0.0
120,240,0.0,0.0,0.0,0.0,0.0,0.0
360,480,0.0,0.0,0.0,0.0,0.0,0.0
840,960,0.0,0.0,0.0,0.0,0.0,0.0
1800,1920,0.0,0.0,0.0,0.0,0.0,0.0
3720,3840,0.0,0.0,0.0,0.0,0.0,0.0
7560,7680,0.0,0.0,0.0,0.0,0.0,0.0
15240,15360,0.0,0.0,0.0,0.0,0.0,0.0
30600,30720,0.0,0.0,0.0,0.0,0.0,0.0
61320,61440,0.0,0.0,0.0,0.0,0.0,0.0
122760,7680,3.70027e+07,-11.4255,-0.0707431,-0.0115654,-0.0591437,-3.39949e-05
130440,7680,3.6556e+07,-11.3932,-0.070711,-0.0115654,-0.0591437,-1.88895e-06
138120,7680,3.6285e+07,-11.393,-0.0707107,-0.0115654,-0.0591437,-1.66439e-06
145800,7680,3.61014e+07,-11.3932,-0.070711,-0.0115654,-0.0591437,-1.86406e-06
153480,7680,3.59131e+07,-11.3934,-0.0707112,-0.0115654,-0.0591437,-2.07896e-06
161160,7680,3.58182e+07,-11.3935,-0.0707113,-0.0115654,-0.0591437,-2.18813e-06
168840,7680,3.57257e+07,-11.3936,-0.0707114,-0.0115654,-0.0591437,-2.29353e-06
176520,7680,3.56302e+07,-11.3937,-0.0707115,-0.0115654,-0.0591437,-2.40241e-06
184200,7680,3.55344e+07,-11.3938,-0.0707116,-0.0115654,-0.0591437,-2.51126e-06
191880,7680,3.54401e+07,-11.3939,-0.0707117,-0.0115654,-0.0591437,-2.61854e-06
199560,15360,3.53464e+07,-11.394,-0.0707118,-0.0115654,-0.0591437,-2.7252e-06
214920,30720,3.50615e+07,-11.3943,-0.0707121,-0.0115654,-0.0591437,-3.04395e-06
245640,61440,3.46973e+07,-11.3947,-0.0707125,-0.0115654,-0.0591437,-3.44378e-06
307080,61440,3.45271e+07,-11.3949,-0.0707127,-0.0115654,-0.0591437,-3.62569e-06
368520,122880,3.43057e+07,-11.3962,-0.0707193,-0.0115664,-0.059149,-3.85368e-06
491400,245760,3.39878e+07,-11.3965,-0.0707196,-0.0115664,-0.059149,-4.15886e-06
737160,245760,3.38126e+07,-11.3966,-0.0707197,-0.0115664,-0.059149,-4.31526e-06
982920,491520,3.34679e+07,-11.3969,-0.07072,-0.0115664,-0.059149,-4.58777e-06
1.47444e+06,491520,3.32909e+07,-11.3949,-0.070707,-0.0115643,-0.059138,-4.70622e-06
1.96596e+06,983040,3.29631e+07,-11.3951,-0.0707072,-0.0115643,-0.059138,-4.89774e-06
2.949e+06,983040,3.26013e+07,-11.3953,-0.0707074,-0.0115643,-0.059138,-5.094e-06
3.93204e+06,983040,3.2277e+07,-11.3976,-0.0707206,-0.0115664,-0.059149,-5.25825e-06
4.91508e+06,983040,3.19808e+07,-11.3977,-0.0707208,-0.0115664,-0.059149,-5.40486e-06
5.89812e+06,983040,3.17119e+07,-11.3979,-0.0707209,-0.0115664,-0.059149,-5.53995e-06
6.88116e+06,983040,3.14769e+07,-11.398,-0.0707211,-0.0115664,-0.059149,-5.65675e-06
7.8642e+06,1.96608e+06,3.10371e+07,-11.411,-0.0708003,-0.0115793,-0.0592151,-5.9097e-06
9.83028e+06,1.96608e+06,3.0651e+07,-11.4112,-0.0708005,-0.0115793,-0.0592151,-6.1335e-06
1.17964e+07,1.96608e+06,3.03e+07,-11.4114,-0.0708007,-0.0115793,-0.0592151,-6.34747e-06
1.37624e+07,1.96608e+06,2.99754e+07,-11.4083,-0.0707803,-0.0115759,-0.0591978,-6.55408e-06
1.57285e+07,1.96608e+06,2.96673e+07,-11.4085,-0.0707805,-0.0115759,-0.0591978,-6.76033e-06
1.76946e+07,1.96608e+06,2.93778e+07,-11.3987,-0.0707185,-0.0115658,-0.0591457,-6.95593e-06
1.96607e+07,1.96608e+06,2.90934e+07,-11.3989,-0.0707187,-0.0115658,-0.0591457,-7.15882e-06
2.16268e+07,1.96608e+06,2.8821e+07,-11.3896,-0.0706604,-0.0115562,-0.0590968,-7.35228e-06
2.35928e+07,1.96608e+06,2.8558e+07,-11.3898,-0.0706605,-0.0115562,-0.0590968,-7.52554e-06
2.55589e+07,1.96608e+06,2.83076e+07,-11.3816,-0.0706086,-0.0115477,-0.0590532,-7.67815e-06
2.7525e+07,1.96608e+06,2.80564e+07,-11.3817,-0.0706087,-0.0115477,-0.0590532,-7.84101e-06
2.94911e+07,1.96608e+06,2.78141e+07,-11.3753,-0.0705683,-0.011541,-0.0590193,-7.99095e-06
3.14572e+07,1.96608e+06,2.75807e+07,-11.3755,-0.0705684,-0.011541,-0.0590193,-8.13612e-06
