Time,Dt,Cycle,SubEvent,TimeStep,NewtonIteration,TimeStepCuts,Element,X,Y,Z,Pressure,ComponentDensity_N2,ComponentDensity_C10,ComponentDensity_C20,ComponentDensity_H2O,TotalRate,MassDensity,CompFraction_N2,CompFraction_C10,CompFraction_C20,CompFraction_H2O,PhaseDensity_oil,PhaseDensity_gas,PhaseViscosity_oil,PhaseViscosity_gas,dPhaseDensity_oil_dP,dPhaseDensity_oil_dT,dPhaseDensity_oil_dRho1,dPhaseDensity_oil_dRho2,dPhaseDensity_oil_dRho3,dPhaseDensity_oil_dRho4,dPhaseDensity_gas_dP,dPhaseDensity_gas_dT,dPhaseDensity_gas_dRho1,dPhaseDensity_gas_dRho2,dPhaseDensity_gas_dRho3,dPhaseDensity_gas_dRho4,PhaseVolumeFraction_oil,PhaseVolumeFraction_gas,dPhaseVolume_oil_dP,dPhaseVolume_oil_dT,dPhaseVolume_oil_dRho1,dPhaseVolume_oil_dRho2,dPhaseVolume_oil_dRho3,dPhaseVolume_oil_dRho4,dPhaseVolume_gas_dP,dPhaseVolume_gas_dT,dPhaseVolume_gas_dRho1,dPhaseVolume_gas_dRho2,dPhaseVolume_gas_dRho3,dPhaseVolume_gas_dRho4,PhaseCompFrac_oil_N2,PhaseCompFrac_oil_C10,PhaseCompFrac_oil_C20,PhaseCompFrac_oil_H2O,PhaseCompFrac_gas_N2,PhaseCompFrac_gas_C10,PhaseCompFrac_gas_C20,PhaseCompFrac_gas_H2O
1,1000,0,0,0,0,0,0,4.5,0,1.625,4.49228e+06,342.144,1036.8,2073.6,3.456,-0.00706297,718.813,0.099,0.3,0.6,0.001,750.042,51.6233,0.001,0.001,2.28698e-08,-0.304858,0.00200368,0.841827,-0.37089,-30.1128,1.1571e-05,-0.19399,4.81654e-06,0.0329638,-0.0162188,-0.160215,0.955286,0.0447139,2.12172e-09,0,-1.35305e-08,0.000181307,0.000369976,3.72069e-05,-4.12721e-08,0,0.000542577,-4.303e-05,-4.63957e-05,-3.0618e-05,0.0769903,0.307328,0.614659,0.00102323,0.999888,6.33712e-05,8.1428e-09,4.90449e-05
1,1000,0,0,0,0,0,1,4.5,0,0.875,4.49767e+06,342.216,1037.02,2074.04,3.45673,-0.00706354,718.965,0.099,0.3,0.6,0.001,750.042,51.6856,0.001,0.001,2.29085e-08,-0.304864,0.00084771,0.841522,-0.370916,-30.1433,1.1571e-05,-0.194245,-4.81654e-06,0.0330098,-0.0162443,-0.160692,0.955499,0.0445013,2.12209e-09,0,-1.31188e-08,0.000181311,0.00036998,3.7222e-05,-4.11812e-08,0,0.000541922,-4.30295e-05,-4.63949e-05,-3.06517e-05,0.0770752,0.3073,0.614602,0.00102314,0.999888,6.33728e-05,8.15353e-09,4.9005e-05
2,1000,0,0,0,1,0,0,4.5,0,1.625,3.00249e+06,321.775,976.613,1953.23,3.25535,-0.0197719,677.072,0.0988595,0.300047,0.600094,0.00100015,750.018,34.3997,0.001,0.001,9.0003e-09,-0.303145,0.00162066,0.874548,-0.387271,-30.2075,1.15431e-05,-0.125116,1.44702e-05,0.0223904,-0.010608,-0.356139,0.896837,0.128693,2.02093e-09,0,-1.44328e-08,0.00018032,0.000368939,3.64222e-05,-8.74811e-08,0,0.000814262,-4.31706e-05,-4.66213e-05,-2.84255e-05,0.052869,0.315359,0.630724,0.00104784,0.999867,6.71271e-05,5.98088e-09,6.58442e-05
2,1000,0,0,0,1,0,1,4.5,0,0.875,3.00748e+06,317.115,980.233,1960.47,3.26715,-0.0150328,679.418,0.0972423,0.300585,0.601171,0.00100186,750.019,34.4573,0.001,0.001,9.03864e-09,-0.303151,0.00188298,0.872779,-0.386438,-30.1863,1.15433e-05,-0.12534,1.47108e-05,0.0223836,-0.010604,-0.356006,0.900172,0.123976,2.02834e-09,0,-1.4475e-08,0.000180323,0.000368942,3.64346e-05,-8.59183e-08,0,0.000812901,-4.31702e-05,-4.66203e-05,-2.84945e-05,0.052952,0.315331,0.630669,0.00104779,0.999867,6.70949e-05,5.98551e-09,6.57616e-05
3,1000,0,0,0,2,0,0,4.5,0,1.625,3.00243e+06,313.388,952.685,1905.37,3.17557,-0.0234984,660.469,0.0987167,0.300094,0.600189,0.0010003,750.018,34.399,0.001,0.001,9.02081e-09,-0.303145,0.003246,0.874639,-0.387057,-30.1724,1.15431e-05,-0.125113,1.44911e-05,0.0223884,-0.0106047,-0.356562,0.874864,0.125136,1.97138e-09,0,-1.48698e-08,0.00018032,0.000368939,3.64052e-05,-8.52037e-08,0,0.000814279,-4.31707e-05,-4.66213e-05,-2.84056e-05,0.052868,0.315359,0.630725,0.00104784,0.999867,6.71275e-05,5.98082e-09,6.58455e-05
3,1000,0,0,0,2,0,1,4.5,0,0.875,3.0073e+06,310.066,956.656,1913.31,3.1886,-0.0168686,663.092,0.0974062,0.300531,0.601062,0.00100169,750.019,34.4552,0.001,0.001,9.0265e-09,-0.303151,0.00156651,0.872962,-0.386559,-30.222,1.15433e-05,-0.125332,2.44767e-05,0.0223861,-0.010602,-0.354164,0.878521,0.121479,1.97957e-09,0,-1.4398e-08,0.000180323,0.000368942,3.64519e-05,-8.40195e-08,0,0.000812951,-4.31702e-05,-4.66202e-05,-2.85506e-05,0.052949,0.315332,0.630671,0.00104779,0.999867,6.7096e-05,5.98534e-09,6.57645e-05
4,1000,0,0,0,3,0,0,4.5,0,1.625,3.00243e+06,313.412,952.66,1905.32,3.17549,-0.0234991,660.452,0.0987258,0.300091,0.600183,0.00100029,750.018,34.399,0.001,0.001,8.9954e-09,-0.303145,0.00200924,0.874597,-0.387138,-30.2337,1.15431e-05,-0.125113,2.89795e-05,0.0223934,-0.0106032,-0.354659,0.874841,0.125159,1.97136e-09,0,-1.45526e-08,0.00018032,0.000368939,3.64327e-05,-8.52103e-08,0,0.000814279,-4.31707e-05,-4.66213e-05,-2.84351e-05,0.052868,0.315359,0.630725,0.00104784,0.999867,6.71275e-05,5.98082e-09,6.58455e-05
4,1000,0,0,0,3,0,1,4.5,0,0.875,3.0073e+06,310.055,956.668,1913.34,3.18863,-0.016868,663.1,0.0974022,0.300532,0.601064,0.00100169,750.019,34.4552,0.001,0.001,9.04172e-09,-0.303151,0.00180156,0.873035,-0.386506,-30.1838,1.15433e-05,-0.125332,1.95822e-05,0.0223875,-0.0106051,-0.354162,0.878531,0.121469,1.97958e-09,0,-1.44436e-08,0.000180323,0.000368942,3.64324e-05,-8.40166e-08,0,0.00081295,-4.31701e-05,-4.66203e-05,-2.84774e-05,0.052949,0.315332,0.630671,0.00104779,0.999867,6.7096e-05,5.98534e-09,6.57645e-05
5,1000,0,0,0,0,0,0,4.5,0,1.625,3.00243e+06,313.412,952.66,1905.32,3.17549,-0.0234991,660.452,0.0987258,0.300091,0.600183,0.00100029,750.018,34.399,0.001,0.001,8.9954e-09,-0.303145,0.00200924,0.874597,-0.387138,-30.2337,1.15431e-05,-0.125113,2.89795e-05,0.0223934,-0.0106032,-0.354659,0.874841,0.125159,1.97136e-09,0,-1.45526e-08,0.00018032,0.000368939,3.64327e-05,-8.52103e-08,0,0.000814279,-4.31707e-05,-4.66213e-05,-2.84351e-05,0.052868,0.315359,0.630725,0.00104784,0.999867,6.71275e-05,5.98082e-09,6.58455e-05
5,1000,0,0,0,0,0,1,4.5,0,0.875,3.0073e+06,310.055,956.668,1913.34,3.18863,-0.016868,663.1,0.0974022,0.300532,0.601064,0.00100169,750.019,34.4552,0.001,0.001,9.04172e-09,-0.303151,0.00180156,0.873035,-0.386506,-30.1838,1.15433e-05,-0.125332,1.95822e-05,0.0223875,-0.0106051,-0.354162,0.878531,0.121469,1.97958e-09,0,-1.44436e-08,0.000180323,0.000368942,3.64324e-05,-8.40166e-08,0,0.00081295,-4.31701e-05,-4.66203e-05,-2.84774e-05,0.052949,0.315332,0.630671,0.00104779,0.999867,6.7096e-05,5.98534e-09,6.57645e-05
