injectionRate,pressure,time
0.0,2360.6665,0.0
0.0,2360.66699,0.125
0.0,2360.66797,0.25
0.0,2360.66846,0.375
0.0,2360.66846,0.5
0.0,2360.66846,0.625
0.0,2360.66821,0.75
0.0,2360.66772,0.875
0.0,2360.66748,1.0
0.0,2360.66724,1.125
0.0,2360.66699,1.25
0.0,2360.66699,1.375
0.0,2360.66699,1.5
0.0,2360.66699,1.625
0.0,2360.66699,1.75
0.0,2360.66675,1.875
0.0,2360.66602,2.0
0.0,2360.66553,2.125
0.0,2360.66504,2.25
0.0,2360.66528,2.375
0.0,2360.66602,2.5
0.0,2360.6665,2.625
0.0,2360.66699,2.75
0.0,2360.66699,2.875
0.0,2360.66699,3.0
0.0,2360.6665,3.125
0.0,2360.66602,3.25
0.0,2360.66577,3.375
0.0,2360.66553,3.5
0.0,2360.66553,3.625
0.0,2360.66553,3.75
0.0,2360.66553,3.875
0.0,2360.66528,4.0
0.0,2360.66553,4.125
0.0,2360.66553,4.25
0.0,2360.66553,4.375
0.0,2360.66602,4.5
0.0,2360.6665,4.625
0.0,2360.66675,4.75
0.0,2360.66699,4.875
0.0,2360.66675,5.0
0.0,2360.66602,5.125
0.0,2360.66577,5.25
0.0,2360.66528,5.375
0.0,2360.66553,5.5
0.0,2360.66577,5.625
0.0,2360.66602,5.75
0.0,2360.6665,5.875
0.0,2360.6665,6.0
0.0,2360.6665,6.125
0.0,2360.66602,6.25
0.0,2360.66553,6.375
0.0,2360.66504,6.5
0.0,2360.66479,6.625
0.0,2360.66431,6.75
0.0,2360.66455,6.875
0.0,2360.66455,7.0
0.0,2360.66406,7.125
0.0,2360.66431,7.25
0.0,2360.66406,7.375
0.0,2360.66431,7.5
0.0,2360.66455,7.625
0.0,2360.66455,7.75
0.0,2360.66455,7.875
0.0,2360.66455,8.0
0.0,2360.66455,8.125
0.0,2360.66504,8.25
0.0,2360.66504,8.375
0.0,2360.66504,8.5
0.0,2360.66504,8.625
0.0,2360.66455,8.75
0.0,2360.66431,8.875
0.0,2360.66382,9.0
0.0,2360.66357,9.125
0.0,2360.66309,9.25
0.0,2360.66309,9.375
0.0,2360.66309,9.5
0.0,2360.66357,9.625
0.0,2360.66455,9.75
0.0,2360.66528,9.875
0.0,2360.66553,10.0
0.0,2360.66553,10.125
0.0,2360.66455,10.25
0.0,2360.66406,10.375
0.0,2360.66357,10.5
0.0,2360.66357,10.625
0.0,2360.66382,10.75
0.0,2360.66406,10.875
0.0,2360.66431,11.0
0.0,2360.66455,11.125
0.0,2360.66504,11.25
0.0,2360.66528,11.375
0.0,2360.66553,11.5
0.0,2360.66528,11.625
0.0,2360.66504,11.75
0.0,2360.66479,11.875
0.0,2360.66504,12.0
0.0,2360.66528,12.125
0.0,2360.66553,12.25
0.0,2360.66602,12.375
0.0,2360.66602,12.5
0.0,2360.66602,12.625
0.0,2360.66577,12.75
0.0,2360.66528,12.875
0.0,2360.66479,13.0
0.0,2360.66431,13.125
0.0,2360.66431,13.25
0.0,2360.66455,13.375
0.0,2360.66479,13.5
