x	Curve1
-1.233	250.387
-1.162	243.103
-1.185	235.835
-1.303	228.582
-1.53	221.47
-1.788	214.398
-1.93	207.165
-2.155	200.047
-2.427	192.992
-2.637	185.838
-3.025	179.146
-3.598	173.022
-4.356	167.874
-5.173	163.169
-6.086	159.532
-7.09	156.988
-8.124	155.13
-9.171	153.554
-10.219	152.043
-11.291	152.031
-12.363	151.844
-13.434	151.56
-14.506	151.36
-15.578	151.379
-16.651	151.399
-17.723	151.418
-17.988	151.307
-16.916	150.979
-15.845	150.652
-14.773	150.324
-13.702	149.996
-12.63	149.669
-11.559	149.341
-10.488	148.965
-9.418	148.46
-8.36	147.296
-7.306	145.952
-6.248	144.732
-5.221	142.864
-4.262	139.582
-3.291	136.473
-2.374	132.799
-1.577	127.902
-0.707	123.625
0.137	119.136
0.896	113.961
1.592	108.412
2.262	102.7
3.129	98.534
4.054	94.816
4.983	91.162
5.923	87.643
6.901	84.63
7.879	81.616
8.94	80.509
10	79.407
11.067	78.652
12.134	77.906
13.203	77.3
14.272	76.698
15.342	76.211
16.413	75.86
17.485	75.593
18.557	75.574
19.63	75.554
18.872	75.064
17.803	74.494
16.734	73.923
15.665	73.437
14.593	73.456
13.52	73.476
12.454	72.794
11.391	71.87
10.334	70.708
9.284	69.224
8.278	66.891
7.319	63.644
6.409	59.931
5.651	54.783
5.243	48.058
4.844	41.288
4.546	34.291
4.31	27.19
4.185	19.943
4.055	12.7
3.922	5.459
4.064	-1.763
4.223	-8.985
4.339	-16.243
4.452	-23.503
4.619	-30.716
4.796	-37.916
5.072	-44.974
5.57	-51.247
6.263	-56.832
6.979	-62.275
7.805	-66.584
8.828	-68.779
9.861	-70.762
10.898	-72.639
11.958	-73.531
13.029	-73.995
14.1	-74.362
15.171	-74.728
16.243	-74.749
17.316	-74.769
18.388	-74.788
19.461	-74.808
19.253	-74.94
18.181	-75.148
17.109	-75.357
16.037	-75.586
14.966	-75.847
13.894	-76.108
12.831	-77.006
11.771	-78.069
10.702	-78.565
9.631	-78.893
8.576	-80.047
7.529	-81.612
6.573	-84.796
5.635	-88.323
4.732	-92.238
3.84	-96.27
2.962	-100.438
2.092	-104.696
1.284	-109.413
0.574	-114.874
-0.146	-120.262
-0.947	-125.097
-1.749	-129.932
-2.675	-133.454
-3.653	-136.432
-4.648	-139.109
-5.66	-141.502
-6.682	-143.676
-7.72	-145.515
-8.77	-146.796
-9.84	-147.336
-10.909	-147.876
-11.979	-148.289
-13.05	-148.675
-14.121	-149.06
-15.192	-149.358
-16.264	-149.338
-17.337	-149.319
-18.409	-149.299
-17.517	-149.594
-16.445	-149.917
-15.374	-150.241
-14.302	-150.564
-13.231	-150.884
-12.159	-151.174
-11.088	-151.463
-10.022	-152.134
-8.964	-153.354
-7.906	-154.573
-6.904	-157.179
-5.903	-159.818
-4.949	-162.943
-4.19	-168.118
-3.553	-173.945
-3.026	-180.309
-2.571	-186.885
-2.311	-193.971
-2.131	-201.154
-2.013	-208.411
-1.728	-215.421
-1.388	-222.352
-1.395	-229.588
-1.43	-236.869
-1.318	-244.13
