Var1	Var2
-250	-1037995.18194941
-249.749874937469	-1040736.82841851
-249.499749874937	-1043490.38096086
-249.249624812406	-1046255.91433563
-248.999499749875	-1049033.50393039
-248.749374687344	-1051823.2257678
-248.499249624812	-1054625.15651244
-248.249124562281	-1057439.37347765
-247.99899949975	-1060265.95463254
-247.748874437219	-1063104.97860904
-247.498749374687	-1065956.52470906
-247.248624312156	-1068820.67291175
-246.998499249625	-1071697.50388083
-246.748374187094	-1074587.09897208
-246.498249124562	-1077489.54024083
-246.248124062031	-1080404.91044967
-245.9979989995	-1083333.29307614
-245.747873936968	-1086274.77232061
-245.497748874437	-1089229.43311426
-245.247623811906	-1092197.36112711
-244.997498749375	-1095178.6427762
-244.747373686843	-1098173.3652339
-244.497248624312	-1101181.61643629
-244.247123561781	-1104203.48509167
-243.99699849925	-1107239.06068921
-243.746873436718	-1110288.43350765
-243.496748374187	-1113351.69462423
-243.246623311656	-1116428.93592363
-242.996498249125	-1119520.25010708
-242.746373186593	-1122625.73070165
-242.496248124062	-1125745.47206955
-242.246123061531	-1128879.56941767
-241.995997999	-1132028.11880721
-241.745872936468	-1135191.21716339
-241.495747873937	-1138368.96228542
-241.245622811406	-1141561.4528565
-240.995497748874	-1144768.78845399
-240.745372686343	-1147991.06955975
-240.495247623812	-1151228.39757063
-240.245122561281	-1154480.87480903
-239.994997498749	-1157748.60453372
-239.744872436218	-1161031.69095075
-239.494747373687	-1164330.23922451
-239.244622311156	-1167644.35548898
-238.994497248624	-1170974.14685914
-238.744372186093	-1174319.7214425
-238.494247123562	-1177681.18835086
-238.244122061031	-1181058.65771219
-237.993996998499	-1184452.24068274
-237.743871935968	-1187862.04945921
-237.493746873437	-1191288.19729127
-237.243621810905	-1194730.7984941
-236.993496748374	-1198189.96846122
-236.743371685843	-1201665.82367746
-236.493246623312	-1205158.48173214
-236.24312156078	-1208668.06133242
-235.992996498249	-1212194.6823169
-235.742871435718	-1215738.46566937
-235.492746373187	-1219299.53353279
-235.242621310655	-1222878.00922347
-234.992496248124	-1226474.01724548
-234.742371185593	-1230087.68330525
-234.492246123062	-1233719.1343264
-234.24212106053	-1237368.49846485
-233.991995997999	-1241035.90512403
-233.741870935468	-1244721.48497047
-233.491745872936	-1248425.36994952
-233.241620810405	-1252147.69330137
-232.991495747874	-1255888.58957728
-232.741370685343	-1259648.19465609
-232.491245622811	-1263426.64576096
-232.24112056028	-1267224.08147638
-231.990995497749	-1271040.64176549
-231.740870435218	-1274876.46798753
-231.490745372686	-1278731.70291575
-231.240620310155	-1282606.49075548
-230.990495247624	-1286500.97716247
-230.740370185093	-1290415.30926164
-230.490245122561	-1294349.63566597
-230.24012006003	-1298304.10649584
-229.989994997499	-1302278.87339854
-229.739869934967	-1306274.08956822
-229.489744872436	-1310289.90976605
-229.239619809905	-1314326.49034077
-228.989494747374	-1318383.98924955
-228.739369684842	-1322462.56607919
-228.489244622311	-1326562.38206768
-228.23911955978	-1330683.60012604
-227.988994497249	-1334826.38486064
-227.738869434717	-1338990.90259575
-227.488744372186	-1343177.32139659
-227.238619309655	-1347385.81109262
-226.988494247124	-1351616.54330135
-226.738369184592	-1355869.69145245
-226.488244122061	-1360145.43081231
-226.23811905953	-1364443.93850897
-225.987993996999	-1368765.39355754
-225.737868934467	-1373109.97688592
-225.487743871936	-1377477.87136109
-225.237618809405	-1381869.26181577
-224.987493746873	-1386284.33507552
-224.737368684342	-1390723.27998636
-224.487243621811	-1395186.28744278
-224.23711855928	-1399673.55041632
-223.986993496748	-1404185.26398459
-223.736868434217	-1408721.62536074
-223.486743371686	-1413282.83392358
-223.236618309155	-1417869.09124804
-222.986493246623	-1422480.60113633
-222.736368184092	-1427117.56964954
-222.486243121561	-1431780.20513981
-222.23611805903	-1436468.7182831
-221.985992996498	-1441183.32211247
-221.735867933967	-1445924.23205206
-221.485742871436	-1450691.66595152
