case,phase,job_id,state,exit,elapsed,total_cpu,cpu_time_raw,alloc_cpus
brazilianDisk_FMPM,geos,,,,,,,
brazilianDisk_FMPM,post,,,,,,,
brazilianDisk_BSpline,geos,,,,,,,
brazilianDisk_BSpline,post,,,,,,,
brazilianDisk_FLIP,geos,,,,,,,
brazilianDisk_FLIP,post,,,,,,,
brazilianDisk_PIC,geos,,,,,,,
brazilianDisk_PIC,post,,,,,,,
brazilianDisk_XPIC,geos,,,,,,,
brazilianDisk_XPIC,post,,,,,,,
benchy,geos,,,,,,,
benchy,post,,,,,,,
borehole_Ghareb,geos,6075340,COMPLETED,0:0,00:00:40,00:00:00,4480,112
borehole_Ghareb,post,6075341,FAILED,2:0,00:00:00,00:00:00,0,1
collidingDisks,geos,6075342,COMPLETED,0:0,00:00:12,00:00:00,48,4
collidingDisks,post,6075343,FAILED,2:0,00:00:01,00:00:00,1,1
elasticDisk,geos,6075344,COMPLETED,0:0,00:01:26,00:00:00,1376,16
elasticDisk,post,6075345,FAILED,2:0,00:00:00,00:00:00,0,1
pdc,geos,6075346,COMPLETED,0:0,00:09:55,00:00:00,66640,112
pdc,post,6075347,FAILED,2:0,00:00:00,00:00:00,0,1
