# column 1 = time
# column 2 = axial strain
# column 3 = radial strain
# column 4 = axial stress
# column 5 = radial stress
0.0000e+00 0.0000e+00 0.0000e+00 -1.0000e+00 -1.0000e+00
8.0000e-02 -8.0000e-05 2.0000e-05 -1.0600e+00 -1.0000e+00
1.6000e-01 -1.6000e-04 4.0000e-05 -1.1200e+00 -1.0000e+00
2.4000e-01 -2.4000e-04 6.0000e-05 -1.1800e+00 -1.0000e+00
3.2000e-01 -3.2000e-04 8.0000e-05 -1.2400e+00 -1.0000e+00
4.0000e-01 -4.0000e-04 1.0000e-04 -1.3000e+00 -1.0000e+00
4.8000e-01 -4.8000e-04 1.2000e-04 -1.3600e+00 -1.0000e+00
5.6000e-01 -5.6000e-04 1.4000e-04 -1.4200e+00 -1.0000e+00
6.4000e-01 -6.4000e-04 1.6000e-04 -1.4800e+00 -1.0000e+00
7.2000e-01 -7.2000e-04 1.8000e-04 -1.5400e+00 -1.0000e+00
8.0000e-01 -8.0000e-04 2.0000e-04 -1.6000e+00 -1.0000e+00
8.8000e-01 -8.8000e-04 2.2000e-04 -1.6600e+00 -1.0000e+00
9.6000e-01 -9.6000e-04 2.4221e-04 -1.7173e+00 -1.0000e+00
1.0400e+00 -1.0400e-03 2.9015e-04 -1.7436e+00 -1.0000e+00
1.1200e+00 -1.1200e-03 3.3974e-04 -1.7686e+00 -1.0000e+00
1.2000e+00 -1.2000e-03 3.9097e-04 -1.7923e+00 -1.0000e+00
1.2800e+00 -1.2800e-03 4.4385e-04 -1.8148e+00 -1.0000e+00
1.3600e+00 -1.3600e-03 4.9833e-04 -1.8361e+00 -1.0000e+00
1.4400e+00 -1.4400e-03 5.5439e-04 -1.8562e+00 -1.0000e+00
1.5200e+00 -1.5200e-03 6.1200e-04 -1.8752e+00 -1.0000e+00
1.6000e+00 -1.6000e-03 6.7110e-04 -1.8931e+00 -1.0000e+00
1.6800e+00 -1.6800e-03 7.3164e-04 -1.9100e+00 -1.0000e+00
1.7600e+00 -1.7600e-03 7.9358e-04 -1.9259e+00 -1.0000e+00
1.8400e+00 -1.8400e-03 8.5686e-04 -1.9408e+00 -1.0000e+00
1.9200e+00 -1.9200e-03 9.2141e-04 -1.9549e+00 -1.0000e+00
2.0000e+00 -2.0000e-03 9.8719e-04 -1.9681e+00 -1.0000e+00
2.0800e+00 -2.0800e-03 1.0541e-03 -1.9806e+00 -1.0000e+00
2.1600e+00 -2.1600e-03 1.1221e-03 -1.9923e+00 -1.0000e+00
2.2400e+00 -2.2400e-03 1.1912e-03 -2.0033e+00 -1.0000e+00
2.3200e+00 -2.3200e-03 1.2613e-03 -2.0137e+00 -1.0000e+00
2.4000e+00 -2.4000e-03 1.3323e-03 -2.0235e+00 -1.0000e+00
2.4800e+00 -2.4800e-03 1.4041e-03 -2.0327e+00 -1.0000e+00
2.5600e+00 -2.5600e-03 1.4769e-03 -2.0414e+00 -1.0000e+00
2.6400e+00 -2.6400e-03 1.5503e-03 -2.0497e+00 -1.0000e+00
2.7200e+00 -2.7200e-03 1.6246e-03 -2.0574e+00 -1.0000e+00
2.8000e+00 -2.8000e-03 1.6995e-03 -2.0648e+00 -1.0000e+00
2.8800e+00 -2.8800e-03 1.7751e-03 -2.0717e+00 -1.0000e+00
2.9600e+00 -2.9600e-03 1.8513e-03 -2.0783e+00 -1.0000e+00
3.0400e+00 -2.9600e-03 1.8513e-03 -2.0783e+00 -1.0000e+00
3.1200e+00 -2.8800e-03 1.8313e-03 -2.0183e+00 -1.0000e+00
3.2000e+00 -2.8000e-03 1.8113e-03 -1.9583e+00 -1.0000e+00
3.2800e+00 -2.7200e-03 1.7913e-03 -1.8983e+00 -1.0000e+00
3.3600e+00 -2.6400e-03 1.7713e-03 -1.8383e+00 -1.0000e+00
3.4400e+00 -2.5600e-03 1.7513e-03 -1.7783e+00 -1.0000e+00
3.5200e+00 -2.4800e-03 1.7313e-03 -1.7183e+00 -1.0000e+00
3.6000e+00 -2.4000e-03 1.7113e-03 -1.6583e+00 -1.0000e+00
3.6800e+00 -2.3200e-03 1.6913e-03 -1.5983e+00 -1.0000e+00
3.7600e+00 -2.2400e-03 1.6713e-03 -1.5383e+00 -1.0000e+00
3.8400e+00 -2.1600e-03 1.6513e-03 -1.4783e+00 -1.0000e+00
3.9200e+00 -2.0800e-03 1.6313e-03 -1.4183e+00 -1.0000e+00
4.0000e+00 -2.0000e-03 1.6113e-03 -1.3583e+00 -1.0000e+00
