# Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
# reference = Eric W. Lemmon, Mark O. McLinden and Daniel G. Friend, "Thermophysical Properties of Fluid Systems" in NIST Chemistry WebBook, NIST Standard Reference Database Number 69, Eds. P.J. Linstrom and W.G. Mallard, National Institute of Standards and Technology, Gaithersburg MD, 20899, https://doi.org/10.18434/T4D303, (retrieved December 14, 2021).
350.00	1.0000	15.581	0.064180	21.169	23.993	107.04	31.637	41.229	284.86	7.3204	1.7476e-05	0.021295	vapor
350.00	2.0000	32.165	0.031090	20.948	23.684	100.64	32.226	43.352	280.22	7.2981	1.7601e-05	0.021789	vapor
350.00	3.0000	49.901	0.020040	20.714	23.360	96.593	32.850	45.833	275.58	7.2598	1.7778e-05	0.022390	vapor
350.00	4.0000	68.976	0.014498	20.466	23.018	93.478	33.511	48.764	270.98	7.2015	1.8019e-05	0.023122	vapor
350.00	5.0000	89.619	0.011158	20.201	22.657	90.848	34.213	52.264	266.45	7.1178	1.8338e-05	0.024020	vapor
350.00	6.0000	112.12	0.0089193	19.918	22.273	88.499	34.957	56.495	262.05	7.0022	1.8757e-05	0.025130	vapor
350.00	7.0000	136.82	0.0073090	19.613	21.865	86.316	35.745	61.668	257.89	6.8467	1.9300e-05	0.026511	vapor
350.00	8.0000	164.16	0.0060918	19.283	21.428	84.228	36.575	68.054	254.10	6.6420	2.0004e-05	0.028239	vapor
350.00	8.0000	164.16	0.0060918	19.283	21.428	84.228	36.575	68.054	254.10	6.6420	2.0004e-05	0.028239	supercritical
350.00	8.0000	164.16	0.0060918	19.283	21.428	84.228	36.575	68.054	254.10	6.6420	2.0004e-05	0.028239	supercritical
350.00	9.0000	194.64	0.0051378	18.925	20.960	82.187	37.441	75.974	250.90	6.3777	2.0915e-05	0.030403	supercritical
350.00	10.000	228.80	0.0043705	18.535	20.458	80.159	38.325	85.729	248.62	6.0435	2.2097e-05	0.033090	supercritical
350.00	11.000	267.13	0.0037435	18.112	19.925	78.125	39.192	97.387	247.74	5.6312	2.3623e-05	0.036350	supercritical
350.00	12.000	309.70	0.0032290	17.660	19.365	76.090	39.978	110.30	248.93	5.1406	2.5570e-05	0.040130	supercritical
350.00	13.000	355.71	0.0028113	17.190	18.798	74.091	40.597	122.55	252.99	4.5877	2.7974e-05	0.044224	supercritical
350.00	14.000	403.15	0.0024805	16.723	18.251	72.196	40.978	131.39	260.58	4.0104	3.0787e-05	0.048312	supercritical
350.00	15.000	449.20	0.0022262	16.283	17.753	70.477	41.122	135.06	271.76	3.4558	3.3852e-05	0.052132	supercritical
350.00	16.000	491.48	0.0020347	15.888	17.321	68.976	41.100	133.96	285.80	2.9602	3.6971e-05	0.055591	supercritical
350.00	17.000	528.86	0.0018908	15.544	16.958	67.693	40.988	130.04	301.61	2.5404	3.9987e-05	0.058722	supercritical
350.00	18.000	561.37	0.0017814	15.246	16.657	66.601	40.840	125.06	318.22	2.1944	4.2821e-05	0.061588	supercritical
350.00	19.000	589.57	0.0016961	14.988	16.406	65.666	40.685	120.01	334.99	1.9109	4.5454e-05	0.064232	supercritical
350.00	20.000	614.18	0.0016282	14.762	16.195	64.855	40.540	115.34	351.52	1.6780	4.7891e-05	0.066685	supercritical
350.00	21.000	635.83	0.0015728	14.563	16.016	64.143	40.409	111.18	367.57	1.4851	5.0154e-05	0.068974	supercritical
350.00	22.000	655.07	0.0015266	14.385	15.863	63.510	40.294	107.54	383.04	1.3238	5.2266e-05	0.071120	supercritical
350.00	23.000	672.33	0.0014874	14.225	15.730	62.941	40.197	104.37	397.92	1.1871	5.4246e-05	0.073139	supercritical
350.00	24.000	687.96	0.0014536	14.079	15.614	62.425	40.114	101.58	412.22	1.0700	5.6114e-05	0.075047	supercritical
350.00	25.000	702.22	0.0014241	13.945	15.512	61.952	40.044	99.133	425.97	0.96858	5.7883e-05	0.076856	supercritical
350.00	26.000	715.31	0.0013980	13.822	15.422	61.516	39.986	96.963	439.20	0.87989	5.9568e-05	0.078576	supercritical
350.00	27.000	727.41	0.0013747	13.707	15.341	61.111	39.937	95.030	451.95	0.80171	6.1177e-05	0.080218	supercritical
350.00	28.000	738.65	0.0013538	13.600	15.269	60.733	39.897	93.302	464.24	0.73230	6.2721e-05	0.081789	supercritical
350.00	29.000	749.14	0.0013349	13.500	15.204	60.379	39.865	91.749	476.11	0.67029	6.4206e-05	0.083296	supercritical
350.00	30.000	758.98	0.0013176	13.406	15.145	60.045	39.838	90.349	487.58	0.61457	6.5640e-05	0.084746	supercritical
350.00	31.000	768.25	0.0013017	13.317	15.093	59.730	39.816	89.080	498.68	0.56426	6.7027e-05	0.086144	supercritical
350.00	32.000	777.00	0.0012870	13.232	15.045	59.430	39.800	87.927	509.43	0.51860	6.8372e-05	0.087494	supercritical
350.00	33.000	785.29	0.0012734	13.152	15.001	59.145	39.787	86.874	519.86	0.47698	6.9679e-05	0.088801	supercritical
350.00	34.000	793.17	0.0012608	13.075	14.962	58.873	39.777	85.909	529.99	0.43890	7.0953e-05	0.090067	supercritical
350.00	35.000	800.68	0.0012489	13.002	14.926	58.612	39.771	85.022	539.84	0.40392	7.2195e-05	0.091297	supercritical
350.00	36.000	807.85	0.0012378	12.932	14.893	58.362	39.767	84.204	549.42	0.37168	7.3409e-05	0.092493	supercritical
350.00	37.000	814.72	0.0012274	12.864	14.863	58.122	39.765	83.447	558.75	0.34186	7.4597e-05	0.093658	supercritical
350.00	38.000	821.30	0.0012176	12.800	14.836	57.890	39.765	82.745	567.84	0.31420	7.5761e-05	0.094793	supercritical
350.00	39.000	827.63	0.0012083	12.737	14.811	57.667	39.767	82.091	576.72	0.28848	7.6904e-05	0.095901	supercritical
350.00	40.000	833.72	0.0011994	12.677	14.788	57.451	39.771	81.481	585.39	0.26449	7.8025e-05	0.096984	supercritical
350.00	41.000	839.60	0.0011911	12.619	14.768	57.242	39.776	80.911	593.86	0.24206	7.9128e-05	0.098042	supercritical
350.00	42.000	845.26	0.0011831	12.562	14.749	57.039	39.782	80.376	602.15	0.22104	8.0214e-05	0.099079	supercritical
350.00	43.000	850.74	0.0011754	12.508	14.732	56.842	39.790	79.873	610.26	0.20130	8.1283e-05	0.10009	supercritical
350.00	44.000	856.05	0.0011682	12.455	14.717	56.651	39.798	79.399	618.20	0.18273	8.2337e-05	0.10109	supercritical
350.00	45.000	861.19	0.0011612	12.403	14.703	56.466	39.808	78.953	625.99	0.16521	8.3376e-05	0.10206	supercritical
350.00	46.000	866.17	0.0011545	12.354	14.691	56.285	39.818	78.530	633.63	0.14867	8.4403e-05	0.10302	supercritical
350.00	47.000	871.02	0.0011481	12.305	14.680	56.109	39.828	78.130	641.12	0.13303	8.5416e-05	0.10396	supercritical
350.00	48.000	875.72	0.0011419	12.258	14.670	55.937	39.840	77.751	648.48	0.11820	8.6418e-05	0.10489	supercritical
350.00	49.000	880.30	0.0011360	12.212	14.661	55.769	39.852	77.390	655.71	0.10413	8.7409e-05	0.10580	supercritical
350.00	50.000	884.76	0.0011303	12.167	14.654	55.605	39.865	77.047	662.81	0.090755	8.8389e-05	0.10670	supercritical
