"elementCenter:0","elementCenter:1","elementCenter:2","pressure","rockSolid_stress:0","rockSolid_stress:1","rockSolid_stress:2","rockSolid_stress:3","rockSolid_stress:4","rockSolid_stress:5","Points:0","Points:1","Points:2"
525,525,-987.5,9.7081e+06,-3.023e+06,-3.023e+06,-9.069e+06,-1.1991e-09,-1.1232e-09,9.354e-09,500,500,-1000
525,525,-987.5,9.7081e+06,-3.023e+06,-3.023e+06,-9.069e+06,-1.1991e-09,-1.1232e-09,9.354e-09,500,500,-999
525,525,-987.5,9.7081e+06,-3.023e+06,-3.023e+06,-9.069e+06,-1.1991e-09,-1.1232e-09,9.354e-09,500,500,-998
525,525,-987.5,9.7081e+06,-3.023e+06,-3.023e+06,-9.069e+06,-1.1991e-09,-1.1232e-09,9.354e-09,500,500,-997
525,525,-987.5,9.7081e+06,-3.023e+06,-3.023e+06,-9.069e+06,-1.1991e-09,-1.1232e-09,9.354e-09,500,500,-996
525,525,-987.5,9.7081e+06,-3.023e+06,-3.023e+06,-9.069e+06,-1.1991e-09,-1.1232e-09,9.354e-09,500,500,-995
525,525,-987.5,9.7081e+06,-3.023e+06,-3.023e+06,-9.069e+06,-1.1991e-09,-1.1232e-09,9.354e-09,500,500,-994
525,525,-987.5,9.7081e+06,-3.023e+06,-3.023e+06,-9.069e+06,-1.1991e-09,-1.1232e-09,9.354e-09,500,500,-993
525,525,-987.5,9.7081e+06,-3.023e+06,-3.023e+06,-9.069e+06,-1.1991e-09,-1.1232e-09,9.354e-09,500,500,-992
525,525,-987.5,9.7081e+06,-3.023e+06,-3.023e+06,-9.069e+06,-1.1991e-09,-1.1232e-09,9.354e-09,500,500,-991
525,525,-987.5,9.7081e+06,-3.023e+06,-3.023e+06,-9.069e+06,-1.1991e-09,-1.1232e-09,9.354e-09,500,500,-990
525,525,-987.5,9.7081e+06,-3.023e+06,-3.023e+06,-9.069e+06,-1.1991e-09,-1.1232e-09,9.354e-09,500,500,-989
525,525,-987.5,9.7081e+06,-3.023e+06,-3.023e+06,-9.069e+06,-1.1991e-09,-1.1232e-09,9.354e-09,500,500,-988
525,525,-987.5,9.7081e+06,-3.023e+06,-3.023e+06,-9.069e+06,-1.1991e-09,-1.1232e-09,9.354e-09,500,500,-987
525,525,-987.5,9.7081e+06,-3.023e+06,-3.023e+06,-9.069e+06,-1.1991e-09,-1.1232e-09,9.354e-09,500,500,-986
525,475,-987.5,9.7081e+06,-3.023e+06,-3.023e+06,-9.069e+06,-5.6053e-10,-1.7456e-09,7.6652e-09,500,500,-985
525,475,-987.5,9.7081e+06,-3.023e+06,-3.023e+06,-9.069e+06,-5.6053e-10,-1.7456e-09,7.6652e-09,500,500,-984
525,475,-987.5,9.7081e+06,-3.023e+06,-3.023e+06,-9.069e+06,-5.6053e-10,-1.7456e-09,7.6652e-09,500,500,-983
525,475,-987.5,9.7081e+06,-3.023e+06,-3.023e+06,-9.069e+06,-5.6053e-10,-1.7456e-09,7.6652e-09,500,500,-982
