"elementCenter:0","elementCenter:1","elementCenter:2","pressure","rockSolid_stress:0","rockSolid_stress:1","rockSolid_stress:2","rockSolid_stress:3","rockSolid_stress:4","rockSolid_stress:5","Points:0","Points:1","Points:2"
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-1000
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-999
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-998
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-997
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-996
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-995
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-994
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-993
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-992
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-991
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-990
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-989
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-988
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-987
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-986
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-985
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-984
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-983
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-982
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-981
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-980
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-979
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-978
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-977
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-976
525,525,-987.5,9.875e+06,-6.8917e+06,-1.6767e+07,-1.3763e+07,2.231e-09,-1.1239e-09,4.8216e-09,500,500,-975
525,525,-962.5,9.625e+06,-6.7171e+06,-1.6342e+07,-1.3414e+07,-1.4554e-08,4.3977e-09,4.9082e-09,500,500,-974
525,525,-962.5,9.625e+06,-6.7171e+06,-1.6342e+07,-1.3414e+07,-1.4554e-08,4.3977e-09,4.9082e-09,500,500,-973
525,525,-962.5,9.625e+06,-6.7171e+06,-1.6342e+07,-1.3414e+07,-1.4554e-08,4.3977e-09,4.9082e-09,500,500,-972
525,525,-962.5,9.625e+06,-6.7171e+06,-1.6342e+07,-1.3414e+07,-1.4554e-08,4.3977e-09,4.9082e-09,500,500,-971
525,525,-962.5,9.625e+06,-6.7171e+06,-1.6342e+07,-1.3414e+07,-1.4554e-08,4.3977e-09,4.9082e-09,500,500,-970
525,525,-962.5,9.625e+06,-6.7171e+06,-1.6342e+07,-1.3414e+07,-1.4554e-08,4.3977e-09,4.9082e-09,500,500,-969
525,525,-962.5,9.625e+06,-6.7171e+06,-1.6342e+07,-1.3414e+07,-1.4554e-08,4.3977e-09,4.9082e-09,500,500,-968
525,525,-962.5,9.625e+06,-6.7171e+06,-1.6342e+07,-1.3414e+07,-1.4554e-08,4.3977e-09,4.9082e-09,500,500,-967
525,525,-962.5,9.625e+06,-6.7171e+06,-1.6342e+07,-1.3414e+07,-1.4554e-08,4.3977e-09,4.9082e-09,500,500,-966
525,525,-962.5,9.625e+06,-6.7171e+06,-1.6342e+07,-1.3414e+07,-1.4554e-08,4.3977e-09,4.9082e-09,500,500,-965
525,525,-962.5,9.625e+06,-6.7171e+06,-1.6342e+07,-1.3414e+07,-1.4554e-08,4.3977e-09,4.9082e-09,500,500,-964
525,525,-962.5,9.625e+06,-6.7171e+06,-1.6342e+07,-1.3414e+07,-1.4554e-08,4.3977e-09,4.9082e-09,500,500,-963
525,525,-962.5,9.625e+06,-6.7171e+06,-1.6342e+07,-1.3414e+07,-1.4554e-08,4.3977e-09,4.9082e-09,500,500,-962
