# Rs [sm^3/sm^3]     Pbub [Pa] Bo [m^3/sm^3]  Visc [Pa.s]
               0        101325          1.03      0.00347
                   5.44761e+06       1.02854   0.00349233
                   1.07939e+07       1.02709   0.00351481
                   1.61402e+07       1.02563   0.00353743
                   2.14865e+07       1.02418    0.0035602
                   2.68328e+07       1.02273   0.00358311
                    3.2179e+07       1.02128   0.00360618
                   3.75253e+07       1.01984   0.00362939
                   4.28716e+07       1.01839   0.00365275
                   4.82179e+07       1.01695   0.00367625
                   5.35642e+07       1.01551   0.00369992
                   5.89105e+07       1.01407   0.00372373
                   6.42568e+07       1.01264    0.0037477
                   6.96031e+07        1.0112   0.00377182
                   7.49493e+07       1.00977   0.00379609
            22.2         5e+06          1.08      0.00314
                   1.03807e+07       1.07858   0.00316034
                   1.57614e+07       1.07716   0.00318081
                   2.11422e+07       1.07574   0.00320142
                   2.65229e+07       1.07432   0.00322215
                   3.19036e+07        1.0729   0.00324303
                   3.72843e+07       1.07149   0.00326403
                    4.2665e+07       1.07008   0.00328518
                   4.80457e+07       1.06867   0.00330646
                   5.34265e+07       1.06726   0.00332788
                   5.88072e+07       1.06586   0.00334943
                   6.41879e+07       1.06445   0.00337113
                   6.95686e+07       1.06305   0.00339297
                   7.49493e+07       1.06165   0.00341495
              34      7.27e+06          1.11      0.00299
                   1.29099e+07       1.10852    0.0030103
                   1.85499e+07       1.10705   0.00303075
                   2.41898e+07       1.10558   0.00305133
                   2.98298e+07       1.10411   0.00307205
                   3.54697e+07       1.10264   0.00309291
                   4.11097e+07       1.10117   0.00311392
                   4.67496e+07       1.09971   0.00313506
                   5.23896e+07       1.09824   0.00315635
                   5.80295e+07       1.09678   0.00317779
                   6.36694e+07       1.09532   0.00319937
                   6.93094e+07       1.09387   0.00322109
                   7.49493e+07       1.09241   0.00324297
              48         1e+07          1.14       0.0028
                   1.54124e+07       1.13862   0.00281825
                   2.08249e+07       1.13724   0.00283661
                   2.62373e+07       1.13586   0.00285509
                   3.16498e+07       1.13448    0.0028737
                   3.70622e+07       1.13311   0.00289242
                   4.24747e+07       1.13174   0.00291127
                   4.78871e+07       1.13037   0.00293024
                   5.32996e+07         1.129   0.00294933
                    5.8712e+07       1.12763   0.00296855
                   6.41244e+07       1.12626   0.00298789
                   6.95369e+07        1.1249   0.00300736
                   7.49493e+07       1.12353   0.00302696
            73.8       1.5e+07          1.19      0.00246
                   2.04499e+07       1.18868   0.00247614
                   2.58999e+07       1.18737   0.00249239
                   3.13498e+07       1.18606   0.00250874
                   3.67998e+07       1.18475    0.0025252
                   4.22497e+07       1.18344   0.00254177
                   4.76996e+07       1.18213   0.00255845
                   5.31496e+07       1.18082   0.00257524
                   5.85995e+07       1.17951   0.00259213
                   6.40495e+07       1.17821   0.00260914
                   6.94994e+07       1.17691   0.00262626
                   7.49493e+07       1.17561   0.00264349
            99.6         2e+07          1.24      0.00212
                   2.54949e+07       1.23876   0.00213403
                   3.09899e+07       1.23752   0.00214814
                   3.64848e+07       1.23629   0.00216235
                   4.19797e+07       1.23505   0.00217666
                   4.74747e+07       1.23381   0.00219106
                   5.29696e+07       1.23258   0.00220556
                   5.84645e+07       1.23135   0.00222015
                   6.39595e+07       1.23012   0.00223484
                   6.94544e+07       1.22889   0.00224962
                   7.49493e+07       1.22766    0.0022645
           125.4       2.5e+07           1.3      0.00178
                   3.05499e+07       1.29884   0.00179189
                   3.60999e+07       1.29768   0.00180387
                   4.16498e+07       1.29652   0.00181592
                   4.71997e+07       1.29536   0.00182806
                   5.27496e+07        1.2942   0.00184027
                   5.82996e+07       1.29305   0.00185257
                   6.38495e+07       1.29189   0.00186495
                   6.93994e+07       1.29074   0.00187741
                   7.49493e+07       1.28959   0.00188995
           151.2         3e+07          1.35      0.00144
                   3.56187e+07       1.34893   0.00144974
                   4.12373e+07       1.34786   0.00145955
                    4.6856e+07        1.3468   0.00146942
                   5.24747e+07       1.34573   0.00147936
                   5.80933e+07       1.34466   0.00148937
                    6.3712e+07        1.3436   0.00149945
                   6.93307e+07       1.34253   0.00150959
                   7.49493e+07       1.34147   0.00151981
           176.9       3.5e+07          1.41       0.0011
                    4.0707e+07       1.40903   0.00110756
                   4.64141e+07       1.40807   0.00111517
                   5.21211e+07       1.40711   0.00112283
                   5.78282e+07       1.40614   0.00113055
                   6.35352e+07       1.40518   0.00113832
                   6.92423e+07       1.40422   0.00114614
                   7.49493e+07       1.40326   0.00115402
             190      3.75e+07          1.43      0.00093
                   4.37416e+07       1.42903  0.000936992
                   4.99831e+07       1.42806  0.000944036
                   5.62247e+07       1.42708  0.000951133
                   6.24662e+07       1.42611  0.000958284
                   6.87078e+07       1.42514  0.000965488
                   7.49493e+07       1.42417  0.000972747
             191         5e+07          1.44      0.00092
                   5.62373e+07       1.43903  0.000926912
                   6.24747e+07       1.43806  0.000933876
                    6.8712e+07       1.43709  0.000940892
                   7.49493e+07       1.43613  0.000947961
