[2018-09-10 12:08:28] DEBUG:   MeshVersionFormatted 2 is ignored
[2018-09-10 12:08:28] DEBUG:    is ignored
[2018-09-10 12:08:28] DEBUG:   Dimension 3 is ignored
[2018-09-10 12:08:28] DEBUG:    is ignored
[2018-09-10 12:08:28] DEBUG:     is ignored
[2018-09-10 12:08:28] DEBUG:    is ignored
[2018-09-10 12:08:28] DEBUG:     is ignored
[2018-09-10 12:08:28] DEBUG:    is ignored
[2018-09-10 12:08:28] DEBUG:     is ignored
[2018-09-10 12:08:28] DEBUG:    is ignored
[2018-09-10 12:08:28] DEBUG:   RequiredVertices is ignored
[2018-09-10 12:08:28] DEBUG:   0 is ignored
[2018-09-10 12:08:28] DEBUG:    is ignored
[2018-09-10 12:08:28] DEBUG:   Edges is ignored
[2018-09-10 12:08:28] DEBUG:   516 is ignored
[2018-09-10 12:08:28] DEBUG:   2 1 123  is ignored
[2018-09-10 12:08:28] DEBUG:   6 2 123  is ignored
[2018-09-10 12:08:28] DEBUG:   5 526 123  is ignored
[2018-09-10 12:08:28] DEBUG:   526 6 123  is ignored
[2018-09-10 12:08:28] DEBUG:   8 531 123  is ignored
[2018-09-10 12:08:28] DEBUG:   532 10 123  is ignored
[2018-09-10 12:08:28] DEBUG:   531 532 123  is ignored
[2018-09-10 12:08:28] DEBUG:   536 535 123  is ignored
[2018-09-10 12:08:28] DEBUG:   12 537 123  is ignored
[2018-09-10 12:08:28] DEBUG:   535 11 123  is ignored
[2018-09-10 12:08:28] DEBUG:   537 536 123  is ignored
[2018-09-10 12:08:28] DEBUG:   545 15 123  is ignored
[2018-09-10 12:08:28] DEBUG:   17 545 123  is ignored
[2018-09-10 12:08:28] DEBUG:   552 553 123  is ignored
[2018-09-10 12:08:28] DEBUG:   21 552 123  is ignored
[2018-09-10 12:08:28] DEBUG:   553 22 123  is ignored
[2018-09-10 12:08:28] DEBUG:   558 559 123  is ignored
[2018-09-10 12:08:28] DEBUG:   559 26 123  is ignored
[2018-09-10 12:08:28] DEBUG:   24 558 123  is ignored
[2018-09-10 12:08:28] DEBUG:   28 563 123  is ignored
[2018-09-10 12:08:28] DEBUG:   563 562 123  is ignored
[2018-09-10 12:08:28] DEBUG:   562 561 123  is ignored
[2018-09-10 12:08:28] DEBUG:   561 27 123  is ignored
[2018-09-10 12:08:28] DEBUG:   569 31 123  is ignored
[2018-09-10 12:08:28] DEBUG:   570 569 123  is ignored
[2018-09-10 12:08:28] DEBUG:   32 570 123  is ignored
[2018-09-10 12:08:28] DEBUG:   37 35 123  is ignored
[2018-09-10 12:08:28] DEBUG:   39 583 123  is ignored
[2018-09-10 12:08:28] DEBUG:   582 37 123  is ignored
[2018-09-10 12:08:28] DEBUG:   583 582 123  is ignored
[2018-09-10 12:08:28] DEBUG:   587 588 123  is ignored
[2018-09-10 12:08:28] DEBUG:   42 587 123  is ignored
[2018-09-10 12:08:28] DEBUG:   588 43 123  is ignored
[2018-09-10 12:08:28] DEBUG:   47 48 123  is ignored
[2018-09-10 12:08:28] DEBUG:   595 596 123  is ignored
[2018-09-10 12:08:28] DEBUG:   597 46 123  is ignored
[2018-09-10 12:08:28] DEBUG:   48 595 123  is ignored
