vtkOriginalCellIds,attribute,perm_0,perm_1,perm_2,poro,vol
9,1,8.61291e-14,8.61291e-14,8.61291e-14,0.175615,159398
10,1,8.61291e-14,8.61291e-14,8.61291e-14,0.175615,159433
11,1,8.61291e-14,8.61291e-14,8.61291e-14,0.175615,159424
12,1,1.67838e-13,1.67838e-13,1.67838e-13,0.192746,159471
13,1,2.49547e-13,2.49547e-13,2.49547e-13,0.209878,159452
14,1,2.49547e-13,2.49547e-13,2.49547e-13,0.209878,159538
15,1,2.78927e-13,2.78927e-13,2.78927e-13,0.214304,159552
16,1,3.08306e-13,3.08306e-13,3.08306e-13,0.218729,159540
17,1,3.08306e-13,3.08306e-13,3.08306e-13,0.218729,159563
18,1,8.66405e-14,8.66405e-14,8.66405e-14,0.175822,156065
19,1,8.66405e-14,8.66405e-14,8.66405e-14,0.175822,156024
20,1,8.66405e-14,8.66405e-14,8.66405e-14,0.175822,156072
21,1,1.68964e-13,1.68964e-13,1.68964e-13,0.193001,156084
22,1,2.51288e-13,2.51288e-13,2.51288e-13,0.210179,156088
23,1,2.65996e-13,2.65996e-13,2.65996e-13,0.212369,156113
24,1,2.95394e-13,2.95394e-13,2.95394e-13,0.216772,156085
25,1,3.10083e-13,3.10083e-13,3.10083e-13,0.218984,156092
26,1,3.10083e-13,3.10083e-13,3.10083e-13,0.218984,156095
27,1,8.71518e-14,8.71518e-14,8.71518e-14,0.176029,152355
28,1,8.71518e-14,8.71518e-14,8.71518e-14,0.176029,152332
29,1,1.28621e-13,1.28621e-13,1.28621e-13,0.184642,152344
30,1,2.1156e-13,2.1156e-13,2.1156e-13,0.201868,152289
31,1,2.53029e-13,2.53029e-13,2.53029e-13,0.210481,152298
32,1,2.82445e-13,2.82445e-13,2.82445e-13,0.214861,152291
33,1,3.11861e-13,3.11861e-13,3.11861e-13,0.21924,152279
34,1,3.11861e-13,3.11861e-13,3.11861e-13,0.21924,152228
35,1,3.11861e-13,3.11861e-13,3.11861e-13,0.21924,152213
36,1,8.71518e-14,8.71518e-14,8.71518e-14,0.176029,149470
37,1,8.71518e-14,8.71518e-14,8.71518e-14,0.176029,149535
38,1,1.7009e-13,1.7009e-13,1.7009e-13,0.193255,149505
39,1,2.53029e-13,2.53029e-13,2.53029e-13,0.210481,149479
40,1,2.53029e-13,2.53029e-13,2.53029e-13,0.210481,149537
41,1,2.82445e-13,2.82445e-13,2.82445e-13,0.214861,149511
42,1,3.11861e-13,3.11861e-13,3.11861e-13,0.21924,149546
43,1,3.11861e-13,3.11861e-13,3.11861e-13,0.21924,149500
44,1,3.11861e-13,3.11861e-13,3.11861e-13,0.21924,149528
45,1,8.87053e-14,8.87053e-14,8.87053e-14,0.176606,149818
46,1,8.87053e-14,8.87053e-14,8.87053e-14,0.176606,149844
47,1,1.72392e-13,1.72392e-13,1.72392e-13,0.193795,149742
48,1,2.5608e-13,2.5608e-13,2.5608e-13,0.210983,149704
49,1,2.5608e-13,2.5608e-13,2.5608e-13,0.210983,149702
50,1,2.84956e-13,2.84956e-13,2.84956e-13,0.215255,149660
51,1,3.13832e-13,3.13832e-13,3.13832e-13,0.219527,149615
52,1,3.13832e-13,3.13832e-13,3.13832e-13,0.219527,149569
53,1,3.13832e-13,3.13832e-13,3.13832e-13,0.219527,149523
54,1,9.02589e-14,9.02589e-14,9.02589e-14,0.177183,151566
55,1,9.02589e-14,9.02589e-14,9.02589e-14,0.177183,151497
56,1,1.74694e-13,1.74694e-13,1.74694e-13,0.194334,151421
57,1,2.5913e-13,2.5913e-13,2.5913e-13,0.211485,151434
58,1,2.5913e-13,2.5913e-13,2.5913e-13,0.211485,151333
59,1,2.87466e-13,2.87466e-13,2.87466e-13,0.215649,151306
60,1,3.15803e-13,3.15803e-13,3.15803e-13,0.219813,151283
61,1,3.15803e-13,3.15803e-13,3.15803e-13,0.219813,151199
62,1,3.15803e-13,3.15803e-13,3.15803e-13,0.219813,151169
63,1,9.08956e-14,9.08956e-14,9.08956e-14,0.177426,153391
64,1,9.08956e-14,9.08956e-14,9.08956e-14,0.177426,153302
65,1,1.54222e-13,1.54222e-13,1.54222e-13,0.190289,153240
66,1,2.39183e-13,2.39183e-13,2.39183e-13,0.207468,153312
67,1,2.60817e-13,2.60817e-13,2.60817e-13,0.211783,153155
68,1,2.82069e-13,2.82069e-13,2.82069e-13,0.214906,153149
69,1,3.03322e-13,3.03322e-13,3.03322e-13,0.218029,153143
70,1,3.10304e-13,3.10304e-13,3.10304e-13,0.219035,153100
71,1,3.17286e-13,3.17286e-13,3.17286e-13,0.220041,153046
72,1,9.21689e-14,9.21689e-14,9.21689e-14,0.177911,155019
73,1,9.21689e-14,9.21689e-14,9.21689e-14,0.177911,154960
74,1,1.13278e-13,1.13278e-13,1.13278e-13,0.182199,154879
75,1,1.99288e-13,1.99288e-13,1.99288e-13,0.199433,154900
76,1,2.6419e-13,2.6419e-13,2.6419e-13,0.212379,154816
77,1,2.71274e-13,2.71274e-13,2.71274e-13,0.21342,154793
78,1,2.85341e-13,2.85341e-13,2.85341e-13,0.215467,154691
79,1,3.06288e-13,3.06288e-13,3.06288e-13,0.218485,154708
80,1,3.20252e-13,3.20252e-13,3.20252e-13,0.220498,154595
81,1,9.28056e-14,9.28056e-14,9.28056e-14,0.178154,156627
82,1,9.28056e-14,9.28056e-14,9.28056e-14,0.178154,156574
83,1,9.28056e-14,9.28056e-14,9.28056e-14,0.178154,156558
84,1,1.79341e-13,1.79341e-13,1.79341e-13,0.195415,156499
85,1,2.65877e-13,2.65877e-13,2.65877e-13,0.212677,156540
86,1,2.65877e-13,2.65877e-13,2.65877e-13,0.212677,156497
87,1,2.86824e-13,2.86824e-13,2.86824e-13,0.215695,156395
88,1,3.14753e-13,3.14753e-13,3.14753e-13,0.21972,156406
89,1,3.21735e-13,3.21735e-13,3.21735e-13,0.220726,156350
90,1,9.20906e-14,9.20906e-14,9.20906e-14,0.177744,158024
91,1,9.20906e-14,9.20906e-14,9.20906e-14,0.177744,157998
92,1,1.35017e-13,1.35017e-13,1.35017e-13,0.186394,157984
93,1,2.21211e-13,2.21211e-13,2.21211e-13,0.203675,157887
94,1,2.64478e-13,2.64478e-13,2.64478e-13,0.212306,157844
95,1,2.78673e-13,2.78673e-13,2.78673e-13,0.214393,157852
96,1,3.06832e-13,3.06832e-13,3.06832e-13,0.218493,157795
97,1,3.20797e-13,3.20797e-13,3.20797e-13,0.220505,157815
98,1,3.20797e-13,3.20797e-13,3.20797e-13,0.220505,157718
99,1,9.13755e-14,9.13755e-14,9.13755e-14,0.177334,158989
100,1,9.13755e-14,9.13755e-14,9.13755e-14,0.177334,158956
101,1,1.77228e-13,1.77228e-13,1.77228e-13,0.194634,159018
102,1,2.6308e-13,2.6308e-13,2.6308e-13,0.211934,158995
103,1,2.6308e-13,2.6308e-13,2.6308e-13,0.211934,158958
104,1,2.91469e-13,2.91469e-13,2.91469e-13,0.216109,158979
105,1,3.19859e-13,3.19859e-13,3.19859e-13,0.220284,158956
106,1,3.19859e-13,3.19859e-13,3.19859e-13,0.220284,158979
107,1,3.19859e-13,3.19859e-13,3.19859e-13,0.220284,158910
108,1,9.40783e-14,9.40783e-14,9.40783e-14,0.178218,160380
109,1,9.40783e-14,9.40783e-14,9.40783e-14,0.178218,160331
110,1,1.37004e-13,1.37004e-13,1.37004e-13,0.186867,160318
111,1,1.79931e-13,1.79931e-13,1.79931e-13,0.195518,160281
112,1,2.24642e-13,2.24642e-13,2.24642e-13,0.204218,160205
113,1,2.83549e-13,2.83549e-13,2.83549e-13,0.215007,160179
114,1,2.97744e-13,2.97744e-13,2.97744e-13,0.217094,160144
115,1,3.11372e-13,3.11372e-13,3.11372e-13,0.219042,160111
116,1,3.25e-13,3.25e-13,3.25e-13,0.22099,159986
117,1,9.67812e-14,9.67812e-14,9.67812e-14,0.179101,161476
118,1,9.67812e-14,9.67812e-14,9.67812e-14,0.179101,161445
119,1,9.67812e-14,9.67812e-14,9.67812e-14,0.179101,161425
120,1,9.67812e-14,9.67812e-14,9.67812e-14,0.179101,161351
121,1,1.86205e-13,1.86205e-13,1.86205e-13,0.196503,161307
122,1,2.75628e-13,2.75628e-13,2.75628e-13,0.213905,161247
123,1,2.75628e-13,2.75628e-13,2.75628e-13,0.213905,161272
124,1,3.02884e-13,3.02884e-13,3.02884e-13,0.2178,161190
125,1,3.30141e-13,3.30141e-13,3.30141e-13,0.221695,161147
126,1,9.67812e-14,9.67812e-14,9.67812e-14,0.179101,160898
127,1,9.67812e-14,9.67812e-14,9.67812e-14,0.179101,160850
128,1,9.67812e-14,9.67812e-14,9.67812e-14,0.179101,160867
129,1,1.19137e-13,1.19137e-13,1.19137e-13,0.183451,160842
130,1,2.0856e-13,2.0856e-13,2.0856e-13,0.200853,160899
131,1,2.75628e-13,2.75628e-13,2.75628e-13,0.213905,160833
132,1,2.75628e-13,2.75628e-13,2.75628e-13,0.213905,160842
133,1,3.02884e-13,3.02884e-13,3.02884e-13,0.2178,160839
134,1,3.30141e-13,3.30141e-13,3.30141e-13,0.221695,160829
135,1,9.41633e-14,9.41633e-14,9.41633e-14,0.178175,157921
136,1,9.41633e-14,9.41633e-14,9.41633e-14,0.178175,157901
