vtkOriginalCellIds,attribute,perm_0,perm_1,perm_2,poro,vol
0,2,8.61291e-14,8.61291e-14,8.61291e-14,0.175615,163091
1,2,8.61291e-14,8.61291e-14,8.61291e-14,0.175615,163082
2,2,8.61291e-14,8.61291e-14,8.61291e-14,0.175615,163076
3,2,1.26984e-13,1.26984e-13,1.26984e-13,0.184181,163118
4,2,2.08693e-13,2.08693e-13,2.08693e-13,0.201312,163066
5,2,2.49547e-13,2.49547e-13,2.49547e-13,0.209878,163134
6,2,2.71582e-13,2.71582e-13,2.71582e-13,0.213197,163124
7,2,3.00961e-13,3.00961e-13,3.00961e-13,0.217623,163073
8,2,3.08306e-13,3.08306e-13,3.08306e-13,0.218729,163141
342,2,9.4706e-14,9.4706e-14,9.4706e-14,0.178449,101456
343,2,1.14885e-13,1.14885e-13,1.14885e-13,0.182498,101770
344,2,1.956e-13,1.956e-13,1.956e-13,0.198695,102030
345,2,2.56137e-13,2.56137e-13,2.56137e-13,0.210843,102290
346,2,2.56137e-13,2.56137e-13,2.56137e-13,0.210843,102548
347,2,2.6848e-13,2.6848e-13,2.6848e-13,0.212695,102871
348,2,2.93167e-13,2.93167e-13,2.93167e-13,0.2164,103053
349,2,3.0551e-13,3.0551e-13,3.0551e-13,0.218252,103270
350,2,3.0551e-13,3.0551e-13,3.0551e-13,0.218252,103556
351,2,8.61291e-14,8.61291e-14,8.61291e-14,0.175615,165322
352,2,8.61291e-14,8.61291e-14,8.61291e-14,0.175615,165373
353,2,8.61291e-14,8.61291e-14,8.61291e-14,0.175615,165323
354,2,1.26984e-13,1.26984e-13,1.26984e-13,0.184181,165350
355,2,2.08693e-13,2.08693e-13,2.08693e-13,0.201312,165364
356,2,2.49547e-13,2.49547e-13,2.49547e-13,0.209878,165370
357,2,2.78927e-13,2.78927e-13,2.78927e-13,0.214304,165424
358,2,3.08306e-13,3.08306e-13,3.08306e-13,0.218729,165379
359,2,3.08306e-13,3.08306e-13,3.08306e-13,0.218729,165423
702,2,8.66405e-14,8.66405e-14,8.66405e-14,0.175822,167629
703,2,8.66405e-14,8.66405e-14,8.66405e-14,0.175822,167617
704,2,8.66405e-14,8.66405e-14,8.66405e-14,0.175822,167646
705,2,1.07068e-13,1.07068e-13,1.07068e-13,0.180105,167678
706,2,1.89391e-13,1.89391e-13,1.89391e-13,0.197284,167737
707,2,2.51288e-13,2.51288e-13,2.51288e-13,0.210179,167727
708,2,2.65978e-13,2.65978e-13,2.65978e-13,0.212392,167780
709,2,2.95375e-13,2.95375e-13,2.95375e-13,0.216795,167770
710,2,3.10083e-13,3.10083e-13,3.10083e-13,0.218984,167814
1053,2,8.71518e-14,8.71518e-14,8.71518e-14,0.176029,170013
1054,2,8.71518e-14,8.71518e-14,8.71518e-14,0.176029,170036
1055,2,8.71518e-14,8.71518e-14,8.71518e-14,0.176029,170055
1056,2,8.71518e-14,8.71518e-14,8.71518e-14,0.176029,170115
1057,2,1.7009e-13,1.7009e-13,1.7009e-13,0.193255,170113
1058,2,2.53029e-13,2.53029e-13,2.53029e-13,0.210481,170165
1059,2,2.60383e-13,2.60383e-13,2.60383e-13,0.211576,170162
1060,2,2.89799e-13,2.89799e-13,2.89799e-13,0.215955,170193
1061,2,3.11861e-13,3.11861e-13,3.11861e-13,0.21924,170219
1404,2,8.71518e-14,8.71518e-14,8.71518e-14,0.176029,172457
1405,2,8.71518e-14,8.71518e-14,8.71518e-14,0.176029,172465
1406,2,8.71518e-14,8.71518e-14,8.71518e-14,0.176029,172426
1407,2,8.71518e-14,8.71518e-14,8.71518e-14,0.176029,172458
1408,2,1.7009e-13,1.7009e-13,1.7009e-13,0.193255,172413
1409,2,2.53029e-13,2.53029e-13,2.53029e-13,0.210481,172399
1410,2,2.67737e-13,2.67737e-13,2.67737e-13,0.212671,172361
1411,2,2.97153e-13,2.97153e-13,2.97153e-13,0.21705,172382
1412,2,3.11861e-13,3.11861e-13,3.11861e-13,0.21924,172318
1755,2,8.71518e-14,8.71518e-14,8.71518e-14,0.176029,175852
1756,2,8.71518e-14,8.71518e-14,8.71518e-14,0.176029,175753
1757,2,8.71518e-14,8.71518e-14,8.71518e-14,0.176029,175742
1758,2,1.07886e-13,1.07886e-13,1.07886e-13,0.180336,175779
1759,2,1.90825e-13,1.90825e-13,1.90825e-13,0.197562,175769
1760,2,2.53029e-13,2.53029e-13,2.53029e-13,0.210481,175741
1761,2,2.75091e-13,2.75091e-13,2.75091e-13,0.213766,175738
1762,2,3.04507e-13,3.04507e-13,3.04507e-13,0.218145,175749
1763,2,3.11861e-13,3.11861e-13,3.11861e-13,0.21924,175704
2106,2,8.71518e-14,8.71518e-14,8.71518e-14,0.176029,180018
2107,2,8.71518e-14,8.71518e-14,8.71518e-14,0.176029,179972
2108,2,8.71518e-14,8.71518e-14,8.71518e-14,0.176029,179973
2109,2,1.28621e-13,1.28621e-13,1.28621e-13,0.184642,180010
2110,2,2.1156e-13,2.1156e-13,2.1156e-13,0.201868,179950
2111,2,2.53029e-13,2.53029e-13,2.53029e-13,0.210481,180002
2112,2,2.82445e-13,2.82445e-13,2.82445e-13,0.214861,179941
2113,2,3.11861e-13,3.11861e-13,3.11861e-13,0.21924,179995
2114,2,3.11861e-13,3.11861e-13,3.11861e-13,0.21924,179985
2457,2,8.86128e-14,8.86128e-14,8.86128e-14,0.17628,184361
2458,2,8.86128e-14,8.86128e-14,8.86128e-14,0.17628,184375
2459,2,8.86128e-14,8.86128e-14,8.86128e-14,0.17628,184373
2460,2,1.09347e-13,1.09347e-13,1.09347e-13,0.180586,184454
2461,2,1.94047e-13,1.94047e-13,1.94047e-13,0.197955,184434
2462,2,2.58011e-13,2.58011e-13,2.58011e-13,0.211018,184528
2463,2,2.72719e-13,2.72719e-13,2.72719e-13,0.213208,184480
2464,2,3.02088e-13,3.02088e-13,3.02088e-13,0.217581,184622
2465,2,3.1675e-13,3.1675e-13,3.1675e-13,0.219764,184625
2808,2,9.00738e-14,9.00738e-14,9.00738e-14,0.17653,188808
2809,2,9.00738e-14,9.00738e-14,9.00738e-14,0.17653,188861
2810,2,9.00738e-14,9.00738e-14,9.00738e-14,0.17653,188878
2811,2,1.11689e-13,1.11689e-13,1.11689e-13,0.180908,188964
