"ghostRank","totalDisplacement:0","totalDisplacement:1","totalDisplacement:2","mass","externalForce:0","externalForce:1","externalForce:2","poromechanicsSolver_totalDisplacement_dofIndex","rockPerm_permeability:0","rockPerm_permeability:1","rockPerm_permeability:2","rockPorosity_referencePorosity","rockPorosity_porosity","rock_stress:0","rock_stress:1","rock_stress:2","rock_stress:3","rock_stress:4","rock_stress:5","water_density","temperature","pressure","elementVolume","deltaPressure","elementCenter:0","elementCenter:1","elementCenter:2","poromechanicsSolver_primaryVariables_dofIndex","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2,0.22238,0.1216,0,1.7196e+08,0,0,0,2842,1e-18,1e-18,1e-18,0.3,0.29998,-2.981e+07,-3.7695e+07,-2.8575e+07,-1.486e-08,3.824e-08,-1.2982e+06,1007.4,0,3.5347e+07,1.0385e+05,3.4696e+05,177.24,298.28,1500,88713,1,0,173.3,300,2000
-2,0.22253,0.12201,-7.3167e-31,1.7193e+08,0,0,0,2844,1e-18,1e-18,1e-18,0.3,0.29998,-2.981e+07,-3.7695e+07,-2.8575e+07,-1.486e-08,3.824e-08,-1.2982e+06,1007.4,0,3.5347e+07,1.0385e+05,3.4696e+05,177.24,298.28,1500,88713,1,6.9282,169.84,294,2000
-2,0.22272,0.12242,0,1.7191e+08,0,0,0,2846,1e-18,1e-18,1e-18,0.3,0.29998,-2.9822e+07,-3.7659e+07,-2.8572e+07,-1.4272e-08,4.0182e-08,-1.3875e+06,1007.4,0,3.533e+07,1.0419e+05,3.3032e+05,171.29,287.93,1500,88714,1,13.856,166.37,288,2000
-2,0.22294,0.12283,-7.3095e-31,1.7188e+08,0,0,0,2848,1e-18,1e-18,1e-18,0.3,0.29998,-2.9839e+07,-3.7619e+07,-2.8568e+07,-1.4046e-08,4.2543e-08,-1.4806e+06,1007.4,0,3.5314e+07,1.0452e+05,3.1422e+05,165.33,277.59,1500,88715,1,20.784,162.91,282,2000
-2,0.2232,0.12324,0,1.7185e+08,0,0,0,2850,1e-18,1e-18,1e-18,0.3,0.29998,-2.9839e+07,-3.7619e+07,-2.8568e+07,-1.4046e-08,4.2543e-08,-1.4806e+06,1007.4,0,3.5314e+07,1.0452e+05,3.1422e+05,165.33,277.59,1500,88715,1,27.713,159.44,276,2000
-2,0.22349,0.12365,-7.294e-31,1.7182e+08,0,0,0,2852,1e-18,1e-18,1e-18,0.3,0.29998,-2.986e+07,-3.7575e+07,-2.8565e+07,-1.5982e-08,4.5205e-08,-1.5779e+06,1007.4,0,3.5299e+07,1.0486e+05,2.9865e+05,159.37,267.24,1500,88716,1,34.641,155.98,270,2000
-2,0.22382,0.12406,0,1.718e+08,0,0,0,2854,1e-18,1e-18,1e-18,0.3,0.29998,-2.986e+07,-3.7575e+07,-2.8565e+07,-1.5982e-08,4.5205e-08,-1.5779e+06,1007.4,0,3.5299e+07,1.0486e+05,2.9865e+05,159.37,267.24,1500,88716,1,41.569,152.52,264,2000
-2,0.2242,0.12447,-7.2785e-31,1.7177e+08,0,0,0,2856,1e-18,1e-18,1e-18,0.3,0.29998,-2.9886e+07,-3.7527e+07,-2.8562e+07,-1.6666e-08,4.6982e-08,-1.6801e+06,1007.4,0,3.5284e+07,1.052e+05,2.8359e+05,153.42,256.9,1500,88717,1,48.497,149.05,258,2000
-2,0.2246,0.12489,-7.2698e-31,1.7174e+08,0,0,0,2858,1e-18,1e-18,1e-18,0.3,0.29998,-2.9886e+07,-3.7527e+07,-2.8562e+07,-1.6666e-08,4.6982e-08,-1.6801e+06,1007.4,0,3.5284e+07,1.052e+05,2.8359e+05,153.42,256.9,1500,88717,1,55.425,145.59,252,2000
-2,0.22507,0.1253,0,1.7171e+08,0,0,0,2860,1e-18,1e-18,1e-18,0.3,0.29998,-2.9917e+07,-3.7474e+07,-2.8558e+07,-1.8341e-08,4.7714e-08,-1.788e+06,1007.4,0,3.5269e+07,1.0554e+05,2.6902e+05,147.46,246.55,1500,88718,1,62.353,142.12,246,2000
