"ghostRank","TotalDisplacement:0","TotalDisplacement:1","TotalDisplacement:2","Velocity:0","Velocity:1","Velocity:2","Acceleration:0","Acceleration:1","Acceleration:2","externalForce:0","externalForce:1","externalForce:2","Mass","contactForce:0","contactForce:1","contactForce:2","PoromechanicsSolver_TotalDisplacement_dofIndex","rockPerm_permeability:0","rockPerm_permeability:1","rockPerm_permeability:2","rockPorosity_referencePorosity","rockPorosity_porosity","rock_stress:0","rock_stress:1","rock_stress:2","rock_stress:3","rock_stress:4","rock_stress:5","water_density","PoromechanicsSolver_pressure_dofIndex","pressure","elementVolume","elementCenter:0","elementCenter:1","elementCenter:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2,0.22245,0.12159,0,2.2933e-09,1.2594e-09,0,0,0,0,0,0,0,1.7196e+08,0,0,0,2842,1e-18,1e-18,1e-18,0.3,0.29998,-6.1311e+07,-6.9196e+07,-6.0076e+07,-1.9464e-07,2.5241e-07,-1.2981e+06,1004.3,88713,2.0347e+07,1.0385e+05,177.24,298.28,1500,1,0,173.3,300,2000
-2,0.22259,0.122,-4.4836e-31,2.2966e-09,1.2646e-09,3.0364e-32,0,0,0,0,0,0,1.7193e+08,0,0,0,2844,1e-18,1e-18,1e-18,0.3,0.29998,-6.1311e+07,-6.9196e+07,-6.0076e+07,-1.9464e-07,2.5241e-07,-1.2981e+06,1004.3,88713,2.0347e+07,1.0385e+05,177.24,298.28,1500,1,6.9282,169.84,294,2000
-2,0.22279,0.12241,0,2.3006e-09,1.2698e-09,0,0,0,0,0,0,0,1.7191e+08,0,0,0,2846,1e-18,1e-18,1e-18,0.3,0.29998,-6.1323e+07,-6.916e+07,-6.0072e+07,-2.0095e-07,2.5802e-07,-1.3875e+06,1004.2,88714,2.033e+07,1.0419e+05,171.29,287.93,1500,1,13.856,166.37,288,2000
-2,0.223,0.12281,-4.8013e-31,2.3049e-09,1.275e-09,3.3932e-32,0,0,0,0,0,0,1.7188e+08,0,0,0,2848,1e-18,1e-18,1e-18,0.3,0.29998,-6.1339e+07,-6.912e+07,-6.0069e+07,-2.0227e-07,2.6351e-07,-1.4805e+06,1004.2,88715,2.0314e+07,1.0452e+05,165.33,277.59,1500,1,20.784,162.91,282,2000
-2,0.22327,0.12323,0,2.3099e-09,1.2804e-09,0,0,0,0,0,0,0,1.7185e+08,0,0,0,2850,1e-18,1e-18,1e-18,0.3,0.29998,-6.1339e+07,-6.912e+07,-6.0069e+07,-2.0227e-07,2.6351e-07,-1.4805e+06,1004.2,88715,2.0314e+07,1.0452e+05,165.33,277.59,1500,1,27.713,159.44,276,2000
-2,0.22356,0.12364,-5.1047e-31,2.3153e-09,1.2858e-09,3.7617e-32,0,0,0,0,0,0,1.7182e+08,0,0,0,2852,1e-18,1e-18,1e-18,0.3,0.29998,-6.136e+07,-6.9076e+07,-6.0065e+07,-2.0492e-07,2.6758e-07,-1.5778e+06,1004.2,88716,2.0298e+07,1.0486e+05,159.37,267.24,1500,1,34.641,155.98,270,2000
-2,0.22389,0.12405,0,2.3213e-09,1.2913e-09,0,0,0,0,0,0,0,1.718e+08,0,0,0,2854,1e-18,1e-18,1e-18,0.3,0.29998,-6.136e+07,-6.9076e+07,-6.0065e+07,-2.0492e-07,2.6758e-07,-1.5778e+06,1004.2,88716,2.0298e+07,1.0486e+05,159.37,267.24,1500,1,41.569,152.52,264,2000
-2,0.22427,0.12446,-5.4124e-31,2.328e-09,1.2969e-09,4.1414e-32,0,0,0,0,0,0,1.7177e+08,0,0,0,2856,1e-18,1e-18,1e-18,0.3,0.29998,-6.1386e+07,-6.9028e+07,-6.0062e+07,-2.0394e-07,2.6945e-07,-1.6801e+06,1004.2,88717,2.0283e+07,1.052e+05,153.42,256.9,1500,1,48.497,149.05,258,2000
-2,0.22467,0.12488,-5.5578e-31,2.335e-09,1.3026e-09,4.3351e-32,0,0,0,0,0,0,1.7174e+08,0,0,0,2858,1e-18,1e-18,1e-18,0.3,0.29998,-6.1386e+07,-6.9028e+07,-6.0062e+07,-2.0394e-07,2.6945e-07,-1.6801e+06,1004.2,88717,2.0283e+07,1.052e+05,153.42,256.9,1500,1,55.425,145.59,252,2000
-2,0.22513,0.12529,0,2.3431e-09,1.3084e-09,0,0,0,0,0,0,0,1.7171e+08,0,0,0,2860,1e-18,1e-18,1e-18,0.3,0.29998,-6.1418e+07,-6.8975e+07,-6.0059e+07,-2.0703e-07,2.7015e-07,-1.788e+06,1004.2,88718,2.0269e+07,1.0554e+05,147.46,246.55,1500,1,62.353,142.12,246,2000
-2,0.22562,0.12571,0,2.3516e-09,1.3143e-09,0,0,0,0,0,0,0,1.7168e+08,0,0,0,2862,1e-18,1e-18,1e-18,0.3,0.29998,-6.1456e+07,-6.8917e+07,-6.0056e+07,-2.0545e-07,2.7038e-07,-1.9027e+06,1004.2,88719,2.0255e+07,1.0588e+05,141.5,236.21,1500,1,69.282,138.66,240,2000
-2,0.22617,0.12612,-1.2031e-30,2.3611e-09,1.3204e-09,9.8719e-32,0,0,0,0,0,0,1.7166e+08,0,0,0,2864,1e-18,1e-18,1e-18,0.3,0.29998,-6.1456e+07,-6.8917e+07,-6.0056e+07,-2.0545e-07,2.7038e-07,-1.9027e+06,1004.2,88719,2.0255e+07,1.0588e+05,141.5,236.21,1500,1,76.21,135.2,234,2000
-2,0.22676,0.12653,0,2.3713e-09,1.3266e-09,0,0,0,0,0,0,0,1.7163e+08,0,0,0,2866,1e-18,1e-18,1e-18,0.3,0.29998,-6.15e+07,-6.8852e+07,-6.0053e+07,-2.0676e-07,2.7181e-07,-2.0253e+06,1004.2,88720,2.0241e+07,1.0622e+05,135.55,225.86,1500,1,83.138,131.73,228,2000
-2,0.22739,0.12695,0,2.3822e-09,1.3329e-09,0,0,0,0,0,0,0,1.716e+08,0,0,0,2868,1e-18,1e-18,1e-18,0.3,0.29998,-6.15e+07,-6.8852e+07,-6.0053e+07,-2.0676e-07,2.7181e-07,-2.0253e+06,1004.2,88720,2.0241e+07,1.0622e+05,135.55,225.86,1500,1,90.066,128.27,222,2000
-2,0.22809,0.12736,6.445e-31,2.3945e-09,1.3395e-09,-5.5503e-32,0,0,0,0,0,0,1.7157e+08,0,0,0,2870,1e-18,1e-18,1e-18,0.3,0.29999,-6.1553e+07,-6.8781e+07,-6.005e+07,-2.0447e-07,2.7251e-07,-2.1574e+06,1004.2,88721,2.0228e+07,1.0656e+05,129.59,215.52,1500,1,96.994,124.8,216,2000
-2,0.22881,0.12777,6.5775e-31,2.4072e-09,1.3462e-09,-5.7585e-32,0,0,0,0,0,0,1.6964e+08,0,0,0,2779,1e-18,1e-18,1e-18,0.3,0.29999,-6.1614e+07,-6.8701e+07,-6.0047e+07,-2.0759e-07,2.6876e-07,-2.3009e+06,1004.2,88722,2.0215e+07,1.069e+05,123.63,205.17,1500,1,103.92,121.34,210,2000
-2,0.22963,0.12818,0,2.4217e-09,1.3533e-09,0,0,0,0,0,0,0,1.3646e+08,0,0,0,1161,1e-18,1e-18,1e-18,0.3,0.29999,-6.1614e+07,-6.8701e+07,-6.0047e+07,-2.0759e-07,2.6876e-07,-2.3009e+06,1004.2,88722,2.0215e+07,1.069e+05,123.63,205.17,1500,1,110.85,117.88,204,2000
-2,0.23047,0.12859,0,2.4367e-09,1.3605e-09,0,0,0,0,0,0,0,8.1176e+07,0,0,0,1827,1e-18,1e-18,1e-18,0.3,0.29999,-6.1659e+07,-6.8642e+07,-6.0045e+07,-2.2656e-07,2.7055e-07,-2.4036e+06,1004.2,93740,2.0206e+07,35709,119.66,198.28,1500,1,117.78,114.41,198,2000
-2,0.23139,0.129,0,2.4535e-09,1.3681e-09,0,0,0,0,0,0,0,5.7154e+07,0,0,0,3094,1e-18,1e-18,1e-18,0.3,0.29999,-6.1712e+07,-6.8578e+07,-6.0044e+07,-2.0828e-07,2.7475e-07,-2.5138e+06,1004.2,93742,2.0198e+07,35784,115.69,191.38,1500,1,124.71,110.95,192,2000
