"ghostRank","TotalDisplacement:0","TotalDisplacement:1","TotalDisplacement:2","Velocity:0","Velocity:1","Velocity:2","Acceleration:0","Acceleration:1","Acceleration:2","externalForce:0","externalForce:1","externalForce:2","Mass","contactForce:0","contactForce:1","contactForce:2","PoromechanicsSolver_TotalDisplacement_dofIndex","rockPerm_permeability:0","rockPerm_permeability:1","rockPerm_permeability:2","rockPorosity_referencePorosity","rockPorosity_porosity","rock_stress:0","rock_stress:1","rock_stress:2","rock_stress:3","rock_stress:4","rock_stress:5","water_density","PoromechanicsSolver_pressure_dofIndex","pressure","elementVolume","elementCenter:0","elementCenter:1","elementCenter:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2,-0.020277,0.33664,0,-1.0703e-10,3.0544e-09,0,0,0,0,0,0,0,1.7196e+08,0,0,0,2842,1e-18,1e-18,1e-18,0.3,0.3,-5.9555e+07,-7.0467e+07,-6.0003e+07,-2.3613e-08,-4.9787e-08,8.101e+05,1004.2,88713,2.0015e+07,1.0385e+05,177.24,298.28,1500,1,0,173.3,300,2000
-2,-0.020629,0.33654,3.3126e-31,-1.0808e-10,3.0548e-09,1.6227e-31,0,0,0,0,0,0,1.7193e+08,0,0,0,2844,1e-18,1e-18,1e-18,0.3,0.3,-5.9555e+07,-7.0467e+07,-6.0003e+07,-2.3613e-08,-4.9787e-08,8.101e+05,1004.2,88713,2.0015e+07,1.0385e+05,177.24,298.28,1500,1,6.9282,169.84,294,2000
-2,-0.021036,0.33643,0,-1.0964e-10,3.0555e-09,0,0,0,0,0,0,0,1.7191e+08,0,0,0,2846,1e-18,1e-18,1e-18,0.3,0.3,-5.9499e+07,-7.0529e+07,-6.0004e+07,-2.6988e-08,-4.8053e-08,9.0132e+05,1004.2,88714,2.0019e+07,1.0419e+05,171.29,287.93,1500,1,13.856,166.37,288,2000
-2,-0.021462,0.33633,3.2649e-31,-1.114e-10,3.0564e-09,1.6416e-31,0,0,0,0,0,0,1.7188e+08,0,0,0,2848,1e-18,1e-18,1e-18,0.3,0.3,-5.943e+07,-7.0603e+07,-6.0005e+07,-2.8184e-08,-4.6814e-08,1.0084e+06,1004.2,88715,2.0022e+07,1.0452e+05,165.33,277.59,1500,1,20.784,162.91,282,2000
-2,-0.021955,0.33623,0,-1.1393e-10,3.0577e-09,0,0,0,0,0,0,0,1.7185e+08,0,0,0,2850,1e-18,1e-18,1e-18,0.3,0.3,-5.943e+07,-7.0603e+07,-6.0005e+07,-2.8184e-08,-4.6814e-08,1.0084e+06,1004.2,88715,2.0022e+07,1.0452e+05,165.33,277.59,1500,1,27.713,159.44,276,2000
-2,-0.022484,0.33614,3.2097e-31,-1.1688e-10,3.0593e-09,1.657e-31,0,0,0,0,0,0,1.7182e+08,0,0,0,2852,1e-18,1e-18,1e-18,0.3,0.3,-5.9345e+07,-7.0692e+07,-6.0006e+07,-2.7425e-08,-4.8303e-08,1.1366e+06,1004.2,88716,2.0025e+07,1.0486e+05,159.37,267.24,1500,1,34.641,155.98,270,2000
-2,-0.023068,0.33604,0,-1.2043e-10,3.0613e-09,0,0,0,0,0,0,0,1.718e+08,0,0,0,2854,1e-18,1e-18,1e-18,0.3,0.3,-5.9345e+07,-7.0692e+07,-6.0006e+07,-2.7425e-08,-4.8303e-08,1.1366e+06,1004.2,88716,2.0025e+07,1.0486e+05,159.37,267.24,1500,1,41.569,152.52,264,2000
-2,-0.023728,0.33595,3.1654e-31,-1.2555e-10,3.0641e-09,1.6761e-31,0,0,0,0,0,0,1.7177e+08,0,0,0,2856,1e-18,1e-18,1e-18,0.3,0.3,-5.9238e+07,-7.0803e+07,-6.0006e+07,-2.5143e-08,-5.175e-08,1.294e+06,1004.2,88717,2.0028e+07,1.052e+05,153.42,256.9,1500,1,48.497,149.05,258,2000
-2,-0.024424,0.33586,3.1466e-31,-1.3141e-10,3.0671e-09,1.6858e-31,0,0,0,0,0,0,1.7174e+08,0,0,0,2858,1e-18,1e-18,1e-18,0.3,0.3,-5.9238e+07,-7.0803e+07,-6.0006e+07,-2.5143e-08,-5.175e-08,1.294e+06,1004.2,88717,2.0028e+07,1.052e+05,153.42,256.9,1500,1,55.425,145.59,252,2000
-2,-0.025257,0.33577,0,-1.381e-10,3.0714e-09,0,0,0,0,0,0,0,1.7171e+08,0,0,0,2860,1e-18,1e-18,1e-18,0.3,0.3,-5.9096e+07,-7.0945e+07,-6.0006e+07,-2.3238e-08,-5.6682e-08,1.493e+06,1004.2,88718,2.0028e+07,1.0554e+05,147.46,246.55,1500,1,62.353,142.12,246,2000
-2,-0.02614,0.33569,0,-1.4761e-10,3.0764e-09,0,0,0,0,0,0,0,1.7168e+08,0,0,0,2862,1e-18,1e-18,1e-18,0.3,0.3,-5.891e+07,-7.1138e+07,-6.0007e+07,-2.6737e-08,-6.2682e-08,1.7559e+06,1004.2,88719,2.0033e+07,1.0588e+05,141.5,236.21,1500,1,69.282,138.66,240,2000
-2,-0.027168,0.33561,6.1728e-31,-1.6641e-10,3.0831e-09,3.4347e-31,0,0,0,0,0,0,1.7166e+08,0,0,0,2864,1e-18,1e-18,1e-18,0.3,0.3,-5.891e+07,-7.1138e+07,-6.0007e+07,-2.6737e-08,-6.2682e-08,1.7559e+06,1004.2,88719,2.0033e+07,1.0588e+05,141.5,236.21,1500,1,76.21,135.2,234,2000
-2,-0.028343,0.33553,0,-1.7821e-10,3.0919e-09,0,0,0,0,0,0,0,1.7163e+08,0,0,0,2866,1e-18,1e-18,1e-18,0.3,0.3,-5.8606e+07,-7.1415e+07,-6.0003e+07,-3.3001e-08,-7.2358e-08,2.122e+06,1004.2,88720,2.0014e+07,1.0622e+05,135.55,225.86,1500,1,83.138,131.73,228,2000
-2,-0.029662,0.33545,0,-1.8318e-10,3.1025e-09,0,0,0,0,0,0,0,1.716e+08,0,0,0,2868,1e-18,1e-18,1e-18,0.3,0.3,-5.8606e+07,-7.1415e+07,-6.0003e+07,-3.3001e-08,-7.2358e-08,2.122e+06,1004.2,88720,2.0014e+07,1.0622e+05,135.55,225.86,1500,1,90.066,128.27,222,2000
-2,-0.031267,0.33536,-2.9167e-31,-2.9652e-10,3.1095e-09,-1.7413e-31,0,0,0,0,0,0,1.7157e+08,0,0,0,2870,1e-18,1e-18,1e-18,0.3,0.3,-5.8248e+07,-7.1857e+07,-6.0016e+07,-6.6721e-08,-6.6061e-08,2.6965e+06,1004.2,88721,2.0072e+07,1.0656e+05,129.59,215.52,1500,1,96.994,124.8,216,2000
-2,-0.033033,0.33526,-2.8465e-31,-4.2737e-10,3.1038e-09,-1.7465e-31,0,0,0,0,0,0,1.6964e+08,0,0,0,2779,1e-18,1e-18,1e-18,0.3,0.30002,-5.663e+07,-7.2865e+07,-5.9924e+07,-1.3066e-08,-5.0444e-08,3.9339e+06,1004.1,88722,1.9655e+07,1.069e+05,123.63,205.17,1500,1,103.92,121.34,210,2000
-2,-0.036146,0.33497,0,-3.4866e-10,2.9055e-09,0,0,0,0,0,0,0,1.3646e+08,0,0,0,1161,1e-18,1e-18,1e-18,0.3,0.30002,-5.663e+07,-7.2865e+07,-5.9924e+07,-1.3066e-08,-5.0444e-08,3.9339e+06,1004.1,88722,1.9655e+07,1.069e+05,123.63,205.17,1500,1,110.85,117.88,204,2000
