      time  wpressure 58pressure 57pressure  Laperture       area
         0          0          0          0          0  0.0001048
       0.1  1.515e+07          0          0          0  0.0003145
       0.2  1.451e+07          0          0          0  0.0003774
       0.3  1.349e+07          0          0          0  0.0004194
       0.4  1.183e+07          0          0          0  0.0005662
       0.5  1.125e+07          0          0          0  0.0005662
       0.6  1.102e+07          0          0          0  0.0005662
       0.7  1.085e+07          0          0          0  0.0006291
       0.8  1.094e+07          0          0          0  0.0006291
       0.9  1.088e+07          0          0          0  0.0006291
         1  1.074e+07          0          0          0    0.00065
       1.2  1.039e+07          0          0          0  0.0007339
       1.4  9.715e+06  7.153e+06          0          0  0.0008387
       1.6  9.448e+06  9.882e+05          0          0  0.0008387
       1.8  8.951e+06 -2.938e+06          0          0  0.0009436
         2  8.737e+06  7.858e+05          0          0  0.0009436
       2.5  7.962e+06  1.836e+06          0          0   0.001132
         3  7.345e+06  2.951e+06          0          0   0.001258
       3.5  6.849e+06  3.454e+06          0          0   0.001363
         4  6.421e+06  3.651e+06          0          0   0.001468
       4.5  6.045e+06  3.701e+06          0  1.604e-05   0.001573
         5  5.829e+06  3.928e+06          0  2.009e-05   0.001573
       5.5  5.514e+06  3.778e+06          0  5.193e-05   0.001719
         6  5.264e+06  3.745e+06          0  6.537e-05   0.001782
       6.5   5.01e+06  3.629e+06          0  7.896e-05   0.001887
         7  4.768e+06  3.501e+06          0  9.138e-05   0.001992
       7.5  4.605e+06  3.483e+06          0  0.0001027   0.001992
         8  4.418e+06  3.379e+06          0  0.0001127   0.002097
        10  3.981e+06  3.188e+06  6.454e+05  0.0001493   0.002307
        12  3.485e+06  2.881e+06 -8.008e+05  0.0001792     0.0026
        14  3.072e+06  2.589e+06  4.869e+05  0.0002045   0.002831
        16  2.748e+06  2.351e+06  9.011e+05   0.000227    0.00304
        18  2.483e+06  2.148e+06  1.047e+06  0.0002474    0.00325
        20  2.272e+06  1.987e+06   1.13e+06  0.0002666   0.003418
        24  2.025e+06  1.805e+06  1.226e+06  0.0003054    0.00367
        28  1.796e+06  1.629e+06  1.203e+06  0.0003403   0.003963
        32  1.609e+06  1.477e+06  1.152e+06  0.0003727   0.004194
        36  1.442e+06  1.332e+06  1.068e+06  0.0004022   0.004487
        40  1.299e+06  1.207e+06  9.894e+05  0.0004299   0.004718
        44  1.184e+06  1.106e+06  9.267e+05  0.0004571   0.004928
        48  1.085e+06  1.017e+06  8.644e+05  0.0004829   0.005137
        52  9.975e+05  9.381e+05   8.06e+05  0.0005077   0.005347
        56  9.157e+05  8.628e+05  7.456e+05  0.0005309   0.005557
        60  8.396e+05  7.921e+05  6.877e+05   0.000553   0.005766
        64  7.683e+05  7.252e+05  6.308e+05  0.0005739   0.005976
        68  7.007e+05  6.612e+05  5.749e+05  0.0005935   0.006186
        72  6.405e+05  6.042e+05  5.264e+05  0.0006131   0.006374
        76  5.891e+05  5.558e+05  4.856e+05  0.0006329     0.0065
        80  5.413e+05  5.105e+05   4.46e+05   0.000652   0.006689
        84  4.972e+05  4.688e+05  4.094e+05  0.0006707   0.006815
        88  4.573e+05   4.31e+05  3.767e+05  0.0006897   0.006962
        92  4.191e+05  3.944e+05  3.432e+05   0.000707   0.007129
        96  3.838e+05  3.608e+05  3.139e+05  0.0007252   0.007234
       100  3.547e+05  3.333e+05  2.905e+05  0.0007443   0.007339
