      time   pressure   aperture     length
         2  8.207e+05  0.0004661      8.137
         4  6.799e+05  0.0005258      10.59
         6  7.082e+05  0.0006183      11.94
         8   6.07e+05  0.0006163      13.73
        10   6.32e+05  0.0006827      14.45
        12  6.218e+05  0.0007172      15.47
        14  6.077e+05  0.0007448      16.27
        16  5.959e+05  0.0007673      17.19
        18  5.649e+05  0.0007717      18.05
        20  5.535e+05  0.0007887      18.75
        24  5.433e+05  0.0008279      20.06
        28  5.296e+05  0.0008567      21.29
        32  5.139e+05  0.0008787      22.34
        36   4.87e+05  0.0008817      23.67
        40   5.03e+05  0.0009327       24.2
        44  5.069e+05  0.0009677      24.82
        48  4.695e+05  0.0009471      26.22
        52  4.955e+05   0.001008      26.41
        56   4.57e+05   0.000979      27.82
        60  4.589e+05   0.001004      28.37
        68  4.584e+05   0.001046       29.6
        76  4.524e+05   0.001076      30.86
        84  4.375e+05   0.001089      32.15
        92  4.189e+05    0.00109      33.62
       100  4.299e+05    0.00114      34.23
       110  4.201e+05   0.001159      35.61
       120  4.172e+05   0.001188      36.74
       130  4.111e+05   0.001208      37.83
       140  3.977e+05   0.001211      39.22
       150  4.042e+05   0.001253      39.86
       160  3.891e+05   0.001248      41.24
       170  3.817e+05   0.001257      42.28
       180  3.758e+05   0.001268      43.35
       190  3.765e+05   0.001292      44.05
       200  3.691e+05   0.001297      45.14
       220  3.699e+05   0.001342      46.47
       240  3.678e+05   0.001376      47.93
       260   3.57e+05   0.001385       49.7
       280  3.502e+05   0.001401      51.26
       300  3.532e+05   0.001442      52.25
       320  3.424e+05   0.001443      53.93
       340  3.335e+05   0.001447      55.51
       360  3.345e+05   0.001478      56.46
       380  3.293e+05   0.001489       57.8
       400  3.315e+05   0.001521      58.63
