      time   pressure   aperture     length
         2  1.413e+06  0.0006093        5.6
         4  1.174e+06  0.0007132        8.4
         6  1.077e+06  0.0007849       10.8
         8  1.044e+06  0.0008482       12.8
        10  1.047e+06  0.0009098       14.8
        12  1.042e+06  0.0009537       16.4
        14  1.041e+06  0.0009894       18.4
        16  1.043e+06    0.00102         20
        18  1.046e+06   0.001047       21.2
        20  1.052e+06   0.001072       22.8
        24  1.071e+06    0.00112       26.4
        28  1.084e+06   0.001155       29.6
        32  1.097e+06   0.001185       32.8
        36  1.109e+06   0.001211       35.6
        40  1.121e+06   0.001234       38.4
        44  1.133e+06   0.001256       41.2
        48  1.145e+06   0.001275         44
        52  1.157e+06   0.001293       46.8
        56  1.168e+06   0.001311       49.2
        60  1.179e+06   0.001327       52.4
        68  1.204e+06   0.001362       58.8
        76  1.224e+06    0.00139       63.2
        84  1.242e+06   0.001415       68.8
        92  1.259e+06   0.001438         74
       100  1.275e+06   0.001459       78.8
       110  1.296e+06   0.001486       85.2
       120  1.315e+06   0.001511       91.2
       130  1.327e+06   0.001528       96.8
       140  1.346e+06   0.001551      103.2
       150  1.363e+06   0.001572      109.2
       160  1.378e+06   0.001591      115.2
       170  1.393e+06    0.00161      120.8
       180  1.407e+06   0.001627      126.4
       190   1.42e+06   0.001644        132
       200  1.433e+06    0.00166      137.2
