# Load curve of the single-edge notched benchmark under shear
# Extracted from singleEdgeNotchShear_topBoundary.hdf5 by extractLoadCurveShear.py
# displacement [mm],load [kN per mm of thickness]
2.000000e-05,1.267803e-03
5.200000e-04,3.296179e-02
1.020000e-03,6.464933e-02
1.520000e-03,9.632400e-02
2.020000e-03,1.279792e-01
2.520000e-03,1.596081e-01
3.020000e-03,1.912035e-01
3.520000e-03,2.227578e-01
4.020000e-03,2.542625e-01
4.520000e-03,2.857083e-01
5.020000e-03,3.170845e-01
5.520000e-03,3.483783e-01
6.020000e-03,3.795738e-01
6.520000e-03,4.106496e-01
7.020000e-03,4.415741e-01
7.520000e-03,4.722934e-01
8.010000e-03,5.020613e-01
8.260000e-03,5.169657e-01
8.510000e-03,5.313837e-01
8.760000e-03,5.400621e-01
9.010000e-03,5.447118e-01
9.260000e-03,5.513142e-01
9.510000e-03,5.572345e-01
9.760000e-03,5.614609e-01
1.001000e-02,5.639630e-01
1.026000e-02,5.650355e-01
1.051000e-02,5.643373e-01
1.076000e-02,5.617189e-01
1.101000e-02,5.571613e-01
1.126000e-02,5.506569e-01
1.151000e-02,5.422332e-01
1.176000e-02,5.320418e-01
1.201000e-02,5.201116e-01
1.226000e-02,5.069079e-01
1.251000e-02,4.924780e-01
1.276000e-02,4.778343e-01
1.301000e-02,4.627347e-01
1.326000e-02,4.480539e-01
1.351000e-02,4.336235e-01
1.376000e-02,4.197524e-01
1.401000e-02,4.074658e-01
1.426000e-02,3.964908e-01
1.451000e-02,3.876056e-01
1.476000e-02,3.711786e-01
1.501000e-02,3.483635e-01
1.526000e-02,3.505171e-01
1.551000e-02,3.551542e-01
1.576000e-02,3.601245e-01
