# Load curve of the single-edge notched benchmark under tension
# Extracted from singleEdgeNotchTension_topBoundary.hdf5 by extractLoadCurveTension.py
# displacement [mm],load [kN per mm of thickness]
1.000000e-05,1.377657e-03
5.100000e-04,7.029719e-02
1.010000e-03,1.391851e-01
1.510000e-03,2.080079e-01
2.010000e-03,2.767291e-01
2.510000e-03,3.453072e-01
3.010000e-03,4.136915e-01
3.510000e-03,4.818165e-01
4.010000e-03,5.495902e-01
4.510000e-03,6.168659e-01
5.010000e-03,6.833502e-01
5.456000e-03,7.409627e-01
5.506000e-03,7.470430e-01
5.556000e-03,7.529277e-01
5.606000e-03,7.574916e-01
5.656000e-03,7.079274e-01
5.706000e-03,6.407114e-01
5.756000e-03,5.683558e-01
5.806000e-03,4.889587e-01
5.856000e-03,4.042132e-01
5.906000e-03,3.145885e-01
5.956000e-03,2.157914e-01
6.002000e-03,8.354875e-04
6.052000e-03,8.424485e-04
6.102000e-03,8.494032e-04
6.152000e-03,8.563680e-04
6.202000e-03,8.633085e-04
6.252000e-03,8.701162e-04
6.302000e-03,8.768114e-04
6.352000e-03,7.999328e-04
6.402000e-03,8.049008e-04
6.452000e-03,8.095966e-04
6.502000e-03,8.143557e-04
6.552000e-03,8.189953e-04
6.602000e-03,8.235973e-04
6.652000e-03,8.281117e-04
6.702000e-03,8.325752e-04
6.752000e-03,8.369671e-04
6.802000e-03,8.413111e-04
6.852000e-03,8.455780e-04
6.902000e-03,8.498040e-04
6.952000e-03,8.539496e-04
