# Load-deflection curve of the symmetric three-point bending benchmark
# Extracted from threePointsBending_reactionCut.hdf5 by extractLoadCurveThreePointsBending.py
# deflection [mm],load [kN per mm of thickness]
1.000000e-04,7.069338e-05
3.614100e-02,2.532808e-02
3.664100e-02,2.567123e-02
3.714100e-02,2.601399e-02
3.764100e-02,2.635634e-02
3.814100e-02,2.669827e-02
3.864100e-02,2.703975e-02
3.914100e-02,2.738078e-02
3.964100e-02,2.772132e-02
4.014100e-02,2.806135e-02
4.064100e-02,2.840085e-02
4.114100e-02,2.873979e-02
4.164100e-02,2.907814e-02
4.214100e-02,2.941587e-02
4.264100e-02,2.975294e-02
4.314100e-02,3.008931e-02
4.364100e-02,3.042492e-02
4.414100e-02,3.075973e-02
4.464100e-02,3.109368e-02
4.514100e-02,3.142668e-02
4.564100e-02,3.175867e-02
4.614100e-02,3.208953e-02
4.664100e-02,3.241914e-02
4.714100e-02,3.274736e-02
4.764100e-02,3.307399e-02
4.814100e-02,3.339879e-02
4.864100e-02,3.372142e-02
4.914100e-02,3.404144e-02
4.964100e-02,3.435814e-02
5.014100e-02,3.467042e-02
5.064100e-02,3.497620e-02
5.114100e-02,3.527062e-02
5.164100e-02,3.553201e-02
5.214100e-02,9.811338e-03
5.264100e-02,9.478498e-03
5.314100e-02,9.342751e-03
5.364100e-02,9.209106e-03
5.414100e-02,9.073086e-03
5.464100e-02,8.942618e-03
5.514100e-02,8.815989e-03
5.564100e-02,8.698085e-03
5.614100e-02,8.582691e-03
5.664100e-02,8.465700e-03
5.714100e-02,8.356416e-03
5.764100e-02,8.243878e-03
5.814100e-02,8.137252e-03
5.864100e-02,8.029294e-03
5.914100e-02,8.025413e-03
5.964100e-02,7.927395e-03
