# Symmetric three-point bending: reference load-deflection curve
# Source: C. Miehe, M. Hofacker, F. Welschinger, Computer Methods in Applied Mechanics
# and Engineering 199:2765-2778, 2010, Fig. 12b: length scale l2 = 0.03 mm, eta = 0.
# Digitized from refcurve_threepointbending.jpg by extracting the curve pixels of the
# right-hand panel and calibrating on the axis frame (u = 0 to 0.10 mm, F = 0 to 0.04 kN).
# Caveat: the eta = 0 curve is only distinguishable from the two others between
# u = 0.0395 and u = 0.0506 mm. Elsewhere the three curves of the panel are drawn on top
# of each other, so those samples follow the visible (green) curve, which coincides with
# the eta = 0 one on the elastic branch and merges with it again in the tail.
# deflection [mm],load [kN per mm of thickness]
4.291845e-04,5.614035e-04
8.583691e-04,9.824561e-04
1.287554e-03,1.263158e-03
1.716738e-03,1.684211e-03
2.145923e-03,1.964912e-03
2.575107e-03,2.526316e-03
3.004292e-03,2.807018e-03
3.433476e-03,3.368421e-03
3.862661e-03,3.649123e-03
4.291845e-03,4.210526e-03
4.721030e-03,4.491228e-03
5.150215e-03,5.052632e-03
5.579399e-03,5.333333e-03
6.008584e-03,5.894737e-03
6.437768e-03,6.175439e-03
6.866953e-03,6.736842e-03
7.296137e-03,6.877193e-03
7.725322e-03,7.438596e-03
8.154506e-03,7.859649e-03
8.583691e-03,8.280702e-03
9.012876e-03,8.561404e-03
9.442060e-03,9.122807e-03
9.871245e-03,9.263158e-03
1.030043e-02,9.824561e-03
1.072961e-02,1.024561e-02
1.115880e-02,1.080702e-02
1.158798e-02,1.108772e-02
1.201717e-02,1.150877e-02
1.244635e-02,1.178947e-02
1.287554e-02,1.249123e-02
1.330472e-02,1.263158e-02
1.373391e-02,1.319298e-02
1.416309e-02,1.347368e-02
1.459227e-02,1.403509e-02
1.502146e-02,1.431579e-02
1.545064e-02,1.487719e-02
1.587983e-02,1.515789e-02
1.630901e-02,1.571930e-02
1.673820e-02,1.585965e-02
1.716738e-02,1.642105e-02
1.759657e-02,1.684211e-02
1.802575e-02,1.712281e-02
1.845494e-02,1.754386e-02
1.888412e-02,1.810526e-02
1.931330e-02,1.824561e-02
1.974249e-02,1.880702e-02
2.017167e-02,1.908772e-02
2.060086e-02,1.964912e-02
2.103004e-02,1.992982e-02
2.145923e-02,2.049123e-02
2.188841e-02,2.077193e-02
2.231760e-02,2.133333e-02
2.274678e-02,2.161404e-02
