time,temperature,dT,sigma_elastic_geos,sigma_druckerPrager_geos,sigma_elastic_analytical,sigma_yield,dp_b,dp_c,ux_elastic_geos,ux_druckerPrager_geos,ux_elastic_analytical,ux_druckerPrager_analytical
0.00000000e+00,1.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,-0.00000000e+00,8.86840336e+03,5.77427955e-01,1.05753580e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-10,1.00000000e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,-0.00000000e+00,8.86840336e+03,5.77427955e-01,1.05753580e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,9.92000000e+01,-8.00000000e-01,1.80000000e+02,1.80000000e+02,1.80000000e+02,8.86840336e+03,5.77427955e-01,1.05753580e+04,-3.00000000e-07,-3.00000000e-07,-3.00000000e-07,-3.00000000e-07
2.00000000e+00,9.84000000e+01,-1.60000000e+00,3.60000000e+02,3.60000000e+02,3.60000000e+02,8.86840336e+03,5.77427955e-01,1.05753580e+04,-6.00000000e-07,-6.00000000e-07,-6.00000000e-07,-6.00000000e-07
3.00000000e+00,9.76000000e+01,-2.40000000e+00,5.40000000e+02,5.40000000e+02,5.40000000e+02,8.86840336e+03,5.77427955e-01,1.05753580e+04,-9.00000000e-07,-9.00000000e-07,-9.00000000e-07,-9.00000000e-07
4.00000000e+00,9.68000000e+01,-3.20000000e+00,7.20000000e+02,7.20000000e+02,7.20000000e+02,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.20000000e-06,-1.20000000e-06,-1.20000000e-06,-1.20000000e-06
5.00000000e+00,9.60000000e+01,-4.00000000e+00,9.00000000e+02,9.00000000e+02,9.00000000e+02,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.50000000e-06,-1.50000000e-06,-1.50000000e-06,-1.50000000e-06
6.00000000e+00,9.52000000e+01,-4.80000000e+00,1.08000000e+03,1.08000000e+03,1.08000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.80000000e-06,-1.80000000e-06,-1.80000000e-06,-1.80000000e-06
7.00000000e+00,9.44000000e+01,-5.60000000e+00,1.26000000e+03,1.26000000e+03,1.26000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.10000000e-06,-2.10000000e-06,-2.10000000e-06,-2.10000000e-06
8.00000000e+00,9.36000000e+01,-6.40000000e+00,1.44000000e+03,1.44000000e+03,1.44000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.40000000e-06,-2.40000000e-06,-2.40000000e-06,-2.40000000e-06
9.00000000e+00,9.28000000e+01,-7.20000000e+00,1.62000000e+03,1.62000000e+03,1.62000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.70000000e-06,-2.70000000e-06,-2.70000000e-06,-2.70000000e-06
1.00000000e+01,9.20000000e+01,-8.00000000e+00,1.80000000e+03,1.80000000e+03,1.80000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-3.00000000e-06,-3.00000000e-06,-3.00000000e-06,-3.00000000e-06
1.10000000e+01,9.12000000e+01,-8.80000000e+00,1.98000000e+03,1.98000000e+03,1.98000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-3.30000000e-06,-3.30000000e-06,-3.30000000e-06,-3.30000000e-06
1.20000000e+01,9.04000000e+01,-9.60000000e+00,2.16000000e+03,2.16000000e+03,2.16000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-3.60000000e-06,-3.60000000e-06,-3.60000000e-06,-3.60000000e-06
1.30000000e+01,8.96000000e+01,-1.04000000e+01,2.34000000e+03,2.34000000e+03,2.34000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-3.90000000e-06,-3.90000000e-06,-3.90000000e-06,-3.90000000e-06
1.40000000e+01,8.88000000e+01,-1.12000000e+01,2.52000000e+03,2.52000000e+03,2.52000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-4.20000000e-06,-4.20000000e-06,-4.20000000e-06,-4.20000000e-06
1.50000000e+01,8.80000000e+01,-1.20000000e+01,2.70000000e+03,2.70000000e+03,2.70000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-4.50000000e-06,-4.50000000e-06,-4.50000000e-06,-4.50000000e-06
1.60000000e+01,8.72000000e+01,-1.28000000e+01,2.88000000e+03,2.88000000e+03,2.88000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-4.80000000e-06,-4.80000000e-06,-4.80000000e-06,-4.80000000e-06
1.70000000e+01,8.64000000e+01,-1.36000000e+01,3.06000000e+03,3.06000000e+03,3.06000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-5.10000000e-06,-5.10000000e-06,-5.10000000e-06,-5.10000000e-06
1.80000000e+01,8.56000000e+01,-1.44000000e+01,3.24000000e+03,3.24000000e+03,3.24000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-5.40000000e-06,-5.40000000e-06,-5.40000000e-06,-5.40000000e-06
1.90000000e+01,8.48000000e+01,-1.52000000e+01,3.42000000e+03,3.42000000e+03,3.42000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-5.70000000e-06,-5.70000000e-06,-5.70000000e-06,-5.70000000e-06
2.00000000e+01,8.40000000e+01,-1.60000000e+01,3.60000000e+03,3.60000000e+03,3.60000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-6.00000000e-06,-6.00000000e-06,-6.00000000e-06,-6.00000000e-06
2.10000000e+01,8.32000000e+01,-1.68000000e+01,3.78000000e+03,3.78000000e+03,3.78000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-6.30000000e-06,-6.30000000e-06,-6.30000000e-06,-6.30000000e-06
2.20000000e+01,8.24000000e+01,-1.76000000e+01,3.96000000e+03,3.96000000e+03,3.96000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-6.60000000e-06,-6.60000000e-06,-6.60000000e-06,-6.60000000e-06
2.30000000e+01,8.16000000e+01,-1.84000000e+01,4.14000000e+03,4.14000000e+03,4.14000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-6.90000000e-06,-6.90000000e-06,-6.90000000e-06,-6.90000000e-06
2.40000000e+01,8.08000000e+01,-1.92000000e+01,4.32000000e+03,4.32000000e+03,4.32000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-7.20000000e-06,-7.20000000e-06,-7.20000000e-06,-7.20000000e-06
2.50000000e+01,8.00000000e+01,-2.00000000e+01,4.50000000e+03,4.50000000e+03,4.50000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-7.50000000e-06,-7.50000000e-06,-7.50000000e-06,-7.50000000e-06
2.60000000e+01,7.92000000e+01,-2.08000000e+01,4.68000000e+03,4.68000000e+03,4.68000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-7.80000000e-06,-7.80000000e-06,-7.80000000e-06,-7.80000000e-06
2.70000000e+01,7.84000000e+01,-2.16000000e+01,4.86000000e+03,4.86000000e+03,4.86000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-8.10000000e-06,-8.10000000e-06,-8.10000000e-06,-8.10000000e-06
2.80000000e+01,7.76000000e+01,-2.24000000e+01,5.04000000e+03,5.04000000e+03,5.04000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-8.40000000e-06,-8.40000000e-06,-8.40000000e-06,-8.40000000e-06
2.90000000e+01,7.68000000e+01,-2.32000000e+01,5.22000000e+03,5.22000000e+03,5.22000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-8.70000000e-06,-8.70000000e-06,-8.70000000e-06,-8.70000000e-06
3.00000000e+01,7.60000000e+01,-2.40000000e+01,5.40000000e+03,5.40000000e+03,5.40000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-9.00000000e-06,-9.00000000e-06,-9.00000000e-06,-9.00000000e-06
3.10000000e+01,7.52000000e+01,-2.48000000e+01,5.58000000e+03,5.58000000e+03,5.58000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-9.30000000e-06,-9.30000000e-06,-9.30000000e-06,-9.30000000e-06
3.20000000e+01,7.44000000e+01,-2.56000000e+01,5.76000000e+03,5.76000000e+03,5.76000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-9.60000000e-06,-9.60000000e-06,-9.60000000e-06,-9.60000000e-06
3.30000000e+01,7.36000000e+01,-2.64000000e+01,5.94000000e+03,5.94000000e+03,5.94000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-9.90000000e-06,-9.90000000e-06,-9.90000000e-06,-9.90000000e-06
3.40000000e+01,7.28000000e+01,-2.72000000e+01,6.12000000e+03,6.12000000e+03,6.12000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.02000000e-05,-1.02000000e-05,-1.02000000e-05,-1.02000000e-05
3.50000000e+01,7.20000000e+01,-2.80000000e+01,6.30000000e+03,6.30000000e+03,6.30000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.05000000e-05,-1.05000000e-05,-1.05000000e-05,-1.05000000e-05
3.60000000e+01,7.12000000e+01,-2.88000000e+01,6.48000000e+03,6.48000000e+03,6.48000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.08000000e-05,-1.08000000e-05,-1.08000000e-05,-1.08000000e-05
3.70000000e+01,7.04000000e+01,-2.96000000e+01,6.66000000e+03,6.66000000e+03,6.66000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.11000000e-05,-1.11000000e-05,-1.11000000e-05,-1.11000000e-05
3.80000000e+01,6.96000000e+01,-3.04000000e+01,6.84000000e+03,6.84000000e+03,6.84000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.14000000e-05,-1.14000000e-05,-1.14000000e-05,-1.14000000e-05
3.90000000e+01,6.88000000e+01,-3.12000000e+01,7.02000000e+03,7.02000000e+03,7.02000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.17000000e-05,-1.17000000e-05,-1.17000000e-05,-1.17000000e-05
4.00000000e+01,6.80000000e+01,-3.20000000e+01,7.20000000e+03,7.20000000e+03,7.20000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.20000000e-05,-1.20000000e-05,-1.20000000e-05,-1.20000000e-05
4.10000000e+01,6.72000000e+01,-3.28000000e+01,7.38000000e+03,7.38000000e+03,7.38000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.23000000e-05,-1.23000000e-05,-1.23000000e-05,-1.23000000e-05
4.20000000e+01,6.64000000e+01,-3.36000000e+01,7.56000000e+03,7.56000000e+03,7.56000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.26000000e-05,-1.26000000e-05,-1.26000000e-05,-1.26000000e-05
4.30000000e+01,6.56000000e+01,-3.44000000e+01,7.74000000e+03,7.74000000e+03,7.74000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.29000000e-05,-1.29000000e-05,-1.29000000e-05,-1.29000000e-05
4.40000000e+01,6.48000000e+01,-3.52000000e+01,7.92000000e+03,7.92000000e+03,7.92000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.32000000e-05,-1.32000000e-05,-1.32000000e-05,-1.32000000e-05
4.50000000e+01,6.40000000e+01,-3.60000000e+01,8.10000000e+03,8.10000000e+03,8.10000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.35000000e-05,-1.35000000e-05,-1.35000000e-05,-1.35000000e-05
4.60000000e+01,6.32000000e+01,-3.68000000e+01,8.28000000e+03,8.28000000e+03,8.28000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.38000000e-05,-1.38000000e-05,-1.38000000e-05,-1.38000000e-05
4.70000000e+01,6.24000000e+01,-3.76000000e+01,8.46000000e+03,8.46000000e+03,8.46000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.41000000e-05,-1.41000000e-05,-1.41000000e-05,-1.41000000e-05
4.80000000e+01,6.16000000e+01,-3.84000000e+01,8.64000000e+03,8.64000000e+03,8.64000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.44000000e-05,-1.44000000e-05,-1.44000000e-05,-1.44000000e-05
4.90000000e+01,6.08000000e+01,-3.92000000e+01,8.82000000e+03,8.82000000e+03,8.82000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.47000000e-05,-1.47000000e-05,-1.47000000e-05,-1.47000000e-05
5.00000000e+01,6.00000000e+01,-4.00000000e+01,9.00000000e+03,8.86840336e+03,9.00000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.50000000e-05,-1.50438655e-05,-1.50000000e-05,-1.50438655e-05
5.10000000e+01,5.92000000e+01,-4.08000000e+01,9.18000000e+03,8.86840336e+03,9.18000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.53000000e-05,-1.54038655e-05,-1.53000000e-05,-1.54038655e-05
5.20000000e+01,5.84000000e+01,-4.16000000e+01,9.36000000e+03,8.86840336e+03,9.36000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.56000000e-05,-1.57638655e-05,-1.56000000e-05,-1.57638655e-05
5.30000000e+01,5.76000000e+01,-4.24000000e+01,9.54000000e+03,8.86840336e+03,9.54000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.59000000e-05,-1.61238655e-05,-1.59000000e-05,-1.61238655e-05
5.40000000e+01,5.68000000e+01,-4.32000000e+01,9.72000000e+03,8.86840336e+03,9.72000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.62000000e-05,-1.64838655e-05,-1.62000000e-05,-1.64838655e-05
5.50000000e+01,5.60000000e+01,-4.40000000e+01,9.90000000e+03,8.86840336e+03,9.90000000e+03,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.65000000e-05,-1.68438655e-05,-1.65000000e-05,-1.68438655e-05
5.60000000e+01,5.52000000e+01,-4.48000000e+01,1.00800000e+04,8.86840336e+03,1.00800000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.68000000e-05,-1.72038655e-05,-1.68000000e-05,-1.72038655e-05
5.70000000e+01,5.44000000e+01,-4.56000000e+01,1.02600000e+04,8.86840336e+03,1.02600000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.71000000e-05,-1.75638655e-05,-1.71000000e-05,-1.75638655e-05
5.80000000e+01,5.36000000e+01,-4.64000000e+01,1.04400000e+04,8.86840336e+03,1.04400000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.74000000e-05,-1.79238655e-05,-1.74000000e-05,-1.79238655e-05
5.90000000e+01,5.28000000e+01,-4.72000000e+01,1.06200000e+04,8.86840336e+03,1.06200000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.77000000e-05,-1.82838655e-05,-1.77000000e-05,-1.82838655e-05
6.00000000e+01,5.20000000e+01,-4.80000000e+01,1.08000000e+04,8.86840336e+03,1.08000000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.80000000e-05,-1.86438655e-05,-1.80000000e-05,-1.86438655e-05
6.10000000e+01,5.12000000e+01,-4.88000000e+01,1.09800000e+04,8.86840336e+03,1.09800000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.83000000e-05,-1.90038655e-05,-1.83000000e-05,-1.90038655e-05
6.20000000e+01,5.04000000e+01,-4.96000000e+01,1.11600000e+04,8.86840336e+03,1.11600000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.86000000e-05,-1.93638655e-05,-1.86000000e-05,-1.93638655e-05
6.30000000e+01,4.96000000e+01,-5.04000000e+01,1.13400000e+04,8.86840336e+03,1.13400000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.89000000e-05,-1.97238655e-05,-1.89000000e-05,-1.97238655e-05
6.40000000e+01,4.88000000e+01,-5.12000000e+01,1.15200000e+04,8.86840336e+03,1.15200000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.92000000e-05,-2.00838655e-05,-1.92000000e-05,-2.00838655e-05
6.50000000e+01,4.80000000e+01,-5.20000000e+01,1.17000000e+04,8.86840336e+03,1.17000000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.95000000e-05,-2.04438655e-05,-1.95000000e-05,-2.04438655e-05
6.60000000e+01,4.72000000e+01,-5.28000000e+01,1.18800000e+04,8.86840336e+03,1.18800000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-1.98000000e-05,-2.08038655e-05,-1.98000000e-05,-2.08038655e-05
6.70000000e+01,4.64000000e+01,-5.36000000e+01,1.20600000e+04,8.86840336e+03,1.20600000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.01000000e-05,-2.11638655e-05,-2.01000000e-05,-2.11638655e-05
6.80000000e+01,4.56000000e+01,-5.44000000e+01,1.22400000e+04,8.86840336e+03,1.22400000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.04000000e-05,-2.15238655e-05,-2.04000000e-05,-2.15238655e-05
6.90000000e+01,4.48000000e+01,-5.52000000e+01,1.24200000e+04,8.86840336e+03,1.24200000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.07000000e-05,-2.18838655e-05,-2.07000000e-05,-2.18838655e-05
7.00000000e+01,4.40000000e+01,-5.60000000e+01,1.26000000e+04,8.86840336e+03,1.26000000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.10000000e-05,-2.22438655e-05,-2.10000000e-05,-2.22438655e-05
7.10000000e+01,4.32000000e+01,-5.68000000e+01,1.27800000e+04,8.86840336e+03,1.27800000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.13000000e-05,-2.26038655e-05,-2.13000000e-05,-2.26038655e-05
7.20000000e+01,4.24000000e+01,-5.76000000e+01,1.29600000e+04,8.86840336e+03,1.29600000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.16000000e-05,-2.29638655e-05,-2.16000000e-05,-2.29638655e-05
7.30000000e+01,4.16000000e+01,-5.84000000e+01,1.31400000e+04,8.86840336e+03,1.31400000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.19000000e-05,-2.33238655e-05,-2.19000000e-05,-2.33238655e-05
7.40000000e+01,4.08000000e+01,-5.92000000e+01,1.33200000e+04,8.86840336e+03,1.33200000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.22000000e-05,-2.36838655e-05,-2.22000000e-05,-2.36838655e-05
7.50000000e+01,4.00000000e+01,-6.00000000e+01,1.35000000e+04,8.86840336e+03,1.35000000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.25000000e-05,-2.40438655e-05,-2.25000000e-05,-2.40438655e-05
7.60000000e+01,3.92000000e+01,-6.08000000e+01,1.36800000e+04,8.86840336e+03,1.36800000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.28000000e-05,-2.44038655e-05,-2.28000000e-05,-2.44038655e-05
7.70000000e+01,3.84000000e+01,-6.16000000e+01,1.38600000e+04,8.86840336e+03,1.38600000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.31000000e-05,-2.47638655e-05,-2.31000000e-05,-2.47638655e-05
7.80000000e+01,3.76000000e+01,-6.24000000e+01,1.40400000e+04,8.86840336e+03,1.40400000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.34000000e-05,-2.51238655e-05,-2.34000000e-05,-2.51238655e-05
7.90000000e+01,3.68000000e+01,-6.32000000e+01,1.42200000e+04,8.86840336e+03,1.42200000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.37000000e-05,-2.54838655e-05,-2.37000000e-05,-2.54838655e-05
8.00000000e+01,3.60000000e+01,-6.40000000e+01,1.44000000e+04,8.86840336e+03,1.44000000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.40000000e-05,-2.58438655e-05,-2.40000000e-05,-2.58438655e-05
8.10000000e+01,3.52000000e+01,-6.48000000e+01,1.45800000e+04,8.86840336e+03,1.45800000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.43000000e-05,-2.62038655e-05,-2.43000000e-05,-2.62038655e-05
8.20000000e+01,3.44000000e+01,-6.56000000e+01,1.47600000e+04,8.86840336e+03,1.47600000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.46000000e-05,-2.65638655e-05,-2.46000000e-05,-2.65638655e-05
8.30000000e+01,3.36000000e+01,-6.64000000e+01,1.49400000e+04,8.86840336e+03,1.49400000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.49000000e-05,-2.69238655e-05,-2.49000000e-05,-2.69238655e-05
8.40000000e+01,3.28000000e+01,-6.72000000e+01,1.51200000e+04,8.86840336e+03,1.51200000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.52000000e-05,-2.72838655e-05,-2.52000000e-05,-2.72838655e-05
8.50000000e+01,3.20000000e+01,-6.80000000e+01,1.53000000e+04,8.86840336e+03,1.53000000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.55000000e-05,-2.76438655e-05,-2.55000000e-05,-2.76438655e-05
8.60000000e+01,3.12000000e+01,-6.88000000e+01,1.54800000e+04,8.86840336e+03,1.54800000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.58000000e-05,-2.80038655e-05,-2.58000000e-05,-2.80038655e-05
8.70000000e+01,3.04000000e+01,-6.96000000e+01,1.56600000e+04,8.86840336e+03,1.56600000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.61000000e-05,-2.83638655e-05,-2.61000000e-05,-2.83638655e-05
8.80000000e+01,2.96000000e+01,-7.04000000e+01,1.58400000e+04,8.86840336e+03,1.58400000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.64000000e-05,-2.87238655e-05,-2.64000000e-05,-2.87238655e-05
8.90000000e+01,2.88000000e+01,-7.12000000e+01,1.60200000e+04,8.86840336e+03,1.60200000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.67000000e-05,-2.90838655e-05,-2.67000000e-05,-2.90838655e-05
9.00000000e+01,2.80000000e+01,-7.20000000e+01,1.62000000e+04,8.86840336e+03,1.62000000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.70000000e-05,-2.94438655e-05,-2.70000000e-05,-2.94438655e-05
9.10000000e+01,2.72000000e+01,-7.28000000e+01,1.63800000e+04,8.86840336e+03,1.63800000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.73000000e-05,-2.98038655e-05,-2.73000000e-05,-2.98038655e-05
9.20000000e+01,2.64000000e+01,-7.36000000e+01,1.65600000e+04,8.86840336e+03,1.65600000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.76000000e-05,-3.01638655e-05,-2.76000000e-05,-3.01638655e-05
9.30000000e+01,2.56000000e+01,-7.44000000e+01,1.67400000e+04,8.86840336e+03,1.67400000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.79000000e-05,-3.05238655e-05,-2.79000000e-05,-3.05238655e-05
9.40000000e+01,2.48000000e+01,-7.52000000e+01,1.69200000e+04,8.86840336e+03,1.69200000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.82000000e-05,-3.08838655e-05,-2.82000000e-05,-3.08838655e-05
9.50000000e+01,2.40000000e+01,-7.60000000e+01,1.71000000e+04,8.86840336e+03,1.71000000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.85000000e-05,-3.12438655e-05,-2.85000000e-05,-3.12438655e-05
9.60000000e+01,2.32000000e+01,-7.68000000e+01,1.72800000e+04,8.86840336e+03,1.72800000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.88000000e-05,-3.16038655e-05,-2.88000000e-05,-3.16038655e-05
9.70000000e+01,2.24000000e+01,-7.76000000e+01,1.74600000e+04,8.86840336e+03,1.74600000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.91000000e-05,-3.19638655e-05,-2.91000000e-05,-3.19638655e-05
9.80000000e+01,2.16000000e+01,-7.84000000e+01,1.76400000e+04,8.86840336e+03,1.76400000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.94000000e-05,-3.23238655e-05,-2.94000000e-05,-3.23238655e-05
9.90000000e+01,2.08000000e+01,-7.92000000e+01,1.78200000e+04,8.86840336e+03,1.78200000e+04,8.86840336e+03,5.77427955e-01,1.05753580e+04,-2.97000000e-05,-3.26838655e-05,-2.97000000e-05,-3.26838655e-05
