time,p_zh0p0,p_zh0p6,p_zh0p8,T_zh0p0,T_zh0p6,T_zh0p8,disp_1p4m,disp_4p2m,disp_7m,sxx_0m,sxx_4p2m,sxx_5p6m,syy
1.00000000e-02,9.88023952e-01,9.88023952e-01,9.88023952e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,8.17869011e-06,-9.96007984e-01,-9.96007984e-01,-9.96007984e-01,-1.00000000e+00
1.17681195e-02,9.88023952e-01,9.88023952e-01,9.88023952e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,8.31934029e-06,-9.96007984e-01,-9.96007984e-01,-9.96007984e-01,-1.00000000e+00
1.38488637e-02,9.88023952e-01,9.88023952e-01,9.88023952e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,8.47191345e-06,-9.96007984e-01,-9.96007984e-01,-9.96007984e-01,-1.00000000e+00
1.62975083e-02,9.88023952e-01,9.88023952e-01,9.88023952e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,8.63742920e-06,-9.96007984e-01,-9.96007984e-01,-9.96007984e-01,-1.00000000e+00
1.91791026e-02,9.88023952e-01,9.88023952e-01,9.88023952e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,8.81698329e-06,-9.96007984e-01,-9.96007984e-01,-9.96007984e-01,-1.00000000e+00
2.25701972e-02,9.88023952e-01,9.88023952e-01,9.88023952e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,9.01176446e-06,-9.96007984e-01,-9.96007984e-01,-9.96007984e-01,-1.00000000e+00
2.65608778e-02,9.88023952e-01,9.88023952e-01,9.88023952e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,9.22306539e-06,-9.96007984e-01,-9.96007984e-01,-9.96007984e-01,-1.00000000e+00
3.12571585e-02,9.88023952e-01,9.88023952e-01,9.88023952e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,9.45228656e-06,-9.96007984e-01,-9.96007984e-01,-9.96007984e-01,-1.00000000e+00
3.67837977e-02,9.88023952e-01,9.88023952e-01,9.88023952e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,9.70094789e-06,-9.96007984e-01,-9.96007984e-01,-9.96007984e-01,-1.00000000e+00
4.32876128e-02,9.88023952e-01,9.88023952e-01,9.88023952e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,9.97069823e-06,-9.96007984e-01,-9.96007984e-01,-9.96007984e-01,-1.00000000e+00
5.09413801e-02,9.88023952e-01,9.88023952e-01,9.88023952e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,1.02633257e-05,-9.96007984e-01,-9.96007984e-01,-9.96007984e-01,-1.00000000e+00
5.99484250e-02,9.88023952e-01,9.88023952e-01,9.88023952e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,1.05807710e-05,-9.96007984e-01,-9.96007984e-01,-9.96007984e-01,-1.00000000e+00
7.05480231e-02,9.88023952e-01,9.88023952e-01,9.88023952e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,1.09251387e-05,-9.96007984e-01,-9.96007984e-01,-9.96007984e-01,-1.00000000e+00
8.30217568e-02,9.88023952e-01,9.88023952e-01,9.88023952e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,1.12987121e-05,-9.96007984e-01,-9.96007984e-01,-9.96007984e-01,-1.00000000e+00
9.77009957e-02,9.88023952e-01,9.88023952e-01,9.88023952e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,1.17039681e-05,-9.96007984e-01,-9.96007984e-01,-9.96007984e-01,-1.00000000e+00
1.14975700e-01,9.88023952e-01,9.88023952e-01,9.88023952e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,1.21435938e-05,-9.96007984e-01,-9.96007984e-01,-9.96007984e-01,-1.00000000e+00
1.35304777e-01,9.88023952e-01,9.88023952e-01,9.88023952e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,1.26205039e-05,-9.96007984e-01,-9.96007984e-01,-9.96007984e-01,-1.00000000e+00
1.59228279e-01,9.88023952e-01,9.88023952e-01,9.88023952e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,1.31378606e-05,-9.96007984e-01,-9.96007984e-01,-9.96007984e-01,-1.00000000e+00
1.87381742e-01,9.88023952e-01,9.88023952e-01,9.88023952e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,1.36990941e-05,-9.96007984e-01,-9.96007984e-01,-9.96007984e-01,-1.00000000e+00
2.20513074e-01,9.88023952e-01,9.88023952e-01,9.88023952e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,1.43079257e-05,-9.96007984e-01,-9.96007984e-01,-9.96007984e-01,-1.00000000e+00
2.59502421e-01,9.88023952e-01,9.88023952e-01,9.88023952e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,1.49683920e-05,-9.96007984e-01,-9.96007984e-01,-9.96007984e-01,-1.00000000e+00
3.05385551e-01,9.88023952e-01,9.88023952e-01,9.88023952e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,1.56848723e-05,-9.96007984e-01,-9.96007984e-01,-9.96007984e-01,-1.00000000e+00
3.59381366e-01,9.88023952e-01,9.88023952e-01,9.88023952e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,1.64621169e-05,-9.96007984e-01,-9.96007984e-01,-9.96007984e-01,-1.00000000e+00
4.22924287e-01,9.88023952e-01,9.88023952e-01,9.88023952e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,1.73052795e-05,-9.96007984e-01,-9.96007984e-01,-9.96007984e-01,-1.00000000e+00
4.97702356e-01,9.88023952e-01,9.88023952e-01,9.88023952e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,1.82199503e-05,-9.96007984e-01,-9.96007984e-01,-9.96007984e-01,-1.00000000e+00
5.85702082e-01,9.88023952e-01,9.88023952e-01,9.88023943e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,1.92121940e-05,-9.96007984e-01,-9.96007984e-01,-9.96007981e-01,-1.00000000e+00
6.89261210e-01,9.88023952e-01,9.88023952e-01,9.88023833e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,2.02885896e-05,-9.96007984e-01,-9.96007984e-01,-9.96007944e-01,-1.00000000e+00
8.11130831e-01,9.88023952e-01,9.88023952e-01,9.88022897e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,2.14562739e-05,-9.96007984e-01,-9.96007984e-01,-9.96007632e-01,-1.00000000e+00
9.54548457e-01,9.88023952e-01,9.88023952e-01,9.88017165e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,2.27229890e-05,-9.96007984e-01,-9.96007984e-01,-9.96005722e-01,-1.00000000e+00
1.12332403e+00,9.88023952e-01,9.88023952e-01,9.87990595e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,2.40971338e-05,-9.96007984e-01,-9.96007984e-01,-9.95996865e-01,-1.00000000e+00
1.32194115e+00,9.88023952e-01,9.88023952e-01,9.87893570e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,2.55878194e-05,-9.96007984e-01,-9.96007984e-01,-9.95964523e-01,-1.00000000e+00
1.55567614e+00,9.88023952e-01,9.88023952e-01,9.87604571e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,2.72049294e-05,-9.96007984e-01,-9.96007984e-01,-9.95868190e-01,-1.00000000e+00
