time,p_0m,p_4p2m,p_5p6m,T_0m,T_4p2m,T_5p6m,disp_1p4m,disp_4p2m,disp_7m,sxx_0m,sxx_4p2m,sxx_5p6m,syy_0m
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.73000000e+02,2.73000000e+02,2.73000000e+02,-0.00000000e+00,-0.00000000e+00,-0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,2.73000000e+02,2.73000000e+02,2.73000000e+02,-3.97059798e-21,4.37445479e-20,6.93147483e-07,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00
1.00000000e+00,1.00000000e+00,9.99994468e-01,9.97394575e-01,2.73000000e+02,2.73000000e+02,2.72999939e+02,3.61756052e-16,7.79466173e-11,1.52594600e-05,-1.00000000e+00,-9.99998812e-01,-9.99440315e-01,-1.00000000e+00
3.00000000e+00,9.99999999e-01,9.99621614e-01,9.72884388e-01,2.73000000e+02,2.72999991e+02,2.72999564e+02,1.37143557e-12,8.12223584e-09,2.78152035e-05,-1.00000000e+00,-9.99907358e-01,-9.93297274e-01,-1.00000000e+00
5.00000000e+00,9.99999984e-01,9.98358609e-01,9.35007484e-01,2.73000000e+02,2.72999961e+02,2.72999719e+02,1.25549597e-11,3.97543495e-08,3.66496698e-05,-9.99999995e-01,-9.99584532e-01,-9.83073657e-01,-1.00000000e+00
7.00000000e+00,9.99999911e-01,9.95725675e-01,8.91763758e-01,2.73000000e+02,2.72999899e+02,2.73001857e+02,6.21646892e-11,1.15085171e-07,4.38232944e-05,-9.99999970e-01,-9.98888742e-01,-9.70754333e-01,-1.00000000e+00
9.00000000e+00,9.99999638e-01,9.91448024e-01,8.48447768e-01,2.73000000e+02,2.72999799e+02,2.73007979e+02,2.20165638e-10,2.53622396e-07,5.00089386e-05,-9.99999879e-01,-9.97725855e-01,-9.57904833e-01,-1.00000000e+00
1.10000000e+01,9.99998837e-01,9.85481141e-01,8.07653043e-01,2.73000000e+02,2.72999659e+02,2.73020451e+02,6.24367476e-10,4.70738895e-07,5.55228878e-05,-9.99999612e-01,-9.96063799e-01,-9.45431013e-01,-1.00000000e+00
1.30000000e+01,9.99996854e-01,9.77956133e-01,7.70325090e-01,2.73000000e+02,2.72999483e+02,2.73041761e+02,1.50692270e-09,7.76284905e-07,6.05432530e-05,-9.99998951e-01,-9.93923276e-01,-9.33757962e-01,-1.00000000e+00
1.50000000e+01,9.99992549e-01,9.69104287e-01,7.36588371e-01,2.73000000e+02,2.72999277e+02,2.73074256e+02,3.21506383e-09,1.17479197e-06,6.51816908e-05,-9.99997516e-01,-9.91359242e-01,-9.23034122e-01,-1.00000000e+00
1.70000000e+01,9.99984127e-01,9.59193781e-01,7.06215204e-01,2.73000000e+02,2.72999048e+02,2.73119937e+02,6.22180049e-09,1.66647392e-06,6.95134729e-05,-9.99994707e-01,-9.88443123e-01,-9.13268146e-01,-1.00000000e+00
1.90000000e+01,9.99968997e-01,9.48488060e-01,6.78857108e-01,2.72999999e+02,2.72998806e+02,2.73180329e+02,1.11247773e-08,2.24843486e-06,7.35921084e-05,-9.99989663e-01,-9.85249804e-01,-9.04405710e-01,-1.00000000e+00
2.10000000e+01,9.99943678e-01,9.37223504e-01,6.54149027e-01,2.72999999e+02,2.72998558e+02,2.73256427e+02,1.86339358e-08,2.91576718e-06,7.74572119e-05,-9.99981221e-01,-9.81849722e-01,-8.96368869e-01,-1.00000000e+00
2.30000000e+01,9.99903761e-01,9.25600500e-01,6.31751677e-01,2.72999998e+02,2.72998317e+02,2.73348711e+02,2.95503626e-08,3.66242090e-06,8.11390663e-05,-9.99967912e-01,-9.78304941e-01,-8.89074961e-01,-1.00000000e+00
2.50000000e+01,9.99843943e-01,9.13782467e-01,6.11365462e-01,2.72999996e+02,2.72998092e+02,2.73457197e+02,4.47395416e-08,4.48183402e-06,8.46614289e-05,-9.99947967e-01,-9.74667828e-01,-8.82445025e-01,-1.00000000e+00
2.70000000e+01,9.99758122e-01,9.01898926e-01,5.92732032e-01,2.72999994e+02,2.72997898e+02,2.73581516e+02,6.51022662e-08,5.36735994e-06,8.80433405e-05,-9.99919353e-01,-9.70981236e-01,-8.76407079e-01,-1.00000000e+00
