r[m]	u[m]
0.15707	-0.00021387
0.157761	-0.000215251
0.158452	-0.00021663
0.159143	-0.000218007
0.159834	-0.000219381
0.160525	-0.000220752
0.161216	-0.000222121
0.161907	-0.000223488
0.162598	-0.000224851
0.163289	-0.000226213
0.16398	-0.000227572
0.164671	-0.000228929
0.165362	-0.000230283
0.166053	-0.000231635
0.166744	-0.000232985
0.167435	-0.000234332
0.168126	-0.000235677
0.168817	-0.00023702
0.169508	-0.000238361
0.170199	-0.0002397
0.17089	-0.000241036
0.171581	-0.000242371
0.172272	-0.000243703
0.172963	-0.000245033
0.173654	-0.000246361
0.174345	-0.000247687
0.175036	-0.000249011
0.175727	-0.000250333
0.176418	-0.000251653
0.177109	-0.000252971
0.1778	-0.000254287
0.1778	-0.000254287
0.1784984	-0.00025471
0.1791968	-0.000255121
0.1798952	-0.000255519
0.1805936	-0.000255906
0.181292	-0.00025628
0.1819904	-0.000256643
0.1826888	-0.000256994
0.1833872	-0.000257333
0.1840856	-0.000257661
0.184784	-0.000257977
0.1854824	-0.000258281
0.1861808	-0.000258574
0.1868792	-0.000258856
0.1875776	-0.000259127
0.188276	-0.000259386
0.1889744	-0.000259635
0.1896728	-0.000259872
0.1903712	-0.000260098
0.1910696	-0.000260314
0.191768	-0.000260519
0.1924664	-0.000260713
0.1931648	-0.000260896
0.1938632	-0.000261069
0.1945616	-0.000261231
0.19526	-0.000261383
0.1959584	-0.000261524
0.1966568	-0.000261655
0.1973552	-0.000261776
0.1980536	-0.000261887
0.198752	-0.000261988
0.1994504	-0.000262078
0.2001488	-0.000262159
0.2008472	-0.000262229
0.2015456	-0.00026229
0.202244	-0.000262341
0.2029424	-0.000262382
0.2036408	-0.000262413
0.2043392	-0.000262435
0.2050376	-0.000262447
0.205736	-0.00026245
0.2064344	-0.000262444
0.2071328	-0.000262427
0.2078312	-0.000262402
0.2085296	-0.000262367
0.209228	-0.000262323
0.2099264	-0.00026227
0.2106248	-0.000262208
0.2113232	-0.000262137
0.2120216	-0.000262056
0.21272	-0.000261967
0.21272	-0.000261967
0.21611495	-0.000266419
0.2195099	-0.000270695
0.22290485	-0.0002748
0.2262998	-0.00027874
0.22969475	-0.00028252
0.2330897	-0.000286145
0.23648465	-0.00028962
0.2398796	-0.000292949
0.24327455	-0.000296137
0.2466695	-0.000299188
0.25006445	-0.000302106
0.2534594	-0.000304895
0.25685435	-0.000307559
0.2602493	-0.0003101
0.26364425	-0.000312523
0.2670392	-0.000314831
0.27043415	-0.000317027
0.2738291	-0.000319115
0.27722405	-0.000321096
0.280619	-0.000322974
0.28401395	-0.000324753
0.2874089	-0.000326433
0.29080385	-0.000328019
0.2941988	-0.000329512
0.29759375	-0.000330915
0.3009887	-0.000332231
0.30438365	-0.000333461
0.3077786	-0.000334608
0.31117355	-0.000335674
0.3145685	-0.000336661
0.31796345	-0.000337572
0.3213584	-0.000338407
0.32475335	-0.00033917
0.3281483	-0.000339862
0.33154325	-0.000340485
0.3349382	-0.000341041
0.33833315	-0.00034153
0.3417281	-0.000341957
0.34512305	-0.00034232
0.348518	-0.000342624
0.35191295	-0.000342868
0.3553079	-0.000343055
0.35870285	-0.000343186
0.3620978	-0.000343262
0.36549275	-0.000343285
0.3688877	-0.000343257
0.37228265	-0.000343179
0.3756776	-0.000343052
0.37907255	-0.000342877
0.3824675	-0.000342656
0.38586245	-0.000342389
0.3892574	-0.000342079
0.39265235	-0.000341727
0.3960473	-0.000341333
0.39944225	-0.000340899
0.4028372	-0.000340426
0.40623215	-0.000339914
0.4096271	-0.000339366
0.41302205	-0.000338782
0.416417	-0.000338163
0.41981195	-0.000337511
0.4232069	-0.000336825
0.42660185	-0.000336108
0.4299968	-0.00033536
0.43339175	-0.000334582
0.4367867	-0.000333775
0.44018165	-0.000332939
0.4435766	-0.000332077
0.44697155	-0.000331188
0.4503665	-0.000330273
0.45376145	-0.000329334
0.4571564	-0.000328371
0.46055135	-0.000327385
0.4639463	-0.000326376
0.46734125	-0.000325345
0.4707362	-0.000324294
0.47413115	-0.000323223
0.4775261	-0.000322132
0.48092105	-0.000321022
0.484316	-0.000319894
0.48771095	-0.000318749
0.4911059	-0.000317587
0.49450085	-0.000316409
0.4978958	-0.000315215
0.50129075	-0.000314006
0.5046857	-0.000312783
0.50808065	-0.000311546
0.5114756	-0.000310296
0.51487055	-0.000309034
0.5182655	-0.000307759
0.52166045	-0.000306473
0.5250554	-0.000305175
0.52845035	-0.000303867
0.5318453	-0.000302549
0.53524025	-0.000301222
0.5386352	-0.000299885
0.54203015	-0.000298539
0.5454251	-0.000297186
0.54882005	-0.000295824
0.552215	-0.000294455
0.55560995	-0.00029308
0.5590049	-0.000291697
0.56239985	-0.000290309
0.5657948	-0.000288914
0.56918975	-0.000287515
0.5725847	-0.00028611
0.57597965	-0.000284701
0.5793746	-0.000283287
0.58276955	-0.000281869
0.5861645	-0.000280448
0.58955945	-0.000279023
0.5929544	-0.000277595
0.59634935	-0.000276165
0.5997443	-0.000274732
0.60313925	-0.000273297
0.6065342	-0.00027186
0.60992915	-0.000270421
0.6133241	-0.000268981
0.61671905	-0.00026754
0.620114	-0.000266098
0.62350895	-0.000264656
0.6269039	-0.000263213
0.63029885	-0.00026177
0.6336938	-0.000260327
0.63708875	-0.000258884
0.6404837	-0.000257442
0.64387865	-0.000256001
