r[m]	temperature[C]
0.15707	-20
0.157761	-19.89723727
0.158452	-19.79492285
0.159143	-19.69305302
0.159834	-19.59162411
0.160525	-19.49063249
0.161216	-19.39007458
0.161907	-19.28994684
0.162598	-19.1902458
0.163289	-19.09096801
0.16398	-18.99211007
0.164671	-18.89366864
0.165362	-18.79564039
0.166053	-18.69802206
0.166744	-18.60081043
0.167435	-18.5040023
0.168126	-18.40759453
0.168817	-18.31158401
0.169508	-18.21596767
0.170199	-18.12074249
0.17089	-18.02590546
0.171581	-17.93145362
0.172272	-17.83738407
0.172963	-17.74369391
0.173654	-17.65038029
0.174345	-17.5574404
0.175036	-17.46487146
0.175727	-17.37267071
0.176418	-17.28083545
0.177109	-17.18936298
0.1778	-17.09825066
0.1778	-17.09825066
0.1784984	-15.71692987
0.1791968	-14.341324
0.1798952	-12.97149616
0.1805936	-11.60750896
0.181292	-10.2494245
0.1819904	-8.89730431
0.1826888	-7.551209328
0.1833872	-6.211199869
0.1840856	-4.877335586
0.184784	-3.54967544
0.1854824	-2.228277664
0.1861808	-0.913199738
0.1868792	0.395501648
0.1875776	1.697770617
0.188276	2.993552141
0.1889744	4.282792067
0.1896728	5.56543714
0.1903712	6.841435039
0.1910696	8.110734392
0.191768	9.37328481
0.1924664	10.62903691
0.1931648	11.87794233
0.1938632	13.11995376
0.1945616	14.35502497
0.19526	15.58311081
0.1959584	16.80416726
0.1966568	18.0181514
0.1973552	19.2250215
0.1980536	20.42473696
0.198752	21.61725839
0.1994504	22.80254758
0.2001488	23.98056755
0.2008472	25.15128254
0.2015456	26.31465801
0.202244	27.4706607
0.2029424	28.6192586
0.2036408	29.76042096
0.2043392	30.89411833
0.2050376	32.02032254
0.205736	33.13900671
0.2064344	34.25014527
0.2071328	35.35371396
0.2078312	36.44968982
0.2085296	37.53805121
0.209228	38.61877781
0.2099264	39.69185063
0.2106248	40.75725197
0.2113232	41.8149655
0.2120216	42.86497616
0.21272	43.90727024
0.21272	43.90727024
0.21611495	46.95945863
0.2195099	49.89633649
0.22290485	52.71852915
0.2262998	55.42692498
0.22969475	58.02266758
0.2330897	60.50714573
0.23648465	62.88198139
0.2398796	65.14901613
0.24327455	67.31029608
0.2466695	69.36805581
0.25006445	71.32470124
0.2534594	73.18279208
0.25685435	74.94502377
0.2602493	76.61420928
0.26364425	78.19326103
0.2670392	79.68517301
0.27043415	81.09300326
0.2738291	82.419857
0.27722405	83.66887043
0.280619	84.84319527
0.28401395	85.94598425
0.2874089	86.98037756
0.29080385	87.94949024
0.2941988	88.8564007
0.29759375	89.70414026
0.3009887	90.49568376
0.30438365	91.23394122
0.3077786	91.92175059
0.31117355	92.56187142
0.3145685	93.15697965
0.31796345	93.70966314
0.3213584	94.22241828
0.32475335	94.69764729
0.3281483	95.13765635
0.33154325	95.54465445
0.3349382	95.92075284
0.33833315	96.26796517
0.3417281	96.58820808
0.34512305	96.88330232
0.348518	97.15497425
0.35191295	97.40485777
0.3553079	97.63449649
0.35870285	97.84534624
0.3620978	98.03877777
0.36549275	98.21607963
0.3688877	98.37846121
0.37228265	98.52705582
0.3756776	98.66292399
0.37907255	98.78705662
0.3824675	98.90037831
0.38586245	99.0037506
0.3892574	99.0979752
0.39265235	99.18379717
0.3960473	99.26190806
0.39944225	99.33294897
0.4028372	99.39751348
0.40623215	99.45615057
0.4096271	99.50936735
0.41302205	99.55763177
0.416417	99.60137513
0.41981195	99.64099456
0.4232069	99.67685531
0.42660185	99.709293
0.4299968	99.73861571
0.43339175	99.76510594
0.4367867	99.7890225
0.44018165	99.81060229
0.4435766	99.83006194
0.44697155	99.84759935
0.4503665	99.86339519
0.45376145	99.87761422
0.4571564	99.8904066
0.46055135	99.90190902
0.4639463	99.91224588
0.46734125	99.92153024
0.4707362	99.92986478
0.47413115	99.93734274
0.4775261	99.94404864
0.48092105	99.95005912
0.484316	99.95544355
0.48771095	99.96026474
0.4911059	99.96457947
0.49450085	99.96843907
0.4978958	99.9718899
0.50129075	99.97497378
0.5046857	99.97772844
0.50808065	99.98018791
0.5114756	99.9823828
0.51487055	99.98434071
0.5182655	99.98608645
0.52166045	99.98764233
0.5250554	99.9890284
0.52845035	99.99026266
0.5318453	99.99136129
0.53524025	99.99233878
0.5386352	99.99320812
0.54203015	99.99398098
0.5454251	99.99466779
0.54882005	99.99527788
0.552215	99.99581962
0.55560995	99.99630047
0.5590049	99.99672712
0.56239985	99.99710554
0.5657948	99.99744105
0.56918975	99.99773841
0.5725847	99.99800186
0.57597965	99.99823519
0.5793746	99.99844177
0.58276955	99.99862459
0.5861645	99.99878634
0.58955945	99.9989294
0.5929544	99.99905588
0.59634935	99.99916766
0.5997443	99.99926643
0.60313925	99.99935367
0.6065342	99.9994307
0.60992915	99.99949869
0.6133241	99.99955869
0.61671905	99.99961161
0.620114	99.99965829
0.62350895	99.99969943
0.6269039	99.9997357
0.63029885	99.99976765
0.6336938	99.99979579
0.63708875	99.99982057
0.6404837	99.99984239
0.64387865	99.99986159
0.6472736	99.99987848
0.65066855	99.99989334
0.6540635	99.9999064
0.65745845	99.99991788
0.6608534	99.99992798
0.66424835	99.99993685
0.6676433	99.99994463
0.67103825	99.99995147
0.6744332	99.99995748
0.67782815	99.99996275
0.6812231	99.99996737
0.68461805	99.99997143
0.688013	99.99997499
0.69140795	99.99997811
0.6948029	99.99998085
0.69819785	99.99998324
0.7015928	99.99998534
0.70498775	99.99998718
0.7083827	99.99998879
0.71177765	99.9999902
0.7151726	99.99999144
0.71856755	99.99999252
0.7219625	99.99999347
0.72535745	99.99999429
0.7287524	99.99999502
0.73214735	99.99999565
0.7355423	99.9999962
0.73893725	99.99999669
0.7423322	99.99999711
0.74572715	99.99999748
0.7491221	99.9999978
0.75251705	99.99999808
0.755912	99.99999833
0.75930695	99.99999854
0.7627019	99.99999873
0.76609685	99.99999889
0.7694918	99.99999904
0.77288675	99.99999916
0.7762817	99.99999927
0.77967665	99.99999936
0.7830716	99.99999945
0.78646655	99.99999952
0.7898615	99.99999958
0.79325645	99.99999963
0.7966514	99.99999968
0.80004635	99.99999972
0.8034413	99.99999976
0.80683625	99.99999979
0.8102312	99.99999982
0.81362615	99.99999984
0.8170211	99.99999986
0.82041605	99.99999988
0.823811	99.9999999
0.82720595	99.99999991
0.8306009	99.99999992
0.83399585	99.99999993
0.8373908	99.99999994
0.84078575	99.99999995
0.8441807	99.99999996
0.84757565	99.99999996
0.8509706	99.99999997
0.85436555	99.99999997
0.8577605	99.99999997
0.86115545	99.99999998
0.8645504	99.99999998
0.86794535	99.99999998
