         time             r   temperature
          10000        0.100995        -18.9958
          10000        0.102995         -17.027
          10000        0.104995        -15.0962
          10000        0.107345        -12.8707
          10000        0.110045        -10.3783
          10000        0.112745        -7.94752
          10000        0.115444        -5.57586
          10000        0.118144        -3.26092
          10000        0.120844        -1.00049
          10000        0.123544          1.2075
          10000        0.126244         3.36498
          10000        0.128944         5.47374
          10000        0.131644         7.53547
          10000        0.134305         9.52276
          10000        0.136953         11.4586
          10000        0.139654         13.3905
          10000        0.142408         15.3182
          10000        0.145217         17.2412
          10000        0.148081         19.1591
          10000        0.151003         21.0713
          10000        0.153982         22.9774
          10000         0.15702         24.8769
          10000        0.160119         26.7691
          10000        0.163279         28.6534
          10000        0.166502         30.5294
          10000        0.169788         32.3963
          10000         0.17314         34.2535
          10000        0.176558         36.1003
          10000        0.180044         37.9359
          10000        0.183599         39.7597
          10000        0.187225         41.5708
          10000        0.190922         43.3684
          10000        0.194693         45.1518
          10000        0.198539           46.92
          10000        0.202461         48.6722
          10000         0.20646         50.4075
          10000        0.210539         52.1249
          10000        0.214699         53.8236
          10000        0.218941         55.5025
          10000        0.223267         57.1607
          10000         0.22768         58.7972
          10000        0.232179          60.411
          10000        0.236768          62.001
          10000        0.241448         63.5663
          10000         0.24622         65.1059
          10000        0.251088         66.6186
          10000        0.256051         68.1036
          10000        0.261114         69.5598
          10000        0.266276         70.9862
          10000        0.271541         72.3818
          10000         0.27691         73.7458
          10000        0.282386         75.0771
          10000         0.28797          76.375
          10000        0.293665         77.6385
          10000        0.299473         78.8669
          10000        0.305396         80.0595
          10000        0.311437         81.2156
          10000        0.317597         82.3345
          10000         0.32388         83.4157
          10000        0.330287         84.4587
          10000        0.336821         85.4631
          10000        0.343485         86.4287
          10000         0.35028         87.3551
          10000        0.357211         88.2424
          10000        0.364279         89.0903
          10000        0.371487          89.899
          10000        0.378838         90.6687
          10000        0.386335         91.3995
          10000         0.39398         92.0919
          10000        0.401777         92.7464
          10000        0.409728         93.3634
          10000        0.417838         93.9437
          10000        0.426108         94.4881
          10000        0.434542         94.9973
          10000        0.443143         95.4723
          10000        0.451915         95.9142
          10000         0.46086          96.324
          10000        0.469983         96.7029
          10000        0.479287         97.0522
          10000        0.488776          97.373
          10000        0.498452         97.6668
          10000        0.508321         97.9349
          10000        0.518385         98.1787
          10000        0.528649         98.3995
          10000        0.539116         98.5988
          10000         0.54979         98.7781
          10000        0.560677         98.9386
          10000        0.571779         99.0818
          10000        0.583101         99.2089
          10000        0.594648         99.3214
          10000        0.606424         99.4204
          10000        0.618433         99.5072
          10000         0.63068         99.5829
          10000        0.643171         99.6487
          10000        0.655908         99.7055
          10000        0.668899         99.7544
          10000        0.682147         99.7962
          10000        0.695657         99.8318
          10000        0.709436         99.8619
          10000        0.723488         99.8872
          10000        0.737818         99.9084
          10000        0.752433         99.9261
          10000        0.767337         99.9407
          10000        0.782537         99.9527
          10000        0.798038         99.9625
          10000        0.813846         99.9705
          10000        0.829968         99.9769
          10000         0.84641         99.9821
          10000        0.863178         99.9862
          10000        0.880278         99.9895
          10000        0.897717         99.9922
          10000        0.915502         99.9943
          10000        0.933639         99.9959
          10000        0.952136         99.9973
          10000           0.971         99.9985
          10000        0.990238         99.9995
          20000        0.100995        -19.1784
          20000        0.102995        -17.5676
          20000        0.104995        -15.9878
          20000        0.107345        -14.1666
          20000        0.110045        -12.1266
          20000        0.112745        -10.1364
          20000        0.115444        -8.19384
          20000        0.118144        -6.29684
          20000        0.120844        -4.44345
          20000        0.123544        -2.63186
          20000        0.126244       -0.860371
          20000        0.128944        0.872587
          20000        0.131644          2.5685
          20000        0.134305         4.20487
          20000        0.136953         5.80061
          20000        0.139654         7.39514
          20000        0.142408         8.98829
          20000        0.145217         10.5799
          20000        0.148081         12.1699
          20000        0.151003          13.758
          20000        0.153982          15.344
          20000         0.15702         16.9279
          20000        0.160119         18.5092
          20000        0.163279          20.088
          20000        0.166502         21.6638
          20000        0.169788         23.2365
          20000         0.17314         24.8059
          20000        0.176558         26.3716
          20000        0.180044         27.9333
          20000        0.183599         29.4909
          20000        0.187225          31.044
          20000        0.190922         32.5922
          20000        0.194693         34.1352
          20000        0.198539         35.6728
          20000        0.202461         37.2044
          20000         0.20646         38.7297
          20000        0.210539         40.2484
          20000        0.214699         41.7599
          20000        0.218941          43.264
          20000        0.223267           44.76
          20000         0.22768         46.2476
          20000        0.232179         47.7262
          20000        0.236768         49.1954
          20000        0.241448         50.6546
          20000         0.24622         52.1033
          20000        0.251088         53.5409
          20000        0.256051         54.9668
          20000        0.261114         56.3805
          20000        0.266276         57.7814
          20000        0.271541         59.1687
          20000         0.27691         60.5419
          20000        0.282386         61.9004
          20000         0.28797         63.2434
          20000        0.293665         64.5702
          20000        0.299473         65.8802
          20000        0.305396         67.1727
          20000        0.311437          68.447
          20000        0.317597         69.7023
          20000         0.32388         70.9379
          20000        0.330287         72.1531
          20000        0.336821         73.3472
          20000        0.343485         74.5195
          20000         0.35028         75.6692
          20000        0.357211         76.7956
          20000        0.364279         77.8981
          20000        0.371487          78.976
          20000        0.378838         80.0285
          20000        0.386335         81.0551
          20000         0.39398         82.0552
          20000        0.401777         83.0281
          20000        0.409728         83.9734
          20000        0.417838         84.8905
          20000        0.426108         85.7789
          20000        0.434542         86.6382
          20000        0.443143         87.4681
          20000        0.451915         88.2682
          20000         0.46086         89.0382
          20000        0.469983         89.7779
          20000        0.479287         90.4873
          20000        0.488776         91.1662
          20000        0.498452         91.8146
          20000        0.508321         92.4326
          20000        0.518385         93.0203
          20000        0.528649          93.578
          20000        0.539116         94.1059
          20000         0.54979         94.6045
          20000        0.560677         95.0741
          20000        0.571779         95.5152
          20000        0.583101         95.9286
          20000        0.594648         96.3147
          20000        0.606424         96.6745
          20000        0.618433         97.0086
          20000         0.63068         97.3179
          20000        0.643171         97.6034
          20000        0.655908          97.866
          20000        0.668899         98.1067
          20000        0.682147         98.3266
          20000        0.695657         98.5267
          20000        0.709436         98.7081
          20000        0.723488          98.872
          20000        0.737818         99.0194
          20000        0.752433         99.1516
          20000        0.767337         99.2695
          20000        0.782537         99.3744
          20000        0.798038         99.4673
          20000        0.813846         99.5493
          20000        0.829968         99.6215
          20000         0.84641         99.6848
          20000        0.863178         99.7403
          20000        0.880278         99.7889
          20000        0.897717         99.8315
          20000        0.915502         99.8691
          20000        0.933639         99.9026
          20000        0.952136         99.9328
          20000           0.971         99.9607
          20000        0.990238         99.9872
          50000        0.100995        -19.3455
          50000        0.102995        -18.0621
          50000        0.104995        -16.8034
          50000        0.107345        -15.3524
          50000        0.110045        -13.7267
          50000        0.112745        -12.1406
          50000        0.115444        -10.5922
          50000        0.118144        -9.07968
          50000        0.120844        -7.60157
          50000        0.123544        -6.15634
          50000        0.126244         -4.7426
          50000        0.128944        -3.35905
          50000        0.131644        -2.00447
          50000        0.134305       -0.696793
          50000        0.136953        0.579079
          50000        0.139654         1.85472
          50000        0.142408         3.13009
          50000        0.145217         4.40514
          50000        0.148081         5.67984
          50000        0.151003         6.95412
          50000        0.153982         8.22794
          50000         0.15702         9.50125
          50000        0.160119          10.774
          50000        0.163279         12.0461
          50000        0.166502         13.3175
          50000        0.169788         14.5881
          50000         0.17314          15.858
          50000        0.176558         17.1269
          50000        0.180044         18.3948
          50000        0.183599         19.6616
          50000        0.187225         20.9273
          50000        0.190922         22.1917
          50000        0.194693         23.4548
          50000        0.198539         24.7164
          50000        0.202461         25.9765
          50000         0.20646         27.2349
          50000        0.210539         28.4915
          50000        0.214699         29.7462
          50000        0.218941         30.9989
          50000        0.223267         32.2493
          50000         0.22768         33.4974
          50000        0.232179         34.7431
          50000        0.236768         35.9861
          50000        0.241448         37.2263
          50000         0.24622         38.4635
          50000        0.251088         39.6976
          50000        0.256051         40.9283
          50000        0.261114         42.1554
          50000        0.266276         43.3788
          50000        0.271541         44.5982
          50000         0.27691         45.8134
          50000        0.282386         47.0241
          50000         0.28797         48.2302
          50000        0.293665         49.4313
          50000        0.299473         50.6272
          50000        0.305396         51.8176
          50000        0.311437         53.0023
          50000        0.317597         54.1808
          50000         0.32388          55.353
          50000        0.330287         56.5185
          50000        0.336821         57.6769
          50000        0.343485          58.828
          50000         0.35028         59.9713
          50000        0.357211         61.1065
          50000        0.364279         62.2333
          50000        0.371487         63.3512
          50000        0.378838         64.4598
          50000        0.386335         65.5588
          50000         0.39398         66.6477
          50000        0.401777         67.7261
          50000        0.409728         68.7936
          50000        0.417838         69.8496
          50000        0.426108         70.8939
          50000        0.434542         71.9258
          50000        0.443143          72.945
          50000        0.451915          73.951
          50000         0.46086         74.9432
          50000        0.469983         75.9213
          50000        0.479287         76.8848
          50000        0.488776         77.8332
          50000        0.498452         78.7659
          50000        0.508321         79.6826
          50000        0.518385         80.5828
          50000        0.528649         81.4661
          50000        0.539116         82.3319
          50000         0.54979         83.1799
          50000        0.560677         84.0097
          50000        0.571779         84.8209
          50000        0.583101         85.6131
          50000        0.594648         86.3859
          50000        0.606424         87.1391
          50000        0.618433         87.8724
          50000         0.63068         88.5856
          50000        0.643171         89.2784
          50000        0.655908         89.9508
          50000        0.668899         90.6025
          50000        0.682147         91.2336
          50000        0.695657         91.8441
          50000        0.709436          92.434
          50000        0.723488         93.0036
          50000        0.737818          93.553
          50000        0.752433         94.0825
          50000        0.767337         94.5926
          50000        0.782537         95.0838
          50000        0.798038         95.5565
          50000        0.813846         96.0116
          50000        0.829968         96.4498
          50000         0.84641          96.872
          50000        0.863178         97.2793
          50000        0.880278         97.6729
          50000        0.897717         98.0541
          50000        0.915502         98.4243
          50000        0.933639         98.7851
          50000        0.952136         99.1384
          50000           0.971         99.4861
          50000        0.990238         99.8302
         100000        0.100995        -19.4316
         100000        0.102995        -18.3171
         100000        0.104995         -17.224
         100000        0.107345        -15.9639
         100000        0.110045        -14.5521
         100000        0.112745        -13.1746
         100000        0.115444        -11.8297
         100000        0.118144         -10.516
         100000        0.120844        -9.23194
         100000        0.123544        -7.97638
         100000        0.126244        -6.74804
         100000        0.128944        -5.54577
         100000        0.131644        -4.36851
         100000        0.134305        -3.23185
         100000        0.136953        -2.12264
         100000        0.139654        -1.01343
         100000        0.142408       0.0957633
         100000        0.145217         1.20493
         100000        0.148081         2.31405
         100000        0.151003         3.42311
         100000        0.153982         4.53209
         100000         0.15702         5.64098
         100000        0.160119         6.74974
         100000        0.163279         7.85837
         100000        0.166502         8.96684
         100000        0.169788         10.0751
         100000         0.17314         11.1832
         100000        0.176558         12.2911
         100000        0.180044         13.3986
         100000        0.183599          14.506
         100000        0.187225         15.6129
         100000        0.190922         16.7196
         100000        0.194693         17.8258
         100000        0.198539         18.9317
         100000        0.202461         20.0371
         100000         0.20646          21.142
         100000        0.210539         22.2464
         100000        0.214699         23.3502
         100000        0.218941         24.4534
         100000        0.223267          25.556
         100000         0.22768         26.6578
         100000        0.232179         27.7589
         100000        0.236768         28.8592
         100000        0.241448         29.9586
         100000         0.24622         31.0571
         100000        0.251088         32.1546
         100000        0.256051         33.2511
         100000        0.261114         34.3465
         100000        0.266276         35.4406
         100000        0.271541         36.5335
         100000         0.27691         37.6251
         100000        0.282386         38.7153
         100000         0.28797         39.8039
         100000        0.293665          40.891
         100000        0.299473         41.9764
         100000        0.305396           43.06
         100000        0.311437         44.1418
         100000        0.317597         45.2216
         100000         0.32388         46.2993
         100000        0.330287         47.3748
         100000        0.336821          48.448
         100000        0.343485         49.5188
         100000         0.35028          50.587
         100000        0.357211         51.6526
         100000        0.364279         52.7153
         100000        0.371487         53.7751
         100000        0.378838         54.8318
         100000        0.386335         55.8852
         100000         0.39398         56.9353
         100000        0.401777         57.9817
         100000        0.409728         59.0245
         100000        0.417838         60.0634
         100000        0.426108         61.0983
         100000        0.434542         62.1289
         100000        0.443143         63.1551
         100000        0.451915         64.1767
         100000         0.46086         65.1936
         100000        0.469983         66.2055
         100000        0.479287         67.2122
         100000        0.488776         68.2136
         100000        0.498452         69.2095
         100000        0.508321         70.1996
         100000        0.518385         71.1838
         100000        0.528649         72.1619
         100000        0.539116         73.1336
         100000         0.54979         74.0989
         100000        0.560677         75.0574
         100000        0.571779         76.0091
         100000        0.583101         76.9537
         100000        0.594648         77.8911
         100000        0.606424          78.821
         100000        0.618433         79.7435
         100000         0.63068         80.6582
         100000        0.643171         81.5651
         100000        0.655908          82.464
         100000        0.668899          83.355
         100000        0.682147         84.2378
         100000        0.695657         85.1125
         100000        0.709436          85.979
         100000        0.723488         86.8373
         100000        0.737818         87.6875
         100000        0.752433         88.5296
         100000        0.767337         89.3638
         100000        0.782537         90.1901
         100000        0.798038         91.0088
         100000        0.813846         91.8201
         100000        0.829968         92.6244
         100000         0.84641         93.4218
         100000        0.863178          94.213
         100000        0.880278         94.9983
         100000        0.897717         95.7782
         100000        0.915502         96.5535
         100000        0.933639         97.3247
         100000        0.952136         98.0926
         100000           0.971         98.8581
         100000        0.990238          99.622
