         time             r   temperature
          10000        0.100995        -19.0009
          10000        0.102995        -17.0404
          10000        0.104995        -15.1148
          10000        0.107345        -12.8913
          10000        0.110045        -10.3968
          10000        0.112745        -7.95936
          10000        0.115444        -5.57668
          10000        0.118144        -3.24674
          10000        0.120844        -0.96765
          10000        0.123544         1.26237
          10000        0.126244         3.44496
          10000        0.128944         5.58168
          10000        0.131644         7.67395
          10000        0.134305          9.6936
          10000        0.136953         11.6637
          10000        0.139654         13.6326
          10000        0.142408         15.5997
          10000        0.145217         17.5646
          10000        0.148081         19.5267
          10000        0.151003         21.4853
          10000        0.153982           23.44
          10000         0.15702           25.39
          10000        0.160119         27.3347
          10000        0.163279         29.2733
          10000        0.166502         31.2051
          10000        0.169788         33.1292
          10000         0.17314         35.0449
          10000        0.176558         36.9512
          10000        0.180044         38.8473
          10000        0.183599         40.7322
          10000        0.187225          42.605
          10000        0.190922         44.4645
          10000        0.194693         46.3098
          10000        0.198539         48.1397
          10000        0.202461         49.9531
          10000         0.20646         51.7489
          10000        0.210539         53.5259
          10000        0.214699         55.2829
          10000        0.218941         57.0186
          10000        0.223267         58.7317
          10000         0.22768         60.4211
          10000        0.232179         62.0854
          10000        0.236768         63.7233
          10000        0.241448         65.3336
          10000         0.24622          66.915
          10000        0.251088         68.4661
          10000        0.256051         69.9857
          10000        0.261114         71.4727
          10000        0.266276         72.9257
          10000        0.271541         74.3436
          10000         0.27691         75.7253
          10000        0.282386         77.0696
          10000         0.28797         78.3757
          10000        0.293665         79.6425
          10000        0.299473         80.8692
          10000        0.305396          82.055
          10000        0.311437         83.1992
          10000        0.317597         84.3012
          10000         0.32388         85.3605
          10000        0.330287         86.3766
          10000        0.336821         87.3495
          10000        0.343485         88.2788
          10000         0.35028         89.1646
          10000        0.357211          90.007
          10000        0.364279         90.8062
          10000        0.371487         91.5625
          10000        0.378838         92.2765
          10000        0.386335         92.9488
          10000         0.39398           93.58
          10000        0.401777         94.1711
          10000        0.409728          94.723
          10000        0.417838         95.2368
          10000        0.426108         95.7137
          10000        0.434542          96.155
          10000        0.443143         96.5619
          10000        0.451915         96.9359
          10000         0.46086         97.2786
          10000        0.469983         97.5913
          10000        0.479287         97.8758
          10000        0.488776         98.1336
          10000        0.498452         98.3664
          10000        0.508321         98.5757
          10000        0.518385         98.7631
          10000        0.528649         98.9303
          10000        0.539116         99.0787
          10000         0.54979           99.21
          10000        0.560677         99.3256
          10000        0.571779         99.4269
          10000        0.583101         99.5152
          10000        0.594648         99.5919
          10000        0.606424         99.6581
          10000        0.618433          99.715
          10000         0.63068         99.7637
          10000        0.643171         99.8051
          10000        0.655908         99.8401
          10000        0.668899         99.8695
          10000        0.682147         99.8941
          10000        0.695657         99.9146
          10000        0.709436         99.9315
          10000        0.723488         99.9454
          10000        0.737818         99.9567
          10000        0.752433         99.9659
          10000        0.767337         99.9734
          10000        0.782537         99.9793
          10000        0.798038          99.984
          10000        0.813846         99.9877
          10000        0.829968         99.9907
          10000         0.84641          99.993
          10000        0.863178         99.9947
          10000        0.880278         99.9961
          10000        0.897717         99.9972
          10000        0.915502          99.998
          10000        0.933639         99.9986
          10000        0.952136         99.9991
          10000           0.971         99.9995
          10000        0.990238         99.9998
          20000        0.100995        -19.1862
          20000        0.102995        -17.5897
          20000        0.104995        -16.0219
          20000        0.107345        -14.2121
          20000        0.110045        -12.1819
          20000        0.112745        -10.1982
          20000        0.115444        -8.25908
          20000        0.118144        -6.36259
          20000        0.120844          -4.507
          20000        0.123544         -2.6907
          20000        0.126244       -0.912177
          20000        0.128944        0.829996
          20000        0.131644         2.53715
          20000        0.134305         4.18643
          20000        0.136953         5.79673
          20000        0.139654         7.40772
          20000        0.142408         9.01922
          20000        0.145217         10.6311
          20000        0.148081         12.2431
          20000        0.151003          13.855
          20000        0.153982         15.4668
          20000         0.15702          17.078
          20000        0.160119         18.6885
          20000        0.163279          20.298
          20000        0.166502         21.9063
          20000        0.169788          23.513
          20000         0.17314          25.118
          20000        0.176558         26.7207
          20000        0.180044          28.321
          20000        0.183599         29.9184
          20000        0.187225         31.5126
          20000        0.190922         33.1032
          20000        0.194693         34.6897
          20000        0.198539         36.2718
          20000        0.202461         37.8489
          20000         0.20646         39.4207
          20000        0.210539         40.9865
          20000        0.214699          42.546
          20000        0.218941         44.0984
          20000        0.223267         45.6433
          20000         0.22768           47.18
          20000        0.232179          48.708
          20000        0.236768         50.2266
          20000        0.241448         51.7352
          20000         0.24622          53.233
          20000        0.251088         54.7193
          20000        0.256051         56.1934
          20000        0.261114         57.6546
          20000        0.266276          59.102
          20000        0.271541         60.5349
          20000         0.27691         61.9525
          20000        0.282386         63.3539
          20000         0.28797         64.7383
          20000        0.293665         66.1048
          20000        0.299473         67.4526
          20000        0.305396         68.7807
          20000        0.311437         70.0883
          20000        0.317597         71.3745
          20000         0.32388         72.6384
          20000        0.330287          73.879
          20000        0.336821         75.0956
          20000        0.343485         76.2872
          20000         0.35028          77.453
          20000        0.357211         78.5922
          20000        0.364279         79.7039
          20000        0.371487         80.7873
          20000        0.378838         81.8417
          20000        0.386335         82.8665
          20000         0.39398         83.8608
          20000        0.401777         84.8241
          20000        0.409728         85.7559
          20000        0.417838         86.6555
          20000        0.426108         87.5227
          20000        0.434542          88.357
          20000        0.443143         89.1581
          20000        0.451915         89.9258
          20000         0.46086         90.6599
          20000        0.469983         91.3605
          20000        0.479287         92.0276
          20000        0.488776         92.6612
          20000        0.498452         93.2616
          20000        0.508321         93.8292
          20000        0.518385         94.3643
          20000        0.528649         94.8674
          20000        0.539116         95.3391
          20000         0.54979         95.7802
          20000        0.560677         96.1913
          20000        0.571779         96.5734
          20000        0.583101         96.9272
          20000        0.594648          97.254
          20000        0.606424         97.5546
          20000        0.618433         97.8301
          20000         0.63068         98.0819
          20000        0.643171          98.311
          20000        0.655908         98.5187
          20000        0.668899         98.7061
          20000        0.682147         98.8747
          20000        0.695657         99.0256
          20000        0.709436         99.1602
          20000        0.723488         99.2795
          20000        0.737818         99.3849
          20000        0.752433         99.4776
          20000        0.767337         99.5587
          20000        0.782537         99.6294
          20000        0.798038         99.6905
          20000        0.813846         99.7433
          20000        0.829968         99.7887
