         time             r   temperature
          10000        0.100995        -15.3322
          10000        0.102995        -6.17415
          10000        0.104995         2.80966
          10000        0.107345         13.1432
          10000        0.110045         24.5997
          10000        0.112745         35.5166
          10000        0.115444         45.7437
          10000        0.118144         55.1274
          10000        0.120844          63.538
          10000        0.123544         70.8903
          10000        0.126244         77.1565
          10000        0.128944         82.3664
          10000        0.131644         86.5972
          10000        0.134305         89.9102
          10000        0.136953          92.497
          10000        0.139654         94.5208
          10000        0.142408         96.0698
          10000        0.145217         97.2306
          10000        0.148081         98.0827
          10000        0.151003         98.6958
          10000        0.153982         99.1282
          10000         0.15702         99.4274
          10000        0.160119         99.6304
          10000        0.163279         99.7657
          10000        0.166502          99.854
          10000        0.169788         99.9107
          10000         0.17314         99.9463
          10000        0.176558         99.9683
          10000        0.180044         99.9816
          10000        0.183599         99.9895
          10000        0.187225         99.9942
          10000        0.190922         99.9968
          10000        0.194693         99.9983
          10000        0.198539         99.9991
          10000        0.202461         99.9995
          10000         0.20646         99.9998
          10000        0.210539         99.9999
          10000        0.214699         99.9999
          10000        0.218941             100
          10000        0.223267             100
          10000         0.22768             100
          10000        0.232179             100
          10000        0.236768             100
          10000        0.241448             100
          10000         0.24622             100
          10000        0.251088             100
          10000        0.256051             100
          10000        0.261114             100
          10000        0.266276             100
          10000        0.271541             100
          10000         0.27691             100
          10000        0.282386             100
          10000         0.28797             100
          10000        0.293665             100
          10000        0.299473             100
          10000        0.305396             100
          10000        0.311437             100
          10000        0.317597             100
          10000         0.32388             100
          10000        0.330287             100
          10000        0.336821             100
          10000        0.343485             100
          10000         0.35028             100
          10000        0.357211             100
          10000        0.364279             100
          10000        0.371487             100
          10000        0.378838             100
          10000        0.386335             100
          10000         0.39398             100
          10000        0.401777             100
          10000        0.409728             100
          10000        0.417838             100
          10000        0.426108             100
          10000        0.434542             100
          10000        0.443143             100
          10000        0.451915             100
          10000         0.46086             100
          10000        0.469983             100
          10000        0.479287             100
          10000        0.488776             100
          10000        0.498452             100
          10000        0.508321             100
          10000        0.518385             100
          10000        0.528649             100
          10000        0.539116             100
          10000         0.54979             100
          10000        0.560677             100
          10000        0.571779             100
          10000        0.583101             100
          10000        0.594648             100
          10000        0.606424             100
          10000        0.618433             100
          10000         0.63068             100
          10000        0.643171             100
          10000        0.655908             100
          10000        0.668899             100
          10000        0.682147             100
          10000        0.695657             100
          10000        0.709436             100
          10000        0.723488             100
          10000        0.737818             100
          10000        0.752433             100
          10000        0.767337             100
          10000        0.782537             100
          10000        0.798038             100
          10000        0.813846             100
          10000        0.829968             100
          10000         0.84641             100
          10000        0.863178             100
          10000        0.880278             100
          10000        0.897717             100
          10000        0.915502             100
          10000        0.933639             100
          10000        0.952136             100
          10000           0.971             100
          10000        0.990238             100
          20000        0.100995        -16.5749
          20000        0.102995          -9.857
          20000        0.104995        -3.26579
          20000        0.107345         4.33136
          20000        0.110045         12.8238
          20000        0.112745           21.06
          20000        0.115444         29.0092
          20000        0.118144         36.6331
          20000        0.120844         43.8883
          20000        0.123544         50.7302
          20000        0.126244          57.117
          20000        0.128944         63.0131
          20000        0.131644         68.3922
          20000        0.134305           73.17
          20000        0.136953         77.4165
