Time,"elementCenter:0","elementCenter:1","elementCenter:2","pressure","temperature"
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,nan,nan,nan,nan,nan
1e+05,0.10099,0.0009915,0.05,2886.1,99.336
1e+05,0.10099,0.0009915,0.05,2886.1,99.336
1e+05,0.10299,0.0010111,0.05,8542.7,98.035
1e+05,0.10299,0.0010111,0.05,8542.7,98.035
1e+05,0.10499,0.0010308,0.05,14088,96.759
1e+05,0.10499,0.0010308,0.05,14088,96.759
1e+05,0.10734,0.0010538,0.05,20476,95.288
1e+05,0.10734,0.0010538,0.05,20476,95.288
1e+05,0.10734,0.0010538,0.05,20476,95.288
1e+05,0.11004,0.0010803,0.05,27628,93.64
1e+05,0.11004,0.0010803,0.05,27628,93.64
1e+05,0.11004,0.0010803,0.05,27628,93.64
1e+05,0.11274,0.0011068,0.05,34599,92.032
1e+05,0.11274,0.0011068,0.05,34599,92.032
1e+05,0.11274,0.0011068,0.05,34599,92.032
1e+05,0.11544,0.0011334,0.05,41397,90.463
1e+05,0.11544,0.0011334,0.05,41397,90.463
1e+05,0.11814,0.0011599,0.05,48030,88.93
1e+05,0.11814,0.0011599,0.05,48030,88.93
1e+05,0.11814,0.0011599,0.05,48030,88.93
1e+05,0.12084,0.0011864,0.05,54503,87.433
1e+05,0.12084,0.0011864,0.05,54503,87.433
1e+05,0.12084,0.0011864,0.05,54503,87.433
1e+05,0.12354,0.0012129,0.05,60824,85.969
1e+05,0.12354,0.0012129,0.05,60824,85.969
1e+05,0.12624,0.0012394,0.05,66997,84.537
1e+05,0.12624,0.0012394,0.05,66997,84.537
1e+05,0.12624,0.0012394,0.05,66997,84.537
1e+05,0.12894,0.0012659,0.05,73028,83.137
1e+05,0.12894,0.0012659,0.05,73028,83.137
1e+05,0.12894,0.0012659,0.05,73028,83.137
1e+05,0.13164,0.0012924,0.05,78922,81.766
1e+05,0.13164,0.0012924,0.05,78922,81.766
1e+05,0.1343,0.0013185,0.05,84601,80.443
1e+05,0.1343,0.0013185,0.05,84601,80.443
1e+05,0.1343,0.0013185,0.05,84601,80.443
1e+05,0.13695,0.0013445,0.05,90131,79.153
1e+05,0.13695,0.0013445,0.05,90131,79.153
1e+05,0.13695,0.0013445,0.05,90131,79.153
1e+05,0.13965,0.001371,0.05,95647,77.864
1e+05,0.13965,0.001371,0.05,95647,77.864
1e+05,0.13965,0.001371,0.05,95647,77.864
1e+05,0.1424,0.0013981,0.05,1.0115e+05,76.576
1e+05,0.1424,0.0013981,0.05,1.0115e+05,76.576
1e+05,0.14521,0.0014256,0.05,1.0663e+05,75.288
1e+05,0.14521,0.0014256,0.05,1.0663e+05,75.288
1e+05,0.14521,0.0014256,0.05,1.0663e+05,75.288
1e+05,0.14807,0.0014538,0.05,1.121e+05,74.002
1e+05,0.14807,0.0014538,0.05,1.121e+05,74.002
1e+05,0.14807,0.0014538,0.05,1.121e+05,74.002
1e+05,0.151,0.0014824,0.05,1.1755e+05,72.717
1e+05,0.151,0.0014824,0.05,1.1755e+05,72.717
1e+05,0.151,0.0014824,0.05,1.1755e+05,72.717
1e+05,0.15397,0.0015117,0.05,1.2298e+05,71.434
1e+05,0.15397,0.0015117,0.05,1.2298e+05,71.434
1e+05,0.15397,0.0015117,0.05,1.2298e+05,71.434
1e+05,0.15701,0.0015415,0.05,1.2839e+05,70.152
1e+05,0.15701,0.0015415,0.05,1.2839e+05,70.152
1e+05,0.15701,0.0015415,0.05,1.2839e+05,70.152
1e+05,0.16011,0.0015719,0.05,1.3377e+05,68.871
1e+05,0.16011,0.0015719,0.05,1.3377e+05,68.871
1e+05,0.16011,0.0015719,0.05,1.3377e+05,68.871
1e+05,0.16327,0.001603,0.05,1.3913e+05,67.592
1e+05,0.16327,0.001603,0.05,1.3913e+05,67.592
1e+05,0.16327,0.001603,0.05,1.3913e+05,67.592
1e+05,0.16649,0.0016346,0.05,1.4447e+05,66.316
1e+05,0.16649,0.0016346,0.05,1.4447e+05,66.316
1e+05,0.16649,0.0016346,0.05,1.4447e+05,66.316
1e+05,0.16649,0.0016346,0.05,1.4447e+05,66.316
1e+05,0.16978,0.0016669,0.05,1.4977e+05,65.041
1e+05,0.16978,0.0016669,0.05,1.4977e+05,65.041
1e+05,0.16978,0.0016669,0.05,1.4977e+05,65.041
1e+05,0.17313,0.0016998,0.05,1.5504e+05,63.769
1e+05,0.17313,0.0016998,0.05,1.5504e+05,63.769
1e+05,0.17313,0.0016998,0.05,1.5504e+05,63.769
1e+05,0.17655,0.0017333,0.05,1.6028e+05,62.499
1e+05,0.17655,0.0017333,0.05,1.6028e+05,62.499
1e+05,0.17655,0.0017333,0.05,1.6028e+05,62.499
1e+05,0.17655,0.0017333,0.05,1.6028e+05,62.499
1e+05,0.18004,0.0017676,0.05,1.6548e+05,61.232
1e+05,0.18004,0.0017676,0.05,1.6548e+05,61.232
1e+05,0.18004,0.0017676,0.05,1.6548e+05,61.232
1e+05,0.18359,0.0018025,0.05,1.7064e+05,59.968
1e+05,0.18359,0.0018025,0.05,1.7064e+05,59.968
1e+05,0.18359,0.0018025,0.05,1.7064e+05,59.968
1e+05,0.18359,0.0018025,0.05,1.7064e+05,59.968
1e+05,0.18722,0.001838,0.05,1.7576e+05,58.707
1e+05,0.18722,0.001838,0.05,1.7576e+05,58.707
1e+05,0.18722,0.001838,0.05,1.7576e+05,58.707
1e+05,0.18722,0.001838,0.05,1.7576e+05,58.707
1e+05,0.19091,0.0018743,0.05,1.8084e+05,57.449
1e+05,0.19091,0.0018743,0.05,1.8084e+05,57.449
1e+05,0.19091,0.0018743,0.05,1.8084e+05,57.449
1e+05,0.19468,0.0019114,0.05,1.8587e+05,56.195
1e+05,0.19468,0.0019114,0.05,1.8587e+05,56.195
1e+05,0.19468,0.0019114,0.05,1.8587e+05,56.195
